exact_id,qa_status,architecture_decision,source_path,basis_sha,qa_note
EDU-DEV-01,재확인 필요,,See current dev-final/EDU_135_MATRIX.csv source_path; direct handler source was not independently opened in this QA execution.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"135 denominator adjudicated, but direct exact-SHA Handler→Consumer→5 tests→runtime closure was not independently opened/executed; no Developer PASS inherited."
EDU-DEV-02,재확인 필요,,See current dev-final/EDU_135_MATRIX.csv source_path; direct handler source was not independently opened in this QA execution.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"135 denominator adjudicated, but direct exact-SHA Handler→Consumer→5 tests→runtime closure was not independently opened/executed; no Developer PASS inherited."
EDU-DEV-03,재확인 필요,,See current dev-final/EDU_135_MATRIX.csv source_path; direct handler source was not independently opened in this QA execution.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"135 denominator adjudicated, but direct exact-SHA Handler→Consumer→5 tests→runtime closure was not independently opened/executed; no Developer PASS inherited."
EDU-DEV-04,재확인 필요,,See current dev-final/EDU_135_MATRIX.csv source_path; direct handler source was not independently opened in this QA execution.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"135 denominator adjudicated, but direct exact-SHA Handler→Consumer→5 tests→runtime closure was not independently opened/executed; no Developer PASS inherited."
EDU-DEV-05,재확인 필요,,See current dev-final/EDU_135_MATRIX.csv source_path; direct handler source was not independently opened in this QA execution.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"135 denominator adjudicated, but direct exact-SHA Handler→Consumer→5 tests→runtime closure was not independently opened/executed; no Developer PASS inherited."
EDU-DEV-06,재확인 필요,,See current dev-final/EDU_135_MATRIX.csv source_path; direct handler source was not independently opened in this QA execution.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"135 denominator adjudicated, but direct exact-SHA Handler→Consumer→5 tests→runtime closure was not independently opened/executed; no Developer PASS inherited."
EDU-DEV-07,재확인 필요,,See current dev-final/EDU_135_MATRIX.csv source_path; direct handler source was not independently opened in this QA execution.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"135 denominator adjudicated, but direct exact-SHA Handler→Consumer→5 tests→runtime closure was not independently opened/executed; no Developer PASS inherited."
EDU-DEV-08,재확인 필요,,See current dev-final/EDU_135_MATRIX.csv source_path; direct handler source was not independently opened in this QA execution.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"135 denominator adjudicated, but direct exact-SHA Handler→Consumer→5 tests→runtime closure was not independently opened/executed; no Developer PASS inherited."
EDU-DEV-09,재확인 필요,,See current dev-final/EDU_135_MATRIX.csv source_path; direct handler source was not independently opened in this QA execution.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"135 denominator adjudicated, but direct exact-SHA Handler→Consumer→5 tests→runtime closure was not independently opened/executed; no Developer PASS inherited."
EDU-DEV-10,재확인 필요,,See current dev-final/EDU_135_MATRIX.csv source_path; direct handler source was not independently opened in this QA execution.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"135 denominator adjudicated, but direct exact-SHA Handler→Consumer→5 tests→runtime closure was not independently opened/executed; no Developer PASS inherited."
