finding_id,origin,severity,qa_status,superseding_finding,basis_sha,qa_note
AB-R6-001,previous-56,,FAIL,QA-B-1000-NEW-001,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Superseded/current defect: Current exact-SHA Evidence provenance false-green
AB-R6-002,previous-56,,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Original finding requires live/runtime proof and remains unverified at current exact SHA.
AB-R6-003,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-004,previous-56,,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Original finding requires live/runtime proof and remains unverified at current exact SHA.
AB-R6-005,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-006,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-007,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-008,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-009,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-010,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-011,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-012,previous-56,,FAIL,QA-B-1000-NEW-007,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Superseded/current defect: HIGH/CRITICAL generated-client gate does not require the typed Orval client it tracks
AB-R6-013,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-014,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-015,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-016,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-017,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-018,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-019,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-020,previous-56,,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Original finding requires live/runtime proof and remains unverified at current exact SHA.
AB-R6-021,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-022,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-023,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-024,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-025,previous-56,,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Original finding requires live/runtime proof and remains unverified at current exact SHA.
AB-R6-026,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-027,previous-56,,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Original finding requires live/runtime proof and remains unverified at current exact SHA.
AB-R6-028,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-029,previous-56,,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Original finding requires live/runtime proof and remains unverified at current exact SHA.
AB-R6-030,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-031,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-032,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-033,previous-56,,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Original finding requires live/runtime proof and remains unverified at current exact SHA.
AB-R6-034,previous-56,,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Original finding requires live/runtime proof and remains unverified at current exact SHA.
AB-R6-035,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-036,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-037,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-038,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-039,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-040,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-041,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-042,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-043,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-044,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-045,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-046,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-047,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-048,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-049,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-050,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-051,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-052,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-053,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-054,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
AB-R6-055,previous-56,,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Developer closure at prior basis was not inherited. Exact source row was retained in denominator but not independently re-opened to PASS.
