requirement_id,qa_status,finding_id,basis_sha,qa_note
ARCH-MISSION,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
ARCH-MSA,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
ARCH-BOUNDARY,FAIL,QA-B-1000-NEW-005,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Persistence MyBatis starter reuses com.cpf.core package namespace and drifts from canonical packageBase
ARCH-LAYER,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
CORE-API,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
CORE-SPI,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
CORE-CONFIG,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
CORE-TESTKIT,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
CPF-CALL,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
CPF-REGISTRY,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
CPF-ROUTING,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
CPF-HEALTH,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
CPF-HEADER,FAIL,QA-B-1000-NEW-003,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Authorized first-hop transactionId provenance has no proven producer before highest-precedence filter
CPF-CONTEXT,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
CPF-TXID,FAIL,QA-B-1000-NEW-003,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Authorized first-hop transactionId provenance has no proven producer before highest-precedence filter
CPF-ROLE,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
CPF-ERROR,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
CPF-VALID,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
CPF-IDEMP,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
CPF-STATE,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
CPF-LOCK,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
CPF-RESILIENCE,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
CPF-DEADLINE,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
CPF-SCHED,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
CPF-OPSDB,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
