requirement_id,scenario_id,title,owner_area,development_status,verification_status,actual_result,evidence_path,base_sha
QA39-045,QA39-045-SCN-001,기준 SHA·사전 리뷰·통합 Backlog,governance,완료,완료,PASS,cpf-docs/evidence/qa39/static/CPF_QA39_STATIC_VALIDATION.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-046,QA39-046-SCN-001,Starter 9축 물리 구조와 38종 parity,starter-layout,완료,완료,PASS,cpf-docs/evidence/qa39/apply/CPF_QA39_SYNTHETIC_APPLY.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-047,QA39-047-SCN-001,30개 exact 이동과 원자·멱등 적용,starter-move,완료,완료,PASS,cpf-docs/evidence/qa39/apply/CPF_QA39_SYNTHETIC_APPLY.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-048,QA39-048-SCN-001,Catalog·명칭·Settings·BOM 단일 정본,catalog-bom,완료,완료,PASS,cpf-docs/evidence/qa39/static/CPF_QA39_STATIC_VALIDATION.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-049,QA39-049-SCN-001,상용 Resilience Runtime과 실제 Consumer,resilience,완료,미검증,ENVIRONMENT_BLOCKED,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-050,QA39-050-SCN-001,상용 Feature Flag·승인·감사·일관성,feature-flag,완료,미검증,ENVIRONMENT_BLOCKED,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-051,QA39-051-SCN-001,OpenAPI standalone 내부화,openapi,완료,완료,PASS,cpf-docs/evidence/qa39/static/CPF_QA39_STATIC_VALIDATION.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-052,QA39-052-SCN-001,Public API/SPI/Internal 경계,boundary,완료,완료,PASS,cpf-docs/evidence/qa39/static/CPF_QA39_STATIC_VALIDATION.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-053,QA39-053-SCN-001,6개 실제 Profile Artifact 의미 통일,profiles,완료,미검증,ENVIRONMENT_BLOCKED,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-054,QA39-054-SCN-001,Internal Provider 실질 내부화,provider-binding,완료,미검증,ENVIRONMENT_BLOCKED,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-055,QA39-055-SCN-001,Batch Provider 중립화·복합 Worker Identity,batch,완료,미검증,ENVIRONMENT_BLOCKED,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-056,QA39-056-SCN-001,완료 상태·False Green Gate,evidence-gate,완료,완료,PASS,cpf-docs/evidence/qa39/static/CPF_QA39_STATIC_VALIDATION.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-057,QA39-057-SCN-001,Move/Delete Manifest 상태 모델,manifest,완료,완료,PASS,cpf-docs/evidence/qa39/static/CPF_QA39_STATIC_VALIDATION.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-058,QA39-058-SCN-001,Generator·Generated Domain 전체 조합,generator,완료,미검증,ENVIRONMENT_BLOCKED,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-059,QA39-059-SCN-001,외부 Runtime 장애·다중 인스턴스 Matrix,runtime,완료,미검증,ENVIRONMENT_BLOCKED,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-060,QA39-060-SCN-001,Oracle/PostgreSQL/MariaDB Lifecycle,database,완료,미검증,ENVIRONMENT_BLOCKED,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-061,QA39-061-SCN-001,ADM/BZA Frontend·3 Browser,frontend,완료,미검증,ENVIRONMENT_BLOCKED,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-062,QA39-062-SCN-001,Fresh Clone·CI Required Checks,ci,완료,미검증,ENVIRONMENT_BLOCKED,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-063,QA39-063-SCN-001,SBOM·License·Vulnerability·Publication,supply-chain,완료,미검증,ENVIRONMENT_BLOCKED,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
QA39-064,QA39-064-SCN-001,사후 리뷰·Handover·Overlay Delivery,delivery,완료,완료,PASS,cpf-docs/evidence/qa39/static/CPF_QA39_STATIC_VALIDATION.sanitized.json,4aea798c913787e86341809e2cef2b9495cbf7ba
