requirement_id,layer,priority,area,development_status,verification_status,next_acceptance
ARCH-MISSION,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
ARCH-MSA,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
ARCH-BOUNDARY,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
ARCH-LAYER,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
CORE-API,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
CORE-SPI,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
CORE-CONFIG,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
CORE-TESTKIT,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
CPF-CALL,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
CPF-REGISTRY,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
CPF-ROUTING,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
CPF-HEALTH,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
CPF-HEADER,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
CPF-CONTEXT,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
CPF-TXID,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
CPF-ROLE,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
CPF-ERROR,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
CPF-VALID,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
CPF-IDEMP,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
CPF-STATE,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
CPF-LOCK,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
CPF-RESILIENCE,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
CPF-DEADLINE,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
CPF-SCHED,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
CPF-OPSDB,CANONICAL,P0,Architecture/Core,부분 구현,미검증,17-axis scenario matrix complete
