path,purpose,review_order,impact
cpf-docs/governance/CPF_DOCUMENT_CANONICAL_INDEX.md,governance canonical/policy,1,Architecture/QA/Tooling
cpf-docs/governance/CPF_DOCUMENT_CONTROL_POLICY.md,governance canonical/policy,2,Architecture/QA/Tooling
cpf-docs/governance/CPF_GENERATED_DOMAIN_LIFECYCLE_POLICY.md,governance canonical/policy,3,Architecture/QA/Tooling
cpf-docs/governance/CPF_REPOSITORY_SURFACE_INDEX.md,governance canonical/policy,4,Architecture/QA/Tooling
cpf-docs/governance/CPF_STARTER_ARCHITECTURE_AND_LIFECYCLE_POLICY.md,governance canonical/policy,5,Architecture/QA/Tooling
cpf-docs/governance/CPF_VERIFICATION_GATE_LIFECYCLE_POLICY.md,governance canonical/policy,6,Architecture/QA/Tooling
cpf-docs/governance/history/CPF_DOMAIN_LIFECYCLE_HISTORY.csv,governance canonical/policy,7,Architecture/QA/Tooling
cpf-docs/governance/history/CPF_QA_DOCUMENT_HISTORY_LEDGER.csv,governance canonical/policy,8,Architecture/QA/Tooling
cpf-docs/governance/history/CPF_STARTER_ARCHITECTURE_DECISION_LEDGER.csv,governance canonical/policy,9,Architecture/QA/Tooling
cpf-docs/work/repository-consolidation/20260802/ACCOUNT_LIFECYCLE_INVESTIGATION.md,repository/core/starter consolidation,10,Architecture/QA/Tooling
cpf-docs/work/repository-consolidation/20260802/APPLY_AND_CLEANUP.md,repository/core/starter consolidation,11,Architecture/QA/Tooling
cpf-docs/work/repository-consolidation/20260802/CORE_AND_BASE_STARTER_FINAL_ARCHITECTURE_DECISION.md,repository/core/starter consolidation,12,Architecture/QA/Tooling
cpf-docs/work/repository-consolidation/20260802/CORE_LIGHTWEIGHT_RUNTIME_DEPENDENCY_REVIEW.csv,repository/core/starter consolidation,13,Architecture/QA/Tooling
cpf-docs/work/repository-consolidation/20260802/CPF_FINAL_TARGET_REQUIREMENTS_STARTER_AMENDMENT_PROPOSAL.md,repository/core/starter consolidation,14,Architecture/QA/Tooling
cpf-docs/work/repository-consolidation/20260802/DATE_STAMPED_PATH_REVIEW.csv,repository/core/starter consolidation,15,Architecture/QA/Tooling
cpf-docs/work/repository-consolidation/20260802/DEFERRED_CLEANUP_CANDIDATES.csv,repository/core/starter consolidation,16,Architecture/QA/Tooling
