bundle_id,related_exact_ids,related_request_ids,contract_files,implementation_refs,consumer_refs,test_refs,vendor_sql_refs,frontend_refs,evidence_refs,regression_status,closure_status
BND-BASELINE-PROVENANCE,,,S01~S06 source ledgers,results/detail/provenance/**,source consumers,source evidence,,,results/TEST_EXECUTION_LEDGER.csv|results/EVIDENCE_CATALOG_INDEX.csv,PASS,CLOSED
BND-CRYPTO-AGILITY,,S06-INT-CORE-CRYPTO-AGILITY,cpf-core security crypto,cpf-common JCE provider,ADM/security consumers,IntegrationClosureHarness,3 vendor integration closure SQL,,results/TEST_EXECUTION_LEDGER.csv|results/EVIDENCE_CATALOG_INDEX.csv,PASS,CLOSED
BND-TIME-STANDARD,,IR-S02-RUNTIME|S06-ENV-JAVA25-GRADLE91-RUNTIME|S06-INT-CACHE-VALKEY-MISSING-RUNTIME|S06-INT-CORE-TIME-STANDARD,cpf-core time contract,cpf-common time operations,lease/time health consumer,IntegrationClosureHarness,,ADM time health,results/TEST_EXECUTION_LEDGER.csv|results/EVIDENCE_CATALOG_INDEX.csv,PASS,CLOSED
BND-FIELD-ENCRYPTION,,S06-INT-DATA-FIELD-ENCRYPTION,cpf-core field encryption,cpf-common protected record,ADM data quality/data protection,IntegrationClosureHarness,3 vendor lifecycle SQL,,results/TEST_EXECUTION_LEDGER.csv|results/EVIDENCE_CATALOG_INDEX.csv,PASS,CLOSED
BND-DATA-QUALITY,,S06-INT-DATA-QUALITY-OPERATIONS,cpf-core data quality,cpf-common quarantine operations,ADM controller/generated client,IntegrationClosureHarness,3 vendor lifecycle SQL,ADM generated client,results/TEST_EXECUTION_LEDGER.csv|results/EVIDENCE_CATALOG_INDEX.csv,PASS,CLOSED
BND-WEBHOOK-LIFECYCLE,,S06-INT-WEBHOOK-CALLBACK-LIFECYCLE,cpf-core webhook,webhook starter provider,ADM DLQ/replay consumer,IntegrationClosureHarness concurrency/UNKNOWN,3 vendor lifecycle SQL,ADM generated client,results/TEST_EXECUTION_LEDGER.csv|results/EVIDENCE_CATALOG_INDEX.csv,PASS,CLOSED
BND-BATCH-UNKNOWN-RECONCILIATION,,ICR-V9-S02-S04-0002,Batch UNKNOWN fail-closed SQL,3 vendor runtime/provider SQL,scheduler/center-cut/remote-message consumers,batch unknown semantic gate,Oracle/PostgreSQL/MariaDB V103 lifecycle,,results/TEST_EXECUTION_LEDGER.csv|results/EVIDENCE_CATALOG_INDEX.csv,PASS,CLOSED
BND-ADM-INTEGRATION-CONSUMER,,,ADM REST/OpenAPI,AdmIntegrationClosureService/Controller,generated client/store,ADM javac + TypeScript tsc,,ADM frontend,results/TEST_EXECUTION_LEDGER.csv|results/EVIDENCE_CATALOG_INDEX.csv,PASS,CLOSED
BND-ADM-ROUTE-CLOSURE,,S06-INT-ADM-ROUTE-RAW-URL-OWNERSHIP,relative route ownership,routeClosureMethods,ADM batch consumer,raw URL gate,,ADM frontend,results/TEST_EXECUTION_LEDGER.csv|results/EVIDENCE_CATALOG_INDEX.csv,PASS,CLOSED
BND-ADM-BROWSER-RELEASE,,S06-INT-ADM-BROWSER-RELEASE-CONTRACT,Playwright release contract,playwright config,ADM browser suite,static project path review,,ADM frontend,results/TEST_EXECUTION_LEDGER.csv|results/EVIDENCE_CATALOG_INDEX.csv,STATIC_PASS_TARGET_BROWSER_TRACKED,CLOSED_DEVGPT
