bundle_id,file_path,file_type,change_type,owner_module,actual_consumer_role,sha256,size_bytes,tracked_in_git,verification_result
BND-ADM-BROWSER-RELEASE,cpf-admin/frontend/playwright.config.ts,TS,UPDATE,cpf-admin,Product Source / Consumer / Test / SQL / Script,ded53cf344d711086db4b13154b024bb6fb85c655df20e00a186b69a308404e2,1847,true,PASS_STATIC_OR_DIRECT
BND-ADM-INTEGRATION-CONSUMER,cpf-admin/frontend/src/app/methods/integrationClosureMethods.ts,TS,ADD,cpf-admin,Product Source / Consumer / Test / SQL / Script,a2467c63913fc60b9c69e56747b522b3063382fe05ba4df87bc80154773f2398,1354,true,PASS_STATIC_OR_DIRECT
BND-ADM-ROUTE-CLOSURE,cpf-admin/frontend/src/app/methods/routeClosureMethods.ts,TS,UPDATE,cpf-admin,Product Source / Consumer / Test / SQL / Script,8646b1b0032832b30a029eda6ef22db94b11736e055bbcc6bd401d334205ec88,14795,true,PASS_STATIC_OR_DIRECT
BND-ADM-INTEGRATION-CONSUMER,cpf-admin/frontend/src/generated/integrationClosureApi.ts,TS,ADD,cpf-admin,Product Source / Consumer / Test / SQL / Script,2ba5c8afa01b62d4c2a8809d5e240385daa7b77c78818125b74276a3300f4b9b,2012,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-admin/frontend/src/state/createAdmState.ts,TS,UPDATE,cpf-admin,Product Source / Consumer / Test / SQL / Script,b2650e409851e6956135b5ea84476fe3f841b4be17b9f54f9330021d91196492,22909,true,PASS_STATIC_OR_DIRECT
BND-FINAL-INTEGRATION-CLOSURE,cpf-admin/frontend/src/stores/admConsoleStore.ts,TS,UPDATE,cpf-admin,Product Source / Consumer / Test / SQL / Script,a4d110f8da4a4bb9c2f1665874f8754abd485141d70eb37f8dd9772d8772b925,6671,true,PASS_STATIC_OR_DIRECT
BND-ADM-INTEGRATION-CONSUMER,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmIntegrationClosureController.java,JAVA,ADD,cpf-admin,Product Source / Consumer / Test / SQL / Script,f5aa5dde064dac12a3952e2e6e8d6ab5d6d8b721580c1df235c18b99f90a1b0e,3572,true,PASS_STATIC_OR_DIRECT
BND-ADM-INTEGRATION-CONSUMER,cpf-admin/src/main/java/com/cpf/admin/opr/integration/AdmIntegrationClosureService.java,JAVA,ADD,cpf-admin,Product Source / Consumer / Test / SQL / Script,cb3ee7f9e9dad4d39e83ace8e022c8361195e0a6f1435f29b24b19a4547fa7c5,1565,true,PASS_STATIC_OR_DIRECT
BND-FIELD-ENCRYPTION,cpf-common/src/main/java/com/cpf/common/data/encryption/CpfProtectedRecordService.java,JAVA,ADD,cpf-common,Product Source / Consumer / Test / SQL / Script,365e222fd46c8d11687d44684c7c6e9ab4d2842f39dc0c5949c85f1864efc0ee,2013,true,PASS_STATIC_OR_DIRECT
BND-FIELD-ENCRYPTION,cpf-common/src/main/java/com/cpf/common/data/encryption/DefaultCpfFieldEncryptionOperations.java,JAVA,ADD,cpf-common,Product Source / Consumer / Test / SQL / Script,58c962dd360c1433b64c277a5843f4d942bfce918a6e5cc8faf1c25ba7f196b0,3688,true,PASS_STATIC_OR_DIRECT
BND-DATA-QUALITY,cpf-common/src/main/java/com/cpf/common/data/quality/InMemoryCpfDataQualityOperations.java,JAVA,ADD,cpf-common,Product Source / Consumer / Test / SQL / Script,8c5dacc5addd8cebb085e8cfb0c8539bfd76e95ae2401828aeae14fb40bd5370,4594,true,PASS_STATIC_OR_DIRECT
BND-CRYPTO-AGILITY,cpf-common/src/main/java/com/cpf/common/security/crypto/JceCpfCryptoOperations.java,JAVA,ADD,cpf-common,Product Source / Consumer / Test / SQL / Script,269506879a194c6b94ba2b2bf15e9c74ca6419fdbad80ec97898488a0ef8e751,6621,true,PASS_STATIC_OR_DIRECT
BND-TIME-STANDARD,cpf-common/src/main/java/com/cpf/common/time/CpfLeaseTimeService.java,JAVA,ADD,cpf-common,Product Source / Consumer / Test / SQL / Script,e0e3c165c80ef24071d793e26246ecd9b2ead5c63d59902007795e1b795ff690,1398,true,PASS_STATIC_OR_DIRECT
BND-TIME-STANDARD,cpf-common/src/main/java/com/cpf/common/time/DeterministicCpfTimeOperations.java,JAVA,ADD,cpf-common,Product Source / Consumer / Test / SQL / Script,2a9c1cd8726d786db26a89efb8304e9c023aff21b68265019670a05f94a6bb45,827,true,PASS_STATIC_OR_DIRECT
BND-TIME-STANDARD,cpf-common/src/main/java/com/cpf/common/time/SystemCpfTimeOperations.java,JAVA,ADD,cpf-common,Product Source / Consumer / Test / SQL / Script,c046b009a058b0f439cfda91afde72e69efd43aa0ad9cdda75c0a8e884a36d1c,1054,true,PASS_STATIC_OR_DIRECT
