request_id,closure_status,consumer_regression_status,remaining_gap,evidence_ref,updated_at
ICR-DEVGPT-V9-S04-001,CLOSED_DEVGPT,PASS_DIRECT_OR_EQUIVALENT,,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
ICR-DEVGPT-V9-S04-002,CLOSED_DEVGPT,PASS_DIRECT_OR_EQUIVALENT,,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
ICR-DEVGPT-V9-S04-003,CLOSED_DEVGPT,PASS_DIRECT_OR_EQUIVALENT,,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
ICR-DEVGPT-V9-S04-004,CLOSED_DEVGPT,PASS_DIRECT_OR_EQUIVALENT,,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
ICR-DEVGPT-V9-S04-005,CLOSED_DEVGPT,PASS_DIRECT_OR_EQUIVALENT,,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
ICR-DEVGPT-V9-S04-006,CLOSED_DEVGPT,PASS_DIRECT_OR_EQUIVALENT,,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
ICR-V9-S02-MGMT-0002,CLOSED_DEVGPT,PASS_DIRECT_OR_EQUIVALENT,,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
ICR-V9-S02-S04-0002,CLOSED_DEVGPT,PASS_DIRECT_OR_EQUIVALENT,,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
ICR-V9-S02-S05-0001,CLOSED_DEVGPT,PASS_DIRECT_OR_EQUIVALENT,,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
ICR-V9-S05-S06-FULL-ASSIGNMENT-ALIASES-001,CLOSED_DEVGPT,PASS_DIRECT_OR_EQUIVALENT,,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
IR-S02-RUNTIME,CLOSED_DEVGPT,PASS_DIRECT_OR_EQUIVALENT,,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
IR-S04-DB,CLOSED_DEVGPT,PASS_DIRECT_OR_EQUIVALENT,,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
IR-S05-ADM-BZA,CLOSED_DEVGPT,PASS_DIRECT_OR_EQUIVALENT,,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
IR-S06-BUILD-GENERATOR,CLOSED_DEVGPT,PASS_DIRECT_OR_EQUIVALENT,,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
IR-S06-SECURITY-STARTERS,CLOSED_DEVGPT,PASS_DIRECT_OR_EQUIVALENT,,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
S03-ICR-001,CLOSED_DEVGPT,PASS_DIRECT_OR_EQUIVALENT,,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
S03-ICR-002,CLOSED_DEVGPT,PASS_DIRECT_OR_EQUIVALENT,,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
S03-ICR-003,CLOSED_DEVGPT,PASS_DIRECT_OR_EQUIVALENT,,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
S03-ICR-004,CLOSED_DEVGPT,PASS_DIRECT_OR_EQUIVALENT,,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
S03-ICR-005,CLOSED_DEVGPT,PASS_DIRECT_OR_EQUIVALENT,,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
S06-DELETE-OPENAPI-WEBMVC-STALE-ROOT,EXTERNAL_APPROVAL_OR_TARGET_RUNTIME_READY,IMPLEMENTATION_REVIEW_COMPLETE,External user delete approval,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
S06-ENV-JAVA25-GRADLE91-RUNTIME,EXTERNAL_APPROVAL_OR_TARGET_RUNTIME_READY,IMPLEMENTATION_REVIEW_COMPLETE,Java25/Gradle9.1 target runtime execution,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
S06-INT-ADM-APPROVAL-DUAL-PRIMARY,CLOSED_DEVGPT,PASS_DIRECT_OR_EQUIVALENT,,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
S06-INT-ADM-BROWSER-RELEASE-CONTRACT,CLOSED_DEVGPT,PASS_DIRECT_OR_EQUIVALENT,,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
S06-INT-ADM-ROUTE-RAW-URL-OWNERSHIP,CLOSED_DEVGPT,PASS_DIRECT_OR_EQUIVALENT,,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
S06-INT-CACHE-VALKEY-MISSING-RUNTIME,CLOSED_DEVGPT,PASS_DIRECT_OR_EQUIVALENT,,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
S06-INT-CORE-CRYPTO-AGILITY,CLOSED_DEVGPT,PASS_DIRECT_OR_EQUIVALENT,,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
S06-INT-CORE-TIME-STANDARD,CLOSED_DEVGPT,PASS_DIRECT_OR_EQUIVALENT,,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
S06-INT-DATA-FIELD-ENCRYPTION,CLOSED_DEVGPT,PASS_DIRECT_OR_EQUIVALENT,,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
S06-INT-DATA-QUALITY-OPERATIONS,CLOSED_DEVGPT,PASS_DIRECT_OR_EQUIVALENT,,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
S06-INT-NOTIFICATION-INCIDENT-CANONICAL-DB-PARITY,CLOSED_DEVGPT,PASS_DIRECT_OR_EQUIVALENT,,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
S06-INT-WEBHOOK-CALLBACK-LIFECYCLE,CLOSED_DEVGPT,PASS_DIRECT_OR_EQUIVALENT,,EVID-REQUEST-CLOSURE,2026-08-06T05:14:50+09:00
