request_id,requester_session,target_session,target_owner,priority,related_work_item_count,related_cpf_fr_count,related_cpf_sc_count,related_gate_count,request_reason,requested_change_ref,owner_response_ref,source_status_ref,exact_id_link_ref,actual_consumer,reproduction_ref,command_ref,acceptance_ref,proposed_overlay_ref,implementation_basis,consumer_regression_status,closure_status,remaining_gap,evidence_ref,baseline_sha,updated_at,exception_reason
ICR-DEVGPT-V9-S04-001,S04,,V9 Management / S06,P0,0,0,0,8,,evidence/requests/ICR-DEVGPT-V9-S04-001_INTEGRATION_CHANGE_REQUEST.md,,,REQ-LINK:ICR-DEVGPT-V9-S04-001,,,,evidence/requests/ICR-DEVGPT-V9-S04-001_INTEGRATION_CHANGE_REQUEST.md,,latest master + final integration bundles + execution ledger,PASS_DIRECT_OR_EQUIVALENT,CLOSED_DEVGPT,,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
ICR-DEVGPT-V9-S04-002,S04,,S06 Generator·Root Publication,P0,0,0,0,8,,evidence/requests/ICR-DEVGPT-V9-S04-002_INTEGRATION_CHANGE_REQUEST.md,,,REQ-LINK:ICR-DEVGPT-V9-S04-002,,,,evidence/requests/ICR-DEVGPT-V9-S04-002_INTEGRATION_CHANGE_REQUEST.md,,latest master + final integration bundles + execution ledger,PASS_DIRECT_OR_EQUIVALENT,CLOSED_DEVGPT,,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
ICR-DEVGPT-V9-S04-003,S04,,S05 Admin·API·Frontend,P1,0,0,0,8,,evidence/requests/ICR-DEVGPT-V9-S04-003_INTEGRATION_CHANGE_REQUEST.md,,,REQ-LINK:ICR-DEVGPT-V9-S04-003,,,,evidence/requests/ICR-DEVGPT-V9-S04-003_INTEGRATION_CHANGE_REQUEST.md,,latest master + final integration bundles + execution ledger,PASS_DIRECT_OR_EQUIVALENT,CLOSED_DEVGPT,,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
ICR-DEVGPT-V9-S04-004,S04,,S02 Batch Runtime,P1,0,0,0,8,,evidence/requests/ICR-DEVGPT-V9-S04-004_INTEGRATION_CHANGE_REQUEST.md,,,REQ-LINK:ICR-DEVGPT-V9-S04-004,,,,evidence/requests/ICR-DEVGPT-V9-S04-004_INTEGRATION_CHANGE_REQUEST.md,,latest master + final integration bundles + execution ledger,PASS_DIRECT_OR_EQUIVALENT,CLOSED_DEVGPT,,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
ICR-DEVGPT-V9-S04-005,S04,,S03 Async·Outbox,P1,0,0,0,8,,evidence/requests/ICR-DEVGPT-V9-S04-005_INTEGRATION_CHANGE_REQUEST.md,,,REQ-LINK:ICR-DEVGPT-V9-S04-005,,,,evidence/requests/ICR-DEVGPT-V9-S04-005_INTEGRATION_CHANGE_REQUEST.md,,latest master + final integration bundles + execution ledger,PASS_DIRECT_OR_EQUIVALENT,CLOSED_DEVGPT,,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
ICR-DEVGPT-V9-S04-006,S04,,S01 Core Transaction,P1,0,0,0,8,,evidence/requests/ICR-DEVGPT-V9-S04-006_INTEGRATION_CHANGE_REQUEST.md,,,REQ-LINK:ICR-DEVGPT-V9-S04-006,,,,evidence/requests/ICR-DEVGPT-V9-S04-006_INTEGRATION_CHANGE_REQUEST.md,,latest master + final integration bundles + execution ledger,PASS_DIRECT_OR_EQUIVALENT,CLOSED_DEVGPT,,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
ICR-V9-S02-MGMT-0002,S02,,V9 Management/Assignment Owner,,141,3136,4564,9,,evidence/requests/ICR-V9-S02-MGMT-0002_INTEGRATION_CHANGE_REQUEST.md,,,REQ-LINK:ICR-V9-S02-MGMT-0002,,,,evidence/requests/ICR-V9-S02-MGMT-0002_INTEGRATION_CHANGE_REQUEST.md,,latest master + final integration bundles + execution ledger,PASS_DIRECT_OR_EQUIVALENT,CLOSED_DEVGPT,,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
ICR-V9-S02-S04-0002,S02,,DB·SQL·Vendor Pack Integration Owner,,141,3136,4564,9,,evidence/requests/ICR-V9-S02-S04-0002_INTEGRATION_CHANGE_REQUEST.md,,,REQ-LINK:ICR-V9-S02-S04-0002,,,,evidence/requests/ICR-V9-S02-S04-0002_INTEGRATION_CHANGE_REQUEST.md,,latest master + final integration bundles + execution ledger,PASS_DIRECT_OR_EQUIVALENT,CLOSED_DEVGPT,,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
ICR-V9-S02-S05-0001,S02|S05,,ADM/OpenAPI/Frontend Integration Owner|DEVGPT-V9-S05,,141,3136,4564,11,,evidence/requests/ICR-V9-S02-S05-0001_INTEGRATION_CHANGE_REQUEST.md,evidence/requests/ICR-V9-S02-S05-0001_RESPONSE.md,,REQ-LINK:ICR-V9-S02-S05-0001,,,,evidence/requests/ICR-V9-S02-S05-0001_INTEGRATION_CHANGE_REQUEST.md,,latest master + final integration bundles + execution ledger,PASS_DIRECT_OR_EQUIVALENT,CLOSED_DEVGPT,,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
ICR-V9-S05-S06-FULL-ASSIGNMENT-ALIASES-001,S05,,DEVGPT-V9-S06,,0,0,0,11,,evidence/requests/ICR-V9-S05-S06-FULL-ASSIGNMENT-ALIASES-001_INTEGRATION_CHANGE_REQUEST.md,,,REQ-LINK:ICR-V9-S05-S06-FULL-ASSIGNMENT-ALIASES-001,,,,evidence/requests/ICR-V9-S05-S06-FULL-ASSIGNMENT-ALIASES-001_INTEGRATION_CHANGE_REQUEST.md,,latest master + final integration bundles + execution ledger,PASS_DIRECT_OR_EQUIVALENT,CLOSED_DEVGPT,,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
IR-S02-RUNTIME,S01,,,,20,658,1052,5,,evidence/requests/IR-S02-RUNTIME_REQUEST.md,,,REQ-LINK:IR-S02-RUNTIME,,,,evidence/requests/IR-S02-RUNTIME_REQUEST.md,,latest master + final integration bundles + execution ledger,PASS_DIRECT_OR_EQUIVALENT,CLOSED_DEVGPT,,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
IR-S04-DB,S01,,,,20,658,1052,5,,evidence/requests/IR-S04-DB_REQUEST.md,,,REQ-LINK:IR-S04-DB,,,,evidence/requests/IR-S04-DB_REQUEST.md,,latest master + final integration bundles + execution ledger,PASS_DIRECT_OR_EQUIVALENT,CLOSED_DEVGPT,,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
IR-S05-ADM-BZA,S01,,,,20,658,1052,5,,evidence/requests/IR-S05-ADM-BZA_REQUEST.md,,,REQ-LINK:IR-S05-ADM-BZA,,,,evidence/requests/IR-S05-ADM-BZA_REQUEST.md,,latest master + final integration bundles + execution ledger,PASS_DIRECT_OR_EQUIVALENT,CLOSED_DEVGPT,,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
IR-S06-BUILD-GENERATOR,S01,,,,20,658,1052,5,,evidence/requests/IR-S06-BUILD-GENERATOR_REQUEST.md,,,REQ-LINK:IR-S06-BUILD-GENERATOR,,,,evidence/requests/IR-S06-BUILD-GENERATOR_REQUEST.md,,latest master + final integration bundles + execution ledger,PASS_DIRECT_OR_EQUIVALENT,CLOSED_DEVGPT,,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
IR-S06-SECURITY-STARTERS,S01,,,,20,658,1052,5,,evidence/requests/IR-S06-SECURITY-STARTERS_REQUEST.md,,,REQ-LINK:IR-S06-SECURITY-STARTERS,,,,evidence/requests/IR-S06-SECURITY-STARTERS_REQUEST.md,,latest master + final integration bundles + execution ledger,PASS_DIRECT_OR_EQUIVALENT,CLOSED_DEVGPT,,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
S03-ICR-001,S03,,DEVGPT-V9-S04,,40,614,801,9,,evidence/requests/S03-ICR-001_INTEGRATION_CHANGE_REQUEST.md,,,REQ-LINK:S03-ICR-001,,,,evidence/requests/S03-ICR-001_INTEGRATION_CHANGE_REQUEST.md,,latest master + final integration bundles + execution ledger,PASS_DIRECT_OR_EQUIVALENT,CLOSED_DEVGPT,,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
S03-ICR-002,S03,,DEVGPT-V9-S05,,40,614,801,9,,evidence/requests/S03-ICR-002_INTEGRATION_CHANGE_REQUEST.md,,,REQ-LINK:S03-ICR-002,,,,evidence/requests/S03-ICR-002_INTEGRATION_CHANGE_REQUEST.md,,latest master + final integration bundles + execution ledger,PASS_DIRECT_OR_EQUIVALENT,CLOSED_DEVGPT,,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
S03-ICR-003,S03,,DEVGPT-V9-S06,,40,614,801,9,,evidence/requests/S03-ICR-003_INTEGRATION_CHANGE_REQUEST.md,,,REQ-LINK:S03-ICR-003,,,,evidence/requests/S03-ICR-003_INTEGRATION_CHANGE_REQUEST.md,,latest master + final integration bundles + execution ledger,PASS_DIRECT_OR_EQUIVALENT,CLOSED_DEVGPT,,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
S03-ICR-004,S03,,DEVGPT-V9-S01,,40,614,801,9,,evidence/requests/S03-ICR-004_INTEGRATION_CHANGE_REQUEST.md,,,REQ-LINK:S03-ICR-004,,,,evidence/requests/S03-ICR-004_INTEGRATION_CHANGE_REQUEST.md,,latest master + final integration bundles + execution ledger,PASS_DIRECT_OR_EQUIVALENT,CLOSED_DEVGPT,,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
S03-ICR-005,S03,,DEVGPT-V9-S02,,40,614,801,9,,evidence/requests/S03-ICR-005_INTEGRATION_CHANGE_REQUEST.md,,,REQ-LINK:S03-ICR-005,,,,evidence/requests/S03-ICR-005_INTEGRATION_CHANGE_REQUEST.md,,latest master + final integration bundles + execution ledger,PASS_DIRECT_OR_EQUIVALENT,CLOSED_DEVGPT,,EVID-REQUEST-CLOSURE,2a013663090d4e430a15983ad7269f8e86c5ef58,2026-08-06T05:14:50+09:00,
