work_package_id,requirement_group,owner_module,first_execution_order,last_execution_order,first_requirement_id,last_requirement_id,requirement_count,scenario_count,qa_pass,qa_fail,qa_unverified,actual_review_status
P09-ADM-UI-ONLINE,ADM_UI,cpf-admin,09-00017453,09-00017482,CPF-FR-017453,CPF-FR-017482,30,43,5,19,6,검수 완료
P09-ADM-UI-GATEWAY,ADM_UI,cpf-admin,09-00017483,09-00017865,CPF-FR-017483,CPF-FR-017865,383,630,82,225,76,검수 완료
P09-ADM-UI-BATCH,ADM_UI,cpf-admin,09-00017866,09-00018337,CPF-FR-017866,CPF-FR-018337,472,784,186,189,97,검수 완료
P09-ADM-UI-INTEGRATION,ADM_UI,cpf-admin,09-00018338,09-00018602,CPF-FR-018338,CPF-FR-018602,265,434,42,169,54,검수 완료
P09-ADM-UI-MONITORING,ADM_UI,cpf-admin,09-00018603,09-00018924,CPF-FR-018603,CPF-FR-018924,322,530,61,198,63,검수 완료
P09-ADM-UI-FRAMEWORK,ADM_UI,cpf-admin,09-00018925,09-00019410,CPF-FR-018925,CPF-FR-019410,486,798,82,313,91,검수 완료
P09-BZA-UI-HOME,BZA_UI,cpf-biz-admin,09-00019411,09-00019564,CPF-FR-019411,CPF-FR-019564,154,258,29,91,34,검수 완료
P09-BZA-UI-WORKFORCE,BZA_UI,cpf-biz-admin,09-00019565,09-00019886,CPF-FR-019565,CPF-FR-019886,322,530,88,167,67,검수 완료
P09-BZA-UI-ACCESS,BZA_UI,cpf-biz-admin,09-00019887,09-00020231,CPF-FR-019887,CPF-FR-020231,345,566,97,178,70,검수 완료
P09-BZA-UI-APPROVAL,BZA_UI,cpf-biz-admin,09-00020232,09-00020456,CPF-FR-020232,CPF-FR-020456,225,368,49,129,47,검수 완료
P09-BZA-UI-DOMAIN,BZA_UI,cpf-biz-admin,09-00020457,09-00020622,CPF-FR-020457,CPF-FR-020622,166,270,0,126,40,검수 완료
