finding_id,severity,finding_type,affected_requirement_count,description,required_fix,standalone_failure_evidence,affected_id_map,status
QA6E-C001,P0,COMMON_LEDGER,5093,기존 R4 원장·Evidence는 현재 exact SHA PASS로 자동 승계할 수 없다.,현재 exact SHA에서 Source·Consumer·Test·Runtime Evidence를 재생성한다.,NO,cpf-docs/evidence/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/FINDING_REQUIREMENT_MAP_QA-6E.csv,재개발·재검수 요청
QA6E-F001,P0,OWNER_CONSUMER,797,전용 Route·Consumer·Owner 호출 경로가 없거나 잘못 연결됐다.,정확한 Owner/API/SPI/Consumer와 정상·오류·부분실패·UNKNOWN Test를 연결한다.,YES_AFTER_INDIVIDUAL_REVIEW,cpf-docs/evidence/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/FINDING_REQUIREMENT_MAP_QA-6E.csv,재개발·재검수 요청
QA6E-F002,P1,PAGING_FILTER,170,Server paging·total·stable sort·filter allowlist가 불완전하다.,page/cursor·total·stable tie-break sort·filter allowlist와 대량 데이터 Test를 구현한다.,YES_AFTER_INDIVIDUAL_REVIEW,cpf-docs/evidence/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/FINDING_REQUIREMENT_MAP_QA-6E.csv,재개발·재검수 요청
QA6E-F003,P1,DETAIL_AUDIT,399,상세·History·Audit·Timeline·before/after 연결이 부족하다.,identity/version/actor/reason/result/operationId 기반 상세와 deep link를 구현한다.,YES_AFTER_INDIVIDUAL_REVIEW,cpf-docs/evidence/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/FINDING_REQUIREMENT_MAP_QA-6E.csv,재개발·재검수 요청
QA6E-F004,P0,PARTIAL_UNKNOWN,353,Partial·STALE·UNKNOWN·freshness·reconcile 계약이 부족하다.,응답/ACK 유실과 side-effect 전후 실패를 포함한 reconcile/compensation/manual recovery를 구현한다.,YES_AFTER_INDIVIDUAL_REVIEW,cpf-docs/evidence/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/FINDING_REQUIREMENT_MAP_QA-6E.csv,재개발·재검수 요청
QA6E-F005,P0,CONCURRENCY_IDEMPOTENCY,106,CAS·requestHash·idempotency·lost-update 방어가 불완전하다.,"expectedVersion+operationId+requestHash, replay result와 409/audit를 연결한다.",YES_AFTER_INDIVIDUAL_REVIEW,cpf-docs/evidence/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/FINDING_REQUIREMENT_MAP_QA-6E.csv,재개발·재검수 요청
QA6E-F006,P1,ACCESSIBILITY,247,Keyboard·focus·screen reader·3 Browser 접근성 보장이 부족하다.,"semantic control, focus return, aria-live와 Chromium/Firefox/WebKit Test를 추가한다.",YES_AFTER_INDIVIDUAL_REVIEW,cpf-docs/evidence/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/FINDING_REQUIREMENT_MAP_QA-6E.csv,재개발·재검수 요청
QA6E-F007,P1,OPENAPI_CONSUMER,97,Generated Client/OpenAPI operation과 실제 Consumer가 일치하지 않는다.,raw URL을 Generated Client로 전환하고 operation-consumer closure Gate를 실행한다.,YES_AFTER_INDIVIDUAL_REVIEW,cpf-docs/evidence/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/FINDING_REQUIREMENT_MAP_QA-6E.csv,재개발·재검수 요청
QA6E-U001,P0,ENVIRONMENT_DIFFERENCE,1509,Java25·3 Vendor DB·Broker·3 Browser 또는 exact-SHA Runtime 실행이 남았다.,직접 또는 동등 대체검증을 실행하고 exit code·log·artifact hash를 제출한다.,NO,cpf-docs/evidence/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/FINDING_REQUIREMENT_MAP_QA-6E.csv,환경차이 미검증
QA6E-F008,P0,TRACEABILITY,192,R4 generic path 반복 매핑이 실제 Owner/Consumer를 증명하지 못한다.,Work Package별 canonical source/test/sql/frontend 경로와 semantic mapping Gate를 재구성한다.,YES_AFTER_INDIVIDUAL_REVIEW,cpf-docs/evidence/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/FINDING_REQUIREMENT_MAP_QA-6E.csv,재개발·재검수 요청
QA6E-P001,P1,QA_DIRECT_PATCH,2,ADM 알림 화면이 Store에 없는 action 3개를 호출했다.,QA Patch로 action과 Test를 추가했다. raw URL·submit result 잔여 결함은 별도 재개발한다.,PARTIAL_FIX_ONLY,cpf-docs/evidence/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/FINDING_REQUIREMENT_MAP_QA-6E.csv,QA 직접보완 부분 완료 / 교차검토 대기
