path,change_type,purpose,sha256,size_bytes,protected_path,delete_target
cpf-admin/frontend/src/app/methods/referenceMethods.notification.test.ts,ADD,QA direct patch,5d8d472e54db34541cf0f1796a45b66f607c0179b4d5fe7c20ab09c0906379ca,2324,NO,NO
cpf-admin/frontend/src/app/methods/referenceMethods.ts,MODIFY,QA direct patch,b688930da58e0f3eedbd47445af952b658611bde333dc057bc8d30551133a4c8,16095,NO,NO
cpf-docs/evidence/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/ACTUAL_PROGRESS_SUMMARY_FINAL.json,ADD,QA review/evidence/package artifact,b166fc89fde80b78ac9cae40b7d847485da43ffc78263410c69a00a15114b3cd,652,NO,NO
cpf-docs/evidence/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/ENVIRONMENT_AND_EXECUTION.txt,ADD,QA review/evidence/package artifact,8310489a9ddcf7cce73dda3931c93279a0487030bb8b6bc5a11c207a713e0ed8,623,NO,NO
cpf-docs/evidence/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/FINDING_REQUIREMENT_MAP_QA-6E.csv,ADD,QA review/evidence/package artifact,d9d5208d37016eb5d5a3a6953651adbdff480643b7203b28efc413a92bfcd0b4,224153,NO,NO
cpf-docs/evidence/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/PATCH_REFERENCE_METHODS.diff,ADD,QA review/evidence/package artifact,b300c05c61d97e2751434595133852803a98b753b29227aa2ba0b8a3a6523cd7,2097,NO,NO
cpf-docs/evidence/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/PATCH_SECRET_SCAN.json,ADD,QA review/evidence/package artifact,44b18af01d756c0165b7757bdff9117178dceffca7ad70f881ca72a889ced74f,137,NO,NO
cpf-docs/evidence/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/PATCH_STATIC_CONTRACT_CHECK.json,ADD,QA review/evidence/package artifact,f036b8b914d428ce37daf11e4a16c28dd6e6b656651c08c1546e8df84fea58af,534,NO,NO
cpf-docs/evidence/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/PATCH_TYPESCRIPT_COMPILE.log,ADD,QA review/evidence/package artifact,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,NO,NO
cpf-docs/work/review/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/APPLY_AND_VALIDATE.md,ADD,QA review/evidence/package artifact,11bb19eca47a44a33c33f27ebbed0ea431d6d749f0142baa248cbc5b02e77363,721,NO,NO
cpf-docs/work/review/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/CODEX_REVIEW_REQUEST.md,ADD,QA review/evidence/package artifact,a6df55e07aac3b0c9bce4ceaaa3d72b8b776dba462eedeb0a4cff1e3ff0738ae,550,NO,NO
cpf-docs/work/review/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/CROSS_PARTITION_PATCH_REQUEST_QA-6E.csv,ADD,QA review/evidence/package artifact,375c8f4001b158d69aaad5ec15e8687e4c399485478d4beb4dd54b4c3f3fae99,635,NO,NO
cpf-docs/work/review/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/DELETE_MANIFEST_QA-6E.csv,ADD,QA review/evidence/package artifact,bacc267d7d85a3ef2415de47fe99b95fa933c3f4f47af30e88024b9e7aec231e,74,NO,NO
cpf-docs/work/review/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/NEXT_SESSION_HANDOVER.md,ADD,QA review/evidence/package artifact,733886adb992926638d35099e63a7585d64e0657e60d485eabbb7dde2b9a21b0,424,NO,NO
cpf-docs/work/review/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/OPEN_ISSUES.md,ADD,QA review/evidence/package artifact,a02e863e938cb9c3e75cdb03551066790d754417094bf3b50f12c2bddb5747ac,285,NO,NO
cpf-docs/work/review/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/QA_BATCH_PLAN_QA-6E.csv,ADD,QA review/evidence/package artifact,bc149f420acbfec09e20b5e753d38de72b816443acea9e1edb50388279568913,15808,NO,NO
cpf-docs/work/review/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/QA_FINDING_MATRIX_QA-6E.csv,ADD,QA review/evidence/package artifact,7e331a47fbbeadb03cc58cf0e0e99af5c8e634328c0ac92a9626919ff84c1165,3943,NO,NO
cpf-docs/work/review/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/QA_PARTITION_PLAN.csv,ADD,QA review/evidence/package artifact,f41bc35ea9895b91bf228d9a8c25bfc84daff3e1ca1bf40734438bc7f62a169a,520,NO,NO
cpf-docs/work/review/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/QA_PATCH_MANIFEST_QA-6E.csv,ADD,QA review/evidence/package artifact,572e109e689bd59eed80f07167c87a4faa5e934fc7b381beda877929f8398bee,912,NO,NO
cpf-docs/work/review/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/QA_REWORK_DETAIL_QA-6E.csv,ADD,QA review/evidence/package artifact,74bcd8ef1e7a6cd8eb28c909f92e27e41a17360f4387d3b48be6ef1d3d890194,3971799,NO,NO
cpf-docs/work/review/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/QA_REWORK_REQUEST.md,ADD,QA review/evidence/package artifact,4297e718fa4e04c0aee482749a9484e50292ce813610aca39e601df13f495ea5,682,NO,NO
cpf-docs/work/review/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/QA_WORKLOAD_ANALYSIS_QA-6E.csv,ADD,QA review/evidence/package artifact,83b11aefa643879440b2218d2a0b8b0439f7d95b939594fa0e0d7cf03666460f,1237,NO,NO
cpf-docs/work/review/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/REQUIREMENT_STATUS_PATCH_QA-6E.csv,ADD,QA review/evidence/package artifact,8f6c384fe996136c8a8effb144352a80ec326b12ac63c3f5f9dbb4c1bf08cfba,32482167,NO,NO
cpf-docs/work/review/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/REVIEW_INDEX.md,ADD,QA review/evidence/package artifact,f974a2cd85beebdde03a65aa017eaba9dd6f51587b92028614d412d7563d5864,1506,NO,NO
cpf-docs/work/review/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/SCENARIO_STATUS_PATCH_QA-6E.csv,ADD,QA review/evidence/package artifact,73595d7599263db4704b375ec71cf42f2827e8bce466326481da547f3c8e2283,9487989,NO,NO
cpf-docs/work/review/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/SHARED_FILE_CLAIM_QA-6E.csv,ADD,QA review/evidence/package artifact,455d9705bcab61c49cf83dbaaed25c9d8b1975c503879d3553e2f98321ca3dd5,508,NO,NO
cpf-docs/work/review/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/TEST_AND_EVIDENCE.md,ADD,QA review/evidence/package artifact,0bba4068fbfa127d5c7966d4c07687be3147c6f53f58feab2c3937cb53e71110,957,NO,NO
cpf-docs/work/review/qa/QA_PARALLEL_6WAY_QA-6E_f97655c/verify_package.py,ADD,QA review/evidence/package artifact,be5632b2d6f292b96536c74777a586ec021bca04b106bf7b301cafb036c3ab7e,2320,NO,NO
