id,area,title,requirement,validation,evidence,source,closing_status,changed_or_gate_path,closing_note,actual_evidence_required
CPF-QA-FND-001,FND,최신 SHA CI 상태 부재,"최신 master SHA에 Required Check, Combined Status, Workflow Run이 없다. 최신 SHA 대상 CI를 구성하고 Build/Test/DB/Frontend/Security/Artifact/Evidence Gate를 Required Check로 연결한다.",최신 SHA에서 모든 필수 Check가 실행·성공해야 하며 미실행이면 Release 차단.,GitHub status/workflow 0건,base,재확인 필요,.github/workflows/cpf-final-source-gates.yml,Workflow added; branch protection Required Check must be applied and run on post-push SHA,post-push exact SHA command log + environment + start/end + output hash + redaction
CPF-QA-FND-002,FND,최종 완료 보고와 미실행 검증 충돌,"보고서는 구현 완료를 선언하지만 Java25 전체 Build, PowerShell Gate, 3개 DB Lifecycle, Browser, Multi-instance를 실행하지 않았다. 완료 판정을 재개방한다.",완료 문장마다 최신 SHA 실행 Evidence가 연결되어야 한다.,CPF_CHATGPT_FINAL_COMPLETION_REPORT_20260728.md,base,재확인 필요,cpf-docs/work/current/CPF_CURRENT_WORK_REQUEST.md,Completion language reopened; release wrapper rejects skipped DB/browser/runtime evidence,post-push exact SHA command log + environment + start/end + output hash + redaction
CPF-QA-FND-003,FND,Remaining Matrix 일괄 완료,모든 구현 축을 완료로 표시하고 부분 구현·미구현이 없다고 선언했으나 실제 Source Gap이 남았다.,정본 162개와 신규 QA를 개별 재판정한다.,CPF_REMAINING_REQUIREMENT_MATRIX_20260727.md,base,재확인 필요,cpf-tools/verification/20260728_04/CPF_FINAL_QA_MASTER_LEDGER.csv,Blanket completion removed; per-item ledger generated,post-push exact SHA command log + environment + start/end + output hash + redaction
CPF-QA-FND-005,FND,정적 Evidence 참조 부재,보고서가 참조하는 정적 Evidence 파일이 최신 master에서 확인되지 않는다.,링크·SHA·해시·명령 존재성을 Gate로 검증한다.,cpf-docs/evidence/20260728-final-completion/STATIC_VALIDATION.md,base,미검증,cpf-tools/scripts/check-final-evidence-contract.ps1,Evidence schema and one-line PASS rejection implemented; execute after push,post-push exact SHA command log + environment + start/end + output hash + redaction
CPF-QA-FND-006,FND,Gateway Core Internal 직접 참조,Gateway Controller가 com.cpf.core.common.header.CpfHeaderNames를 직접 import한다.,외부 Module의 core common/internal import 0을 compile/ArchUnit로 검증한다.,CpfGatewayController.java,base,미검증,cpf-tools/scripts/check-runtime-control-public-boundary.ps1,ADM/Gateway core.common/internal imports fail the gate,post-push exact SHA command log + environment + start/end + output hash + redaction
CPF-QA-FND-010,FND,Cache Event 메모리 Queue 유실,저장 실패 이벤트를 ArrayDeque에 넣고 포화 시 오래된 이벤트를 삭제한다.,"Durable outbox/inbox, process kill/DB down/queue full 유실 0.",CacheRefreshEventPublisher.java,base,미검증,cpf-common/src/test/java/com/cpf/common/ref/service/CacheRefreshEventPublisherTest.java,Durable insert failure propagates; no memory fallback,post-push exact SHA command log + environment + start/end + output hash + redaction
CPF-QA-FND-011,FND,Cache Listener 과거 이벤트 건너뜀,기동 시 max event ID를 cursor로 설정해 Offline 기간 이벤트를 건너뛴다.,기동 시 canonical snapshot version과 applied version을 reconcile.,CacheRefreshEventListener.java,base,미검증,cpf-common/src/test/java/com/cpf/common/ref/service/CacheRefreshEventListenerTest.java,"Offline checkpoint replay, high-water snapshot and no backward cursor",post-push exact SHA command log + environment + start/end + output hash + redaction
CPF-QA-FND-013,FND,Routing Weight 미사용,Selector가 weight/priority/zone/group/canary를 쓰지 않고 첫 active+UP를 선택한다.,"분배 통계, drain/health/circuit/fencing/failover 순서를 검증.",CpfHealthAwareInstanceSelector.java,base,미검증,cpf-core/src/test/java/com/cpf/core/common/servicecall/CpfHealthAwareInstanceSelectorTest.java,Weighted rendezvous/priority/zone/cell/failover regression coverage,post-push exact SHA command log + environment + start/end + output hash + redaction
CPF-QA-FND-015,FND,Gateway header/path 검증 우회,validateHeader=false로 URI/Header 실행 ID 불일치를 허용한다.,"외부 우회 제거 또는 별도 내부 권한, negative E2E.",CpfGatewayController.java,base,미검증,cpf-gateway/src/test/java/com/cpf/gateway/service/CpfGatewayChannelPolicyTest.java,Encoded traversal and route/header mismatch rejected,post-push exact SHA command log + environment + start/end + output hash + redaction
CPF-QA-FND-017,FND,Gateway Header Trust 과다 전달,일부 header만 제외하고 대부분 inbound header를 전달한다.,principal/client IP/forwarded/auth/transaction trust policy와 spoof test.,CpfGatewayProxyService.java,base,미검증,cpf-gateway/src/main/java/com/cpf/gateway/service/CpfGatewayProxyService.java,Authorization/API key/signature and spoofed execution ID never forwarded,post-push exact SHA command log + environment + start/end + output hash + redaction
