work_item_id,canonical_requirement_id,applicable_gates,required_standards
CPF-WP-ARCH-MISSION-01-GATE_AGGREGATION,ARCH-MISSION,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-GRADLE-JAVA;STD-NIST-SSDF;STD-SPRING
CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-GRADLE-JAVA;STD-NIST-SSDF;STD-SPRING
CPF-WP-ARCH-MSA-01-CONTRACT_OWNERSHIP,ARCH-MSA,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-12-OBSERVABILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-GRADLE-JAVA;STD-NIST-SSDF;STD-OTEL;STD-SPRING;STD-TRACE
CPF-WP-ARCH-MSA-02-IMPLEMENTATION_CONSUMER,ARCH-MSA,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-12-OBSERVABILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-GRADLE-JAVA;STD-NIST-SSDF;STD-OTEL;STD-SPRING;STD-TRACE
CPF-WP-ARCH-MSA-03-VERIFICATION_EVIDENCE,ARCH-MSA,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-12-OBSERVABILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-GRADLE-JAVA;STD-NIST-SSDF;STD-OTEL;STD-SPRING;STD-TRACE
CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,ARCH-MSA,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-09-SECURITY;GATE-11-OPS-AUDIT;GATE-12-OBSERVABILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-CISA-SBD;STD-GRADLE-JAVA;STD-NIST-SSDF;STD-OTEL;STD-OWASP-ASVS;STD-SPRING;STD-TRACE
CPF-WP-ARCH-BOUNDARY-01-CONTRACT_OWNERSHIP,ARCH-BOUNDARY,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-07-MULTI-INSTANCE;GATE-13-PERFORMANCE;GATE-15-GENERATOR;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-GRADLE-JAVA;STD-NIST-SSDF;STD-SPRING
CPF-WP-ARCH-BOUNDARY-02-IMPLEMENTATION_CONSUMER,ARCH-BOUNDARY,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-07-MULTI-INSTANCE;GATE-13-PERFORMANCE;GATE-15-GENERATOR;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-GRADLE-JAVA;STD-NIST-SSDF;STD-SPRING
CPF-WP-ARCH-BOUNDARY-03-VERIFICATION_EVIDENCE,ARCH-BOUNDARY,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-07-MULTI-INSTANCE;GATE-13-PERFORMANCE;GATE-15-GENERATOR;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-GRADLE-JAVA;STD-NIST-SSDF;STD-SPRING
CPF-WP-ARCH-BOUNDARY-04-FAILURE_RECOVERY,ARCH-BOUNDARY,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-06-STATE-IDEMP;GATE-07-MULTI-INSTANCE;GATE-08-UNKNOWN-RECOVERY;GATE-13-PERFORMANCE;GATE-15-GENERATOR;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,STD-GRADLE-JAVA;STD-NIST-SSDF;STD-SPRING
