canonical_requirement_id,owner,priority,work_type,canonical_goal,domain_file,work_package_count,work_item_ids,derived_requirement_mapping_status,scenario_mapping_status
ARCH-MISSION,cpf-core / repository architecture,P1,PHASE_GATE,CPF를 샘플이나 공통 라이브러리가 아닌 금융권 포함 엔터프라이즈 업무시스템의 구축·운영·감사·확장·배포를 책임지는 상용 Business Platform Framework로 완성한다.,10_ARCHITECTURE_MODULE_BOUNDARY.md,2,CPF-WP-ARCH-MISSION-01-GATE_AGGREGATION;CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
ARCH-MSA,cpf-core / repository architecture,P1,PRODUCT_IMPLEMENTATION,"동일 Public Contract로 Modular Monolith, 동일 JVM Local Call, 분리 WAS Remote Call, 독립 Microservice를 지원하며 topology 변경이 업무 계약을 바꾸지 않게 한다.",10_ARCHITECTURE_MODULE_BOUNDARY.md,4,CPF-WP-ARCH-MSA-01-CONTRACT_OWNERSHIP;CPF-WP-ARCH-MSA-02-IMPLEMENTATION_CONSUMER;CPF-WP-ARCH-MSA-03-VERIFICATION_EVIDENCE;CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
ARCH-BOUNDARY,cpf-core / repository architecture,P1,PRODUCT_IMPLEMENTATION,기술 공통·고객 공통·플랫폼 운영·업무 관리·Batch·Gateway·Generated Domain의 Owner를 단일화하고 역방향·순환·DB 직접 접근을 금지한다.,10_ARCHITECTURE_MODULE_BOUNDARY.md,6,CPF-WP-ARCH-BOUNDARY-01-CONTRACT_OWNERSHIP;CPF-WP-ARCH-BOUNDARY-02-IMPLEMENTATION_CONSUMER;CPF-WP-ARCH-BOUNDARY-03-VERIFICATION_EVIDENCE;CPF-WP-ARCH-BOUNDARY-04-FAILURE_RECOVERY;CPF-WP-ARCH-BOUNDARY-05-DATA_MIGRATION;CPF-WP-ARCH-BOUNDARY-06-GENERATION_COMPATIBILITY,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
ARCH-LAYER,cpf-core / repository architecture,P1,PRODUCT_IMPLEMENTATION,"Public API, 확장 SPI, Internal 구현을 Module·Package·Publication·JavaDoc·ArchUnit로 구분하고 외부 Consumer가 Internal Package를 참조하지 못하게 한다.",10_ARCHITECTURE_MODULE_BOUNDARY.md,4,CPF-WP-ARCH-LAYER-01-CONTRACT_OWNERSHIP;CPF-WP-ARCH-LAYER-02-IMPLEMENTATION_CONSUMER;CPF-WP-ARCH-LAYER-03-VERIFICATION_EVIDENCE;CPF-WP-ARCH-LAYER-04-GENERATION_COMPATIBILITY,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CORE-API,cpf-core / repository architecture,P1,PRODUCT_IMPLEMENTATION,고객 개발자가 최소 입력으로 안전하게 사용할 수 있는 발견 가능한 Public API를 제공하고 거대 Utils·의미 없는 Wrapper·선택 Runtime type 노출을 금지한다.,10_ARCHITECTURE_MODULE_BOUNDARY.md,3,CPF-WP-CORE-API-01-CONTRACT_OWNERSHIP;CPF-WP-CORE-API-02-IMPLEMENTATION_CONSUMER;CPF-WP-CORE-API-03-VERIFICATION_EVIDENCE,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CORE-SPI,cpf-core / repository architecture,P1,PRODUCT_IMPLEMENTATION,"고객·Generated Domain·기관 Adapter가 구현할 안정된 SPI와 lifecycle, capability, version compatibility, failure contract를 제공한다.",10_ARCHITECTURE_MODULE_BOUNDARY.md,4,CPF-WP-CORE-SPI-01-CONTRACT_OWNERSHIP;CPF-WP-CORE-SPI-02-IMPLEMENTATION_CONSUMER;CPF-WP-CORE-SPI-03-VERIFICATION_EVIDENCE;CPF-WP-CORE-SPI-04-GENERATION_COMPATIBILITY,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CORE-CONFIG,cpf-core / repository architecture,P1,PRODUCT_IMPLEMENTATION,safe default→customer property→profile→operation override→per-call override 순서와 허용범위·권한·버전·감사·rollback을 보장한다.,10_ARCHITECTURE_MODULE_BOUNDARY.md,5,CPF-WP-CORE-CONFIG-01-CONTRACT_OWNERSHIP;CPF-WP-CORE-CONFIG-02-IMPLEMENTATION_CONSUMER;CPF-WP-CORE-CONFIG-03-VERIFICATION_EVIDENCE;CPF-WP-CORE-CONFIG-04-FAILURE_RECOVERY;CPF-WP-CORE-CONFIG-05-OPERATIONS_SECURITY,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CORE-TESTKIT,cpf-core / repository architecture,P1,PRODUCT_IMPLEMENTATION,"Public Contract, Header, 오류, idempotency, Local/Remote parity, failure injection을 외부 Consumer가 재사용할 수 있는 Test Kit로 제공한다.",10_ARCHITECTURE_MODULE_BOUNDARY.md,4,CPF-WP-CORE-TESTKIT-01-CONTRACT_OWNERSHIP;CPF-WP-CORE-TESTKIT-02-IMPLEMENTATION_CONSUMER;CPF-WP-CORE-TESTKIT-03-VERIFICATION_EVIDENCE;CPF-WP-CORE-TESTKIT-04-FAILURE_RECOVERY,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CPF-CALL,cpf-core / repository architecture,P1,PRODUCT_IMPLEMENTATION,동일 JVM과 분리 WAS 호출에 동일한 Header·권한·timeout budget·오류·추적·idempotency를 적용하고 내부 호출의 Gateway 재경유를 금지한다.,11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01.md,4,CPF-WP-CPF-CALL-01-CONTRACT_OWNERSHIP;CPF-WP-CPF-CALL-02-IMPLEMENTATION_CONSUMER;CPF-WP-CPF-CALL-03-VERIFICATION_EVIDENCE;CPF-WP-CPF-CALL-04-FAILURE_RECOVERY,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
CPF-REGISTRY,cpf-core / repository architecture,P1,PRODUCT_IMPLEMENTATION,"Service·Endpoint·Instance·capability·version·zone·health·maintenance·draining 상태의 등록, lease, TTL, stale 제거와 조회 계약을 제공한다.",11_CORE_CALL_CONTEXT_STATE_RESILIENCE_PART_01.md,6,CPF-WP-CPF-REGISTRY-01-CONTRACT_OWNERSHIP;CPF-WP-CPF-REGISTRY-02-IMPLEMENTATION_CONSUMER;CPF-WP-CPF-REGISTRY-03-VERIFICATION_EVIDENCE;CPF-WP-CPF-REGISTRY-04-FAILURE_RECOVERY;CPF-WP-CPF-REGISTRY-05-OPERATIONS_SECURITY;CPF-WP-CPF-REGISTRY-06-GENERATION_COMPATIBILITY,작업 시 현재 논리 원장에서 전수 추출 필요,작업 시 현재 Scenario 원장에서 전수 추출 필요
