fencing	0	0	S03_BROKER_FENCING_HARNESS PASS cases=6 
fixedlength	0	0	S03_FIXED_LENGTH_VALIDATION_HARNESS PASS cases=9 
gateway	0	0	S03_GATEWAY_RESILIENCE_HARNESS PASS cases=6 
http	0	0	S03_HTTP_CLIENT_HARNESS PASS cases=8 
kafka	0	0	S03_KAFKA_OUTCOME_HARNESS PASS cases=5 
provider	0	0	S03_PROVIDER_OUTCOME_HARNESS PASS cases=5 
provider_header	0	0	S03_JMS_HEADER_HARNESS PASS cases=4 S03_IBM_HEADER_HARNESS PASS cases=4 S03_RABBIT_HEADER_HARNESS PASS cases=4 
sftp_policy	0	0	S03_SFTP_OUTCOME_HARNESS PASS cases=7 
tcp	0	0	S03_TCP_OUTCOME_HARNESS PASS cases=6 
tcp_primary_clock	0	0	S03_TCP_CLOCK_HARNESS PASS cases=2 
