document,r25_logical_lines,r26_logical_lines,delta_logical_lines,r25_chars,r26_chars,delta_chars,r25_words,r26_words,delta_words,r25_headings,r26_headings,delta_headings,r25_tables,r26_tables,delta_tables,r25_table_rows,r26_table_rows,delta_table_rows,r25_windows,r26_windows,delta_windows,r25_window_body_lines,r26_window_body_lines,delta_window_body_lines,r25_source_windows,r26_source_windows,delta_source_windows,r25_terminal_windows,r26_terminal_windows,delta_terminal_windows,r25_sql_windows,r26_sql_windows,delta_sql_windows,r25_config_windows,r26_config_windows,delta_config_windows,r25_http_windows,r26_http_windows,delta_http_windows,r25_json_windows,r26_json_windows,delta_json_windows,r25_output_windows,r26_output_windows,delta_output_windows,r25_pages,r26_pages,delta_pages,non_decrease_gate,review
cpf-docs/guides/00_프레임워크안내.docx,835,1020,185,19807,25361,5554,2585,3353,768,76,82,6,29,45,16,275,333,58,0,10,10,0,60,60,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,21,33,12,PASS,실행형 Source/Config/SQL/Command/Output 창을 추가하고 본문·페이지 모두 비감소
cpf-docs/guides/01_개발자매뉴얼.docx,2155,2637,482,59484,78166,18682,7052,9168,2116,95,107,12,71,163,92,721,925,204,0,86,86,0,709,709,0,20,20,0,22,22,0,5,5,0,6,6,0,3,3,0,0,0,0,5,5,54,80,26,PASS,실행형 Source/Config/SQL/Command/Output 창을 추가하고 본문·페이지 모두 비감소
cpf-docs/guides/02_배치개발매뉴얼.docx,949,1167,218,24333,31491,7158,3025,3835,810,57,66,9,41,79,38,340,427,87,0,35,35,0,271,271,0,6,6,0,13,13,0,2,2,0,1,1,0,0,0,0,0,0,0,1,1,29,46,17,PASS,실행형 Source/Config/SQL/Command/Output 창을 추가하고 본문·페이지 모두 비감소
cpf-docs/guides/03_ADM개발자매뉴얼.docx,1375,1580,205,45193,52919,7726,5034,5989,955,111,119,8,26,85,59,257,385,128,0,56,56,0,630,630,0,24,24,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,27,58,31,PASS,실행형 Source/Config/SQL/Command/Output 창을 추가하고 본문·페이지 모두 비감소
cpf-docs/guides/04_ADM운영자매뉴얼.docx,5111,5708,597,138731,288674,149943,20050,32646,12596,513,519,6,196,268,72,1683,1902,219,0,69,69,0,346,346,0,63,63,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,102,196,94,PASS,실행형 Source/Config/SQL/Command/Output 창을 추가하고 본문·페이지 모두 비감소
cpf-docs/guides/05_플랫폼운영매뉴얼.docx,1311,1522,211,28431,34776,6345,3850,4647,797,74,86,12,48,79,31,483,564,81,0,24,24,0,157,157,0,0,0,0,5,5,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,41,59,18,PASS,실행형 Source/Config/SQL/Command/Output 창을 추가하고 본문·페이지 모두 비감소
cpf-docs/guides/90_BZA매뉴얼.docx,1513,2420,907,33834,71378,37544,4798,10043,5245,73,80,7,65,111,46,672,1092,420,0,43,43,0,214,214,0,26,26,0,3,3,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,42,62,20,PASS,실행형 Source/Config/SQL/Command/Output 창을 추가하고 본문·페이지 모두 비감소
cpf-docs/guides/91_Gateway매뉴얼.docx,727,852,125,17832,22082,4250,1971,2467,496,50,57,7,29,46,17,256,297,41,0,15,15,0,117,117,0,0,0,0,3,3,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,27,41,14,PASS,실행형 Source/Config/SQL/Command/Output 창을 추가하고 본문·페이지 모두 비감소
cpf-docs/deliverables/산출물목록.docx,326,616,290,6688,13394,6706,1295,2570,1275,31,33,2,44,70,26,125,256,131,0,2,2,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,34,7,PASS,실행형 Source/Config/SQL/Command/Output 창을 추가하고 본문·페이지 모두 비감소
cpf-docs/deliverables/아키텍처설계서.docx,852,967,115,23497,26999,3502,2897,3382,485,70,76,6,32,47,15,289,338,49,0,12,12,0,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,41,16,PASS,실행형 Source/Config/SQL/Command/Output 창을 추가하고 본문·페이지 모두 비감소
cpf-docs/deliverables/기술사양서.docx,983,1079,96,26326,28945,2619,2342,2623,281,64,67,3,43,49,6,405,437,32,0,3,3,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,50,12,PASS,실행형 Source/Config/SQL/Command/Output 창을 추가하고 본문·페이지 모두 비감소
cpf-docs/deliverables/기술표준서.docx,641,905,264,20304,31318,11014,2773,4326,1553,61,67,6,27,71,44,147,251,104,0,41,41,0,166,166,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,25,39,14,PASS,실행형 Source/Config/SQL/Command/Output 창을 추가하고 본문·페이지 모두 비감소
cpf-docs/deliverables/데이터베이스표준서.docx,455,610,155,11981,20240,8259,1439,2547,1108,40,44,4,22,48,26,167,226,59,0,24,24,0,109,109,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,23,36,13,PASS,실행형 Source/Config/SQL/Command/Output 창을 추가하고 본문·페이지 모두 비감소
README.md,98,172,74,6431,10149,3718,678,1166,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,PASS,브로셔형 Hero·Architecture·Product Map·Topology·Execution·Operations·Domain Journey·Guide Map을 복원·확장하고 텍스트·시각 자산 모두 비감소
