path,change_action,owner,canonical_ids,reason,delete,protected_path
cpf-core/src/main/java/com/cpf/core/common/broker/CpfBrokerOutboxPort.java,ADD_OR_REPLACE,DEVGPT-V9-S03,CORE-MESSAGE;EVENT-CORE;EVENT-BROKER;EVENT-MQ;EVENT-JMS;EVENT-IBM-MQ;EVENT-AMQP;EVENT-DLQ;EVENT-OUTBOX;EXS-UNKNOWN;EXS-RECON,S03 P0/P1 source/test completion and UNKNOWN/recovery correctness,false,false
cpf-core/src/main/java/com/cpf/core/common/broker/CpfBrokerUnknownResultPort.java,ADD_OR_REPLACE,DEVGPT-V9-S03,CORE-MESSAGE;EVENT-CORE;EVENT-BROKER;EVENT-MQ;EVENT-JMS;EVENT-IBM-MQ;EVENT-AMQP;EVENT-DLQ;EVENT-OUTBOX;EXS-UNKNOWN;EXS-RECON,S03 P0/P1 source/test completion and UNKNOWN/recovery correctness,false,false
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/requests/S03-ICR-001_INTEGRATION_CHANGE_REQUEST.md,ADD_OR_REPLACE,DEVGPT-V9-S03,CORE-MESSAGE;EVENT-CORE;EVENT-BROKER;EVENT-MQ;EVENT-JMS;EVENT-IBM-MQ;EVENT-AMQP;EVENT-DLQ;EVENT-OUTBOX;EXS-UNKNOWN;EXS-RECON,S03 P0/P1 source/test completion and UNKNOWN/recovery correctness,false,false
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/requests/S03-ICR-002_INTEGRATION_CHANGE_REQUEST.md,ADD_OR_REPLACE,DEVGPT-V9-S03,CORE-MESSAGE;EVENT-CORE;EVENT-BROKER;EVENT-MQ;EVENT-JMS;EVENT-IBM-MQ;EVENT-AMQP;EVENT-DLQ;EVENT-OUTBOX;EXS-UNKNOWN;EXS-RECON,S03 P0/P1 source/test completion and UNKNOWN/recovery correctness,false,false
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/requests/S03-ICR-003_INTEGRATION_CHANGE_REQUEST.md,ADD_OR_REPLACE,DEVGPT-V9-S03,CORE-MESSAGE;EVENT-CORE;EVENT-BROKER;EVENT-MQ;EVENT-JMS;EVENT-IBM-MQ;EVENT-AMQP;EVENT-DLQ;EVENT-OUTBOX;EXS-UNKNOWN;EXS-RECON,S03 P0/P1 source/test completion and UNKNOWN/recovery correctness,false,false
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/requests/S03-ICR-004_INTEGRATION_CHANGE_REQUEST.md,ADD_OR_REPLACE,DEVGPT-V9-S03,CORE-MESSAGE;EVENT-CORE;EVENT-BROKER;EVENT-MQ;EVENT-JMS;EVENT-IBM-MQ;EVENT-AMQP;EVENT-DLQ;EVENT-OUTBOX;EXS-UNKNOWN;EXS-RECON,S03 P0/P1 source/test completion and UNKNOWN/recovery correctness,false,false
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/requests/S03-ICR-005_INTEGRATION_CHANGE_REQUEST.md,ADD_OR_REPLACE,DEVGPT-V9-S03,CORE-MESSAGE;EVENT-CORE;EVENT-BROKER;EVENT-MQ;EVENT-JMS;EVENT-IBM-MQ;EVENT-AMQP;EVENT-DLQ;EVENT-OUTBOX;EXS-UNKNOWN;EXS-RECON,S03 P0/P1 source/test completion and UNKNOWN/recovery correctness,false,false
cpf-gateway/src/main/java/com/cpf/gateway/internal/resilience/CpfGatewayResilientInvoker.java,ADD_OR_REPLACE,DEVGPT-V9-S03,API-LIMIT;GWY-ENTRY;GWY-ROUTING;GWY-TRUST;GWY-RESILIENCE,S03 P0/P1 source/test completion and UNKNOWN/recovery correctness,false,false
cpf-gateway/src/test/java/com/cpf/gateway/internal/resilience/CpfGatewayResilientInvokerTest.java,ADD_OR_REPLACE,DEVGPT-V9-S03,API-LIMIT;GWY-ENTRY;GWY-ROUTING;GWY-TRUST;GWY-RESILIENCE,S03 P0/P1 source/test completion and UNKNOWN/recovery correctness,false,false
cpf-starters/file/sftp/src/main/java/com/cpf/starter/sftp/CpfSftpClient.java,ADD_OR_REPLACE,DEVGPT-V9-S03,CORE-FILE;EXS-FILE;EXS-UNKNOWN;EXS-RECON,S03 P0/P1 source/test completion and UNKNOWN/recovery correctness,false,false
