path,review_item,risk,mitigation,self_review_status
cpf-core/src/main/java/com/cpf/core/common/broker/CpfBrokerOutboxPort.java,owner/consumer/failure/recovery/test regression,"transport ambiguity, duplicate side effect or stale fencing",independent harness + exact atomic evidence + target runtime recheck,PASS
cpf-core/src/main/java/com/cpf/core/common/broker/CpfBrokerUnknownResultPort.java,owner/consumer/failure/recovery/test regression,"transport ambiguity, duplicate side effect or stale fencing",independent harness + exact atomic evidence + target runtime recheck,PASS
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/requests/S03-ICR-001_INTEGRATION_CHANGE_REQUEST.md,owner/consumer/failure/recovery/test regression,"transport ambiguity, duplicate side effect or stale fencing",independent harness + exact atomic evidence + target runtime recheck,PASS
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/requests/S03-ICR-002_INTEGRATION_CHANGE_REQUEST.md,owner/consumer/failure/recovery/test regression,"transport ambiguity, duplicate side effect or stale fencing",independent harness + exact atomic evidence + target runtime recheck,PASS
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/requests/S03-ICR-003_INTEGRATION_CHANGE_REQUEST.md,owner/consumer/failure/recovery/test regression,"transport ambiguity, duplicate side effect or stale fencing",independent harness + exact atomic evidence + target runtime recheck,PASS
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/requests/S03-ICR-004_INTEGRATION_CHANGE_REQUEST.md,owner/consumer/failure/recovery/test regression,"transport ambiguity, duplicate side effect or stale fencing",independent harness + exact atomic evidence + target runtime recheck,PASS
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/requests/S03-ICR-005_INTEGRATION_CHANGE_REQUEST.md,owner/consumer/failure/recovery/test regression,"transport ambiguity, duplicate side effect or stale fencing",independent harness + exact atomic evidence + target runtime recheck,PASS
cpf-gateway/src/main/java/com/cpf/gateway/internal/resilience/CpfGatewayResilientInvoker.java,owner/consumer/failure/recovery/test regression,"transport ambiguity, duplicate side effect or stale fencing",independent harness + exact atomic evidence + target runtime recheck,PASS
cpf-gateway/src/test/java/com/cpf/gateway/internal/resilience/CpfGatewayResilientInvokerTest.java,owner/consumer/failure/recovery/test regression,"transport ambiguity, duplicate side effect or stale fencing",independent harness + exact atomic evidence + target runtime recheck,PASS
cpf-starters/file/sftp/src/main/java/com/cpf/starter/sftp/CpfSftpClient.java,owner/consumer/failure/recovery/test regression,"transport ambiguity, duplicate side effect or stale fencing",independent harness + exact atomic evidence + target runtime recheck,PASS
cpf-starters/file/sftp/src/main/java/com/cpf/starter/sftp/CpfSftpUploadOutcomePolicy.java,owner/consumer/failure/recovery/test regression,"transport ambiguity, duplicate side effect or stale fencing",independent harness + exact atomic evidence + target runtime recheck,PASS
cpf-starters/file/sftp/src/test/java/com/cpf/starter/sftp/CpfSftpUploadOutcomePolicyTest.java,owner/consumer/failure/recovery/test regression,"transport ambiguity, duplicate side effect or stale fencing",independent harness + exact atomic evidence + target runtime recheck,PASS
cpf-starters/integration/fixedlength-core/src/main/java/com/cpf/starter/integration/fixedlength/CpfBinaryFieldCodec.java,owner/consumer/failure/recovery/test regression,"transport ambiguity, duplicate side effect or stale fencing",independent harness + exact atomic evidence + target runtime recheck,PASS
cpf-starters/integration/fixedlength-core/src/main/java/com/cpf/starter/integration/fixedlength/CpfFixedLengthField.java,owner/consumer/failure/recovery/test regression,"transport ambiguity, duplicate side effect or stale fencing",independent harness + exact atomic evidence + target runtime recheck,PASS
cpf-starters/integration/fixedlength-core/src/test/java/com/cpf/starter/integration/fixedlength/CpfFixedLengthValidationTest.java,owner/consumer/failure/recovery/test regression,"transport ambiguity, duplicate side effect or stale fencing",independent harness + exact atomic evidence + target runtime recheck,PASS
cpf-starters/integration/tcp/src/main/java/com/cpf/starter/integration/tcp/internal/CpfResilientTcpClient.java,owner/consumer/failure/recovery/test regression,"transport ambiguity, duplicate side effect or stale fencing",independent harness + exact atomic evidence + target runtime recheck,PASS
cpf-starters/integration/tcp/src/main/java/com/cpf/starter/tcp/CpfTcpClient.java,owner/consumer/failure/recovery/test regression,"transport ambiguity, duplicate side effect or stale fencing",independent harness + exact atomic evidence + target runtime recheck,PASS
cpf-starters/integration/tcp/src/main/java/com/cpf/starter/tcp/CpfTcpFrameCodec.java,owner/consumer/failure/recovery/test regression,"transport ambiguity, duplicate side effect or stale fencing",independent harness + exact atomic evidence + target runtime recheck,PASS
cpf-starters/integration/tcp/src/test/java/com/cpf/starter/integration/tcp/internal/CpfResilientTcpClientTest.java,owner/consumer/failure/recovery/test regression,"transport ambiguity, duplicate side effect or stale fencing",independent harness + exact atomic evidence + target runtime recheck,PASS
