path,artifact_kind,change_action,final_sha256,integration_required,integration_status,cleanup_eligible,owner,notes
cpf-core/src/main/java/com/cpf/core/common/broker/CpfBrokerOutboxPort.java,PRODUCT_REQUIRED,ADD_OR_MODIFY,72bed916d8e7c4518134d386dae1b542e8c98e8212fe0eeeb5f8bbdf1992ddde,true,pending,false,DEVGPT-V9-S03,checkpoint R2; target reverify remains
cpf-core/src/main/java/com/cpf/core/common/broker/CpfBrokerUnknownResultPort.java,PRODUCT_REQUIRED,ADD_OR_MODIFY,dc189c012225300eb86490a39c39f9c1027e41e4ec294dcd20173d19c869cdf3,true,pending,false,DEVGPT-V9-S03,checkpoint R2; target reverify remains
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/requests/S03-ICR-001_INTEGRATION_CHANGE_REQUEST.md,EVIDENCE_RETAINED,ADD_OR_MODIFY,3c4266a7e4a55b288aec3a0a959c5b092c94c9f277fc938d696864831141d55a,true,pending,false,DEVGPT-V9-S03,checkpoint R2; target reverify remains
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/requests/S03-ICR-002_INTEGRATION_CHANGE_REQUEST.md,EVIDENCE_RETAINED,ADD_OR_MODIFY,1e4fedd4c285b900566ecd7d0ec99846b65bfb417fa8bf67bee253b9a2065233,true,pending,false,DEVGPT-V9-S03,checkpoint R2; target reverify remains
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/requests/S03-ICR-003_INTEGRATION_CHANGE_REQUEST.md,EVIDENCE_RETAINED,ADD_OR_MODIFY,ed763f02f3a24869a5cf48196d739165c950748aefed4912a2a19c84bcd9a253,true,pending,false,DEVGPT-V9-S03,checkpoint R2; target reverify remains
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/requests/S03-ICR-004_INTEGRATION_CHANGE_REQUEST.md,EVIDENCE_RETAINED,ADD_OR_MODIFY,91410afb4ba541d113a04aabfc5c58ce7e6b94a14db86b612798c220abb90197,true,pending,false,DEVGPT-V9-S03,checkpoint R2; target reverify remains
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/requests/S03-ICR-005_INTEGRATION_CHANGE_REQUEST.md,EVIDENCE_RETAINED,ADD_OR_MODIFY,522bd6d3ca9da2e58457a68ac59571977627423ae0e5ff56bd55d8b9552e25f3,true,pending,false,DEVGPT-V9-S03,checkpoint R2; target reverify remains
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S03/CHANGE_MANIFEST.csv,EVIDENCE_RETAINED,ADD_OR_MODIFY,7bc5fff023ad2feab5e2f7576911d987383fb15ae9d94c15d3bdaed065ffb704,false,session-ready,false,DEVGPT-V9-S03,checkpoint R2; target reverify remains
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S03/CODEX_REVIEW_REQUEST.md,EVIDENCE_RETAINED,ADD_OR_MODIFY,78727c5d480986300cdbfa50e9b5db7d02384a90cc97831246f4fd0146640ee6,false,session-ready,false,DEVGPT-V9-S03,checkpoint R2; target reverify remains
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S03/DELETE_MANIFEST.csv,DELETE_MANIFEST,ADD_OR_MODIFY,9f990cd3ca56bbd2df36f8e8689e7462be29c8b0f61f7e8f400fae6381f97979,false,session-ready,false,DEVGPT-V9-S03,exact old long-path file list; no directory deletion
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S03/HANDOVER.md,EVIDENCE_RETAINED,ADD_OR_MODIFY,4d9f1bb72d8b81bc6066e09c2413eb133805879a6b6cd230eb5c74da1c298723,false,session-ready,false,DEVGPT-V9-S03,checkpoint R2; target reverify remains
