closure_id,surface,required_inventory,phase_id,acceptance_criteria,current_status,verification_method,required_evidence,open_issue,baseline_sha
CLOSE-001,Git Baseline,"origin/master exact SHA, default branch, commit metadata",P00,미등록/불일치 0,미검증,최신 Repository Inventory 생성→Requirement/Scenario 양방향 Trace→미등록/중복/불일치 Gate,inventory CSV/JSON·exact SHA·command·count·unmapped list·hash,최신 checkout 전수 Inventory 실행 전,4aea798c913787e86341809e2cef2b9495cbf7ba
CLOSE-002,Working Tree,tracked/untracked/ignored Source 및 dirty 상태,P00,검수 시작/종료 상태 Evidence,미검증,최신 Repository Inventory 생성→Requirement/Scenario 양방향 Trace→미등록/중복/불일치 Gate,inventory CSV/JSON·exact SHA·command·count·unmapped list·hash,최신 checkout 전수 Inventory 실행 전,4aea798c913787e86341809e2cef2b9495cbf7ba
CLOSE-003,Canonical Documents,"Final Target, Architecture, Current Request, Matrix, State, Handover",P00,활성 정본 1세트,미검증,최신 Repository Inventory 생성→Requirement/Scenario 양방향 Trace→미등록/중복/불일치 Gate,inventory CSV/JSON·exact SHA·command·count·unmapped list·hash,최신 checkout 전수 Inventory 실행 전,4aea798c913787e86341809e2cef2b9495cbf7ba
CLOSE-004,Requirement Sources,과거 QA/Gap/Defect/Request/Review/Handover/사용자 지시,P01,source continuity 미매핑 0,미검증,최신 Repository Inventory 생성→Requirement/Scenario 양방향 Trace→미등록/중복/불일치 Gate,inventory CSV/JSON·exact SHA·command·count·unmapped list·hash,최신 checkout 전수 Inventory 실행 전,4aea798c913787e86341809e2cef2b9495cbf7ba
CLOSE-005,Gradle Modules,"settings 포함/제외 project, included build, source set",P01,미등록 Module 0,미검증,최신 Repository Inventory 생성→Requirement/Scenario 양방향 Trace→미등록/중복/불일치 Gate,inventory CSV/JSON·exact SHA·command·count·unmapped list·hash,최신 checkout 전수 Inventory 실행 전,4aea798c913787e86341809e2cef2b9495cbf7ba
CLOSE-006,Java Types,Public API/SPI/Internal/Controller/Service/Repository/Worker/Config,P01,Requirement 미연결 Type 0,미검증,최신 Repository Inventory 생성→Requirement/Scenario 양방향 Trace→미등록/중복/불일치 Gate,inventory CSV/JSON·exact SHA·command·count·unmapped list·hash,최신 checkout 전수 Inventory 실행 전,4aea798c913787e86341809e2cef2b9495cbf7ba
CLOSE-007,Dependencies,"project/external dependency, BOM, plugin, direct OSS usage",P01,Owner/Exception 미등록 0,미검증,최신 Repository Inventory 생성→Requirement/Scenario 양방향 Trace→미등록/중복/불일치 Gate,inventory CSV/JSON·exact SHA·command·count·unmapped list·hash,최신 checkout 전수 Inventory 실행 전,4aea798c913787e86341809e2cef2b9495cbf7ba
CLOSE-008,APIs,"Local/Remote HTTP, OpenAPI operation, Generated Client",P01,Requirement/Consumer 미연결 API 0,미검증,최신 Repository Inventory 생성→Requirement/Scenario 양방향 Trace→미등록/중복/불일치 Gate,inventory CSV/JSON·exact SHA·command·count·unmapped list·hash,최신 checkout 전수 Inventory 실행 전,4aea798c913787e86341809e2cef2b9495cbf7ba
CLOSE-009,Messages,producer/consumer/destination/schema/retry/DLQ,P01,미등록 메시지 경로 0,미검증,최신 Repository Inventory 생성→Requirement/Scenario 양방향 Trace→미등록/중복/불일치 Gate,inventory CSV/JSON·exact SHA·command·count·unmapped list·hash,최신 checkout 전수 Inventory 실행 전,4aea798c913787e86341809e2cef2b9495cbf7ba
CLOSE-010,Files,layout/file transfer/archive/attachment contract,P01,미등록 File Contract 0,미검증,최신 Repository Inventory 생성→Requirement/Scenario 양방향 Trace→미등록/중복/불일치 Gate,inventory CSV/JSON·exact SHA·command·count·unmapped list·hash,최신 checkout 전수 Inventory 실행 전,4aea798c913787e86341809e2cef2b9495cbf7ba
