source_id,source_path,source_type,source_timeframe,source_status,effective_handling,prohibited_handling,mapped_requirement_scope,verification_needed,baseline_sha
SRC-001,cpf-docs/governance/CPF_FINAL_TARGET_REQUIREMENTS.md,최상위 정본,R2 이전,CURRENTIZED,169개 상세 Catalog를 최신 의미로 신규 ID에 재발급,과거 상태·완료율 승계 금지,"R2 22,662건 재현행화",최신 Repository와 재대조,4aea798c913787e86341809e2cef2b9495cbf7ba
SRC-002,cpf-tools/verification/20260728_01/qa-source/CPF_ENTERPRISE_FULL_QA_INVENTORY_20260728.csv,과거 전수 QA,R2 이전,HISTORY_REBASED,현행 Capability/Runtime/UI/DB 요구의 source_basis와 Continuity 입력,과거 문구·상태 그대로 활성화 금지,"R2 22,662건 재현행화",최신 Repository와 재대조,4aea798c913787e86341809e2cef2b9495cbf7ba
SRC-003,cpf-tools/verification/20260728_01/qa-source/CPF_ENTERPRISE_FULL_QA_EXECUTION_SCENARIOS_20260728.csv,과거 실행 Scenario,R2 이전,HISTORY_REBASED_TO_SCENARIOS,신규 CPF-SC 체계에 반영,Requirement 수에 혼합 금지,"R2 22,662건 재현행화",최신 Repository와 재대조,4aea798c913787e86341809e2cef2b9495cbf7ba
SRC-004,CPF_ENTERPRISE_QA_DELTA_INVENTORY_20260728_03.csv,QA Delta,R2 이전,MERGED_CURRENT_EFFECTIVE,최신 정본 충돌 검사 후 Runtime/UI/DB/Evidence에 통합,폐기 지원범위·옛 Owner 복원 금지,"R2 22,662건 재현행화",최신 Repository와 재대조,4aea798c913787e86341809e2cef2b9495cbf7ba
SRC-005,CPF_20260730_QA32_REQUIREMENT_MATRIX.csv / SCENARIO_MATRIX.csv,OSS/Architecture/Frontend 상세 QA,R2 이전,CURRENTIZED,OSS-first·Frontend·BFF·Gateway·Messaging·Release에 반영,당시 Target version 무조건 복사 금지,"R2 22,662건 재현행화",최신 Repository와 재대조,4aea798c913787e86341809e2cef2b9495cbf7ba
SRC-006,CPF_ADM_BZA_UI_PRODUCT_QA_REQUIREMENTS_20260727_03.md,ADM/BZA UI 상세 요구,R2 이전,CURRENTIZED,화면 목적·Workflow·API·DB·권한·승인·감사·복구와 목표 IA 반영,Menu 수·Browser 조합으로 Requirement 수 부풀리기 금지,"R2 22,662건 재현행화",최신 Repository와 재대조,4aea798c913787e86341809e2cef2b9495cbf7ba
SRC-007,QA38 Starter Review / QA39 Final Corrective,최신 Architecture 시정,R2 이전,CURRENT_EFFECTIVE,Starter 구조·Resilience·Feature Flag·API Owner·Runtime Gate 반영,과거 Resilience/Feature Flag 완전 제거 활성화 금지,"R2 22,662건 재현행화",최신 Repository와 재대조,4aea798c913787e86341809e2cef2b9495cbf7ba
SRC-008,현재 CPF 프로젝트 지침,최신 사용자/프로젝트 규칙,R2 이전,HIGHEST_ACTIVE_INSTRUCTION,단일 원장 컬럼·역할 상태·QA 판정·Git/삭제 안전·Root Overlay 적용,역할 상태 혼용·QA 전 완료·무승인 Git/삭제 금지,"R2 22,662건 재현행화",최신 Repository와 재대조,4aea798c913787e86341809e2cef2b9495cbf7ba
R3-SRC-001,CPF_20260730_QA32_GPT_DEVELOPMENT_INSTRUCTION.md,QA32 개발 지침,2026-07-30,HISTORY_CURRENTIZED,OSS-first·Consumer 전수이관·부분완료 금지·실제 Runtime Evidence 원칙 반영,당시 OSS/지원범위를 최신 정본보다 우선하지 않음,Architecture/Frontend/DB/Messaging/Batch/Supply Chain,파일 전체 line-by-line continuity,4aea798c913787e86341809e2cef2b9495cbf7ba
R3-SRC-002,CPF_20260730_QA32_REQUIREMENT_MATRIX.csv,QA32 Requirement 62건,2026-07-30,HISTORY_CURRENTIZED,BFF·Gateway·Frontend Standard·Flyway·Batch·Supply Chain 상세 요구 반영,당시 상태와 Target version 자동 승계 금지,R3 추가 상세 기능 및 Phase P03~P12,각 QA32 ID→R3 ID mapping 보완,4aea798c913787e86341809e2cef2b9495cbf7ba
