requirement_id,priority,implementation_stage,owner_module,title,requirement,source_defect_ids,implementation_scope,acceptance_criteria,required_tests,required_evidence,depends_on,status
QA39-SELF-001,P0,00_TRUTH_RESET,Governance/QA,최신 SHA 상태 재판정,54bcc108 기준 QA38 156개 Requirement를 완료/부분 구현/미구현/미검증/실패/재확인 필요로 재판정하고 거짓 완료를 제거한다.,QA39-DEF-012;QA39-DEF-013,Matrix·Codex status·handover·continuity·evidence SHA currentization,각 Requirement가 Source/Consumer/Test/Runtime/Evidence와 연결되고 근거 없는 완료 0,Truth gate; random 20-row reverse trace,"HEAD/origin SHA, changed matrix hash, reviewer trace log",,미구현
QA39-SELF-002,P0,00_TRUTH_RESET,QA/Tooling,Exact-SHA Evidence 재발급,최신 master exact SHA에서만 검증 Evidence를 생성한다.,QA39-DEF-012;QA39-DEF-014,command/profile/tool version/time/exit/artifact SHA/working tree/sanitization,Evidence SHA=HEAD=origin/master이며 과거 Evidence 자동 승계 0,evidence contract test,Sanitized exact-SHA evidence bundle,QA39-SELF-001,미구현
QA39-SELF-003,P0,01_BUILD_GRAPH,Root Build,모든 Module Settings 등록,build.gradle이 존재하는 모든 제품 Module을 settings.gradle 또는 명시적 composite build에 등록한다.,QA39-DEF-001,7개 Integration Module 등록과 artifactId mapping,미등록 제품 build.gradle 디렉터리 0,module discovery gate; gradle projects,settings graph evidence,,미구현
QA39-SELF-004,P0,01_BUILD_GRAPH,Build/Release,Artifact Registry 단일 정본화,"Settings, BOM, Platform Properties, Artifact Catalog, Publication Matrix를 하나의 Registry에서 생성한다.",QA39-DEF-002,generator/validation scripts and canonical JSON,Project/ownerPath/artifactId/version/publication 1:1 parity,generated file diff; mutation test,registry source and generated hashes,QA39-SELF-003,미구현
QA39-SELF-005,P0,01_BUILD_GRAPH,Build/Release,BOM 버전 보간 교정,BOM의 literal ${project.version} 결함을 제거하고 generated POM을 검증한다.,QA39-DEF-003,platform-bom constraints and POM verification,published BOM의 모든 CPF constraint가 concrete version을 가진다.,generatePom; external consumer resolution,BOM POM and dependency report,QA39-SELF-004,미구현
QA39-SELF-006,P0,01_BUILD_GRAPH,QA/Tooling,Internal FQN Classpath Gate,Java import의 실제 Class Owner와 Gradle compile classpath를 대조한다.,QA39-DEF-004,"main/test source import graph, api/implementation transitivity",내부 FQN 미선언 참조 0,broken fixture; all compileJava,classpath audit CSV,QA39-SELF-003,미구현
QA39-SELF-007,P0,01_BUILD_GRAPH,Architecture,Starter 순환 의존 제거,HTTP/Runtime Control과 모든 Starter dependency SCC를 제거한다.,QA39-DEF-005,CpfRuntimeCanonicalHash neutral owner; service-registry-jdbc split,Starter dependency graph SCC 모두 단일 노드,dependency graph; compile,graph artifact,QA39-SELF-006,미구현
QA39-SELF-008,P0,02_OWNERSHIP,Runtime Control,Runtime Control SPI 분해,Runtime Control Client는 neutral client/SPI만 보유하고 각 Leaf가 자기 Applier를 등록한다.,QA39-DEF-006,AutoConfiguration decomposition and optional leaf registration,runtime-control-client가 leaf implementation package를 import하지 않는다.,ContextRunner with each leaf absent/present,bean graph evidence,QA39-SELF-007,미구현
QA39-SELF-009,P0,02_OWNERSHIP,Messaging IBM MQ,IBM MQ Plugin 완결,"IBM MQ direct dependency, CCDT/Channel/TLS, reason mapping, reconnect를 실제 Adapter에 연결한다.",QA39-DEF-007,"plugin SPI, vendor adapter, properties consumer",모든 IBM MQ property가 actual consumer를 가지고 publish/consume/reconnect가 동작한다.,IBM MQ fixture/integration,provider runtime evidence,QA39-SELF-006,미구현
QA39-SELF-010,P0,02_OWNERSHIP,File Archive,Archive API Bean 회귀 복구,기존 Core Archive API Consumer가 LocalCpfArchiveService를 Bean으로 받도록 조립한다.,QA39-DEF-008,compatibility facade and unified service,ZIP/TAR/GZIP API와 convenience API가 단일 implementation chain을 사용한다.,ContextRunner; archive regression suite,bean graph and test report,QA39-SELF-006,미구현
