category,function_or_operation,when_to_use,usage_example,input,major_options,return_type,transaction_effect,transaction_execution_ids,logging,outcomes,recovery,required_starter_or_capability,do_not
Controller,call,HTTP/Web entry에서 Service 동기 실행,call(() -> service.method()),Supplier/Callable,"deadline, request metadata",T / standard web mapping,DB Tx 아님; Service policy 적용,TxId 유지; entry execution/segment,ENTRY/CALL/EXIT/ERROR,Service 결과/예외 mapping,표준 error mapping,base/web,Controller→Repository
Controller,callAsync,HTTP/Web entry 비동기 실행,callAsync(() -> service.method()),async Supplier,"timeout,cancel",CompletionStage<T>,DB Tx 자동 전파 아님,"same TxId,new exec/segment",async start/end/error,SUCCESS/FAIL/UNKNOWN as applicable,cancel/timeout,base/web,unbounded executor
Controller,validate,Request 검증,validate(request),DTO,groups,void/validated DTO,없음,current Tx context,validation failure,VALID/BUSINESS_FAILURE,none,base/web,수동 field error 포맷
Controller,page/sort/cursor,검색 입력 정규화,"page(...), sort(...), cursor(...)",query params,"max,allow-list",typed paging input,없음,current,request metadata,valid/business failure,none,base/web,raw sort SQL
Service,direct typed call,같은 JVM Service 호출,memberPolicyService.canJoin(id),typed args,callee policy,자연 Java Type,callee Tx policy,기존 TxId; method마다 새 ExecId 아님,AOP policy/log if configured,exception/business return,callee policy,base,String bean/method lookup
Service,call,명시적 orchestration execution boundary,call(() -> work()),Supplier,deadline/metadata,T,옵션에 따라 tx 별도,"TxId 유지,new meaningful execution 가능",execution log,normal/error,policy,base,모든 service call 강제 wrapper
Service,callAsync,명시적 async orchestration,callAsync(() -> work()),Supplier,"timeout,queue policy",CompletionStage<T>,새 thread에 DB Tx 자동전파 금지,"same TxId,new exec/segment",async structured,success/failure/unknown,cancel/reconcile,base,common ForkJoinPool
Transaction,required,Local DB Tx required,required(() -> repository.save(x)),Supplier,"timeout,isolation,rollback",T,join/new local tx,same TxId,tx begin/commit/rollback metadata,success/failure/unknown commit loss,probe/reconcile if needed,transaction,remote를 같은 Tx로 가정
Transaction,requiresNew,독립 commit,requiresNew(() -> saveHistory()),Supplier,"timeout,isolation,rollback",T,"suspend outer,new local tx","same TxId,new segment optional",inner tx result,success/failure,explicit recovery,transaction,audit/log 편의 남발
Transaction,readOnly,조회 Tx,readOnly(() -> repository.find(...)),Supplier,"timeout,route",T,read-only local tx,same,tx query metadata,success/failure,retry read policy,transaction,write inside readOnly
Transaction,afterCommit,commit 이후 hook,afterCommit(action),Runnable,none,void,현재 tx commit 후,same,hook result,success/failure,outbox preferred for durable work,transaction,중요 외부 side effect를 volatile hook만 사용
Transaction,afterRollback,rollback hook,afterRollback(action),Runnable,none,void,rollback 후,same,hook result,success/failure,compensation,transaction,새 업무 commit 숨김
Resilience,retry,retryable 작업,"retry(policy, supplier)",Supplier,"maxAttempts,backoff,jitter",T/CpfResult<T>,새 Tx 필요 여부 명시,"same TxId,attempt 증가",attempt logs,technical retryable only,reconcile on ambiguity,base/capability,UNKNOWN blind retry
Resilience,timeout,호출 deadline,"timeout(duration, supplier)",Supplier,duration,T/CpfResult<T>,tx timeout와 구분,same TxId,timeout stage,technical/unknown,policy,base/capability,timeout=FAIL 단정
Resilience,idempotent,중복 방지,"idempotent(key, supplier)",key+request,"scope,ttl",T/CpfResult<T>,owner tx,same TxId/idempotencyRef,dedup result,success/conflict/unknown,replay/probe,base/capability,key 재사용 hash 불일치
Resilience,reconcile,UNKNOWN 결과 확정,reconcile(ref),reconcile key,policy,CpfResult<T>/status,별도 recovery tx 가능,"original TxId 연결,new recovery segment",reconcile log,confirmed/unknown/manual,manual review,base/capability,새 독립 거래로 lineage 단절
Resilience,compensate,부분실패 보상,compensate(ref),workflow ref,policy,CpfResult<Receipt>,명시 별도 tx,original TxId lineage,audit/business log,success/failure/unknown,retry/manual,base/capability,rollback과 보상을 혼동
Domain,Typed Domain Client,MBR→EXS/ACC,exsClient.verify(req),typed request,binding+CpfCallOptions,CpfResult<T>,caller/callee DB Tx 분리,"same TxId,new segment/exec",domain start/end/outcome,4-state,retry/reconcile,integration/domain runtime,raw URL/IP
Domain,callDomain,Generic topology-independent Domain call,"callDomain(domain,operation,request,typeRef,options)",typed request+TypeRef,"timeout,idempotency,retryRef,routeHint",CpfResult<T>,distributed boundary,"same TxId,new segment/attempt",domain structured,4-state,reconcile,integration/domain runtime,Class<List>/raw Map
Domain,callDomainAsync,비동기 Domain call,callDomainAsync(...),typed request+TypeRef,async+call options,CompletionStage<CpfResult<T>>,distributed+async boundary,"same TxId,new exec/segment",async domain logs,4-state,cancel/reconcile,integration/domain runtime,context loss
Domain,callRemote,명시적 Remote transport Advanced,callRemote(...),typed request,remote-only options,CpfResult<T>,distributed,same TxId,remote structured,4-state,reconcile,integration/http,업무 Golden Path로 남발
Domain,callRemoteAsync,Remote transport Advanced async,callRemoteAsync(...),typed request,remote+async options,CompletionStage<CpfResult<T>>,distributed,"same TxId,new exec",remote async,4-state,reconcile,integration/http,Domain topology 투명성 파괴
External,Typed External Client,외부기관 HTTPS/TCP/SOAP/MQ,bankHostClient.inquire(req),typed request,named binding policy,CpfResult<T>,외부 side effect boundary,"same TxId,external segment",external request/result,4-state,probe/reconcile,integration provider,WebClient/Socket 직접 사용
External,callExternal,Generic External call,"callExternal(clientId,operation,request,typeRef,options)",typed request+TypeRef,"timeout,retry,idempotency",CpfResult<T>,external boundary,"same TxId,new segment",external structured,4-state,reconcile,integration,endpoint/secret per-call
