exact_id,requirement,work_package,development_result,source_static_verification,live_runtime_status,developer_status,evidence,review_note
ARCH-MISSION,CPF를 샘플이나 공통 라이브러리가 아닌 금융권 포함 엔터프라이즈 업무시스템의 구축·운영·감사·확장·배포를 책임지는 상용 Business Platform Framework로 완성한다.,Architecture / Ownership,"Owner와 Public/Internal 경계를 현재 구조로 정리했다. cpf-common을 고객 업무 공통 Product Owner로 복원하고 starter는 Runtime/AutoConfiguration 조립 역할로 축소했으며, ADM/Backoffice/Batch/Gateway/Generated Domain의 역방향·직접 internal 의존을 정리했다.","Owner boundary, Gradle logical dependency graph, Current Final/No Partial/Clean Source",미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
ARCH-MSA,"동일 Public Contract로 Modular Monolith, 동일 JVM Local Call, 분리 WAS Remote Call, 독립 Microservice를 지원하며 topology 변경이 업무 계약을 바꾸지 않게 한다.",Architecture / Ownership,"Owner와 Public/Internal 경계를 현재 구조로 정리했다. cpf-common을 고객 업무 공통 Product Owner로 복원하고 starter는 Runtime/AutoConfiguration 조립 역할로 축소했으며, ADM/Backoffice/Batch/Gateway/Generated Domain의 역방향·직접 internal 의존을 정리했다.","Owner boundary, Gradle logical dependency graph, Current Final/No Partial/Clean Source",미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
ARCH-BOUNDARY,"기술 Kernel, 고객 업무 공통, 플랫폼 운영, 업무 Backoffice, Batch, Gateway, Generated Business Domain의 Owner를 단일화한다. `cpf-core`는 topology-independent Kernel만, `cpf-common`은 고객 업무 공통, `cpf-admin`은 플랫폼 운영, `cpf-backoffice`는 MBW 업무관리 Domain, `cpf-batch`는 Batch Runtime, `cpf-gateway`는 Edge/Gateway를 소유하며 역방향·순환 의존과 타 Domain DB 직접 접근을 금지한다.",Architecture / Ownership,"Owner와 Public/Internal 경계를 현재 구조로 정리했다. cpf-common을 고객 업무 공통 Product Owner로 복원하고 starter는 Runtime/AutoConfiguration 조립 역할로 축소했으며, ADM/Backoffice/Batch/Gateway/Generated Domain의 역방향·직접 internal 의존을 정리했다.","Owner boundary, Gradle logical dependency graph, Current Final/No Partial/Clean Source",미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
ARCH-LAYER,"Public API, 확장 SPI, Internal 구현을 Module·Package·Publication·JavaDoc·ArchUnit로 구분하고 외부 Consumer가 Internal Package를 참조하지 못하게 한다.",Architecture / Ownership,"Owner와 Public/Internal 경계를 현재 구조로 정리했다. cpf-common을 고객 업무 공통 Product Owner로 복원하고 starter는 Runtime/AutoConfiguration 조립 역할로 축소했으며, ADM/Backoffice/Batch/Gateway/Generated Domain의 역방향·직접 internal 의존을 정리했다.","Owner boundary, Gradle logical dependency graph, Current Final/No Partial/Clean Source",미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
CORE-API,고객 개발자가 최소 입력으로 안전하게 사용할 수 있는 발견 가능한 Public API를 제공하고 거대 Utils·의미 없는 Wrapper·선택 Runtime type 노출을 금지한다.,Release / Public Distribution,"Public Workspace/Binary consumer, isolated Gradle cache/no mavenLocal/private-source 계약과 publication/catalog/BOM 경계를 정리했다.","Release tests 30 PASS, public staging PASS; reachable public repository E2E remains unverified",미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
CORE-SPI,"고객·Generated Domain·기관 Adapter가 구현할 안정된 SPI와 lifecycle, capability, version compatibility, failure contract를 제공한다.",Generated Domain / Generator,"root gradle.properties의 cpf.domain.* Developer Contract를 Gradle/Generator/Runtime 단일 소비 계약으로 사용하고 lock 없이 현재 Template에서 expected seed를 재계산한다. Generator 입력/상태 파일 미생성, externalClients typed consumer/config/error/test, DB Binding 분리를 구현했으며 minimal/composite Scratch Java25 및 Open Git projection을 검증했다. Current MBR/EXS regenerate/runtime와 최종 release 검증은 진행 중이다.","Generator Full Contract, generator verification, current root IA, DB3 render",미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
CORE-CONFIG,safe default→customer property→profile→operation override→per-call override 순서와 허용범위·권한·버전·감사·rollback을 보장한다.,Security,ADM Browser 인증을 Public JDBC Session Starter의 HttpOnly Cookie/CSRF/session fixation/encrypted internal credential bridge로 연결하고 Permission fail-closed 계약을 보강했다.,"Security suite, ADM BFF session contract, permission contract; browser live E2E remains unverified",미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
CORE-TESTKIT,"Public Contract, Header, 오류, idempotency, Local/Remote parity, failure injection을 외부 Consumer가 재사용할 수 있는 Test Kit로 제공한다.",Release / Public Distribution,"Public Workspace/Binary consumer, isolated Gradle cache/no mavenLocal/private-source 계약과 publication/catalog/BOM 경계를 정리했다.","Release tests 30 PASS, public staging PASS; reachable public repository E2E remains unverified",미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
CPF-CALL,동일 JVM과 분리 WAS 호출에 동일한 Header·권한·timeout budget·오류·추적·idempotency를 적용하고 내부 호출의 Gateway 재경유를 금지한다.,Security,ADM Browser 인증을 Public JDBC Session Starter의 HttpOnly Cookie/CSRF/session fixation/encrypted internal credential bridge로 연결하고 Permission fail-closed 계약을 보강했다.,"Security suite, ADM BFF session contract, permission contract; browser live E2E remains unverified",미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
CPF-REGISTRY,"Service·Endpoint·Instance·capability·version·zone·health·maintenance·draining 상태의 등록, lease, TTL, stale 제거와 조회 계약을 제공한다.",Cross-cutting Framework,"해당 Requirement는 이번 통합 개발의 Architecture/Source/Config/Test/Verifier currentization 범위에서 함께 반영했으며, 개별 기능 존재만으로 완료 처리하지 않고 Consumer·실패경로·Evidence 정합성을 같이 검토했다.",Current Final/No Partial/Clean Source/Requirement projection 및 관련 owner/targeted verification,미검증 — 수정 후 Java25 전체 Gradle 및 해당 Requirement의 실제 DB3/Multi-WAS/Browser/Public-Binary/Windows 실행이 필요한 경우 환경 Acceptance가 남아 있다.,수행=완료; 개발=완료; 검증=미검증; 전체=미검증,cpf-docs/deliverables/TEST_AND_EVIDENCE.md,QA/Codex 상태는 변경하지 않았다. Source/static closure와 live acceptance를 분리해 판정한다.
