work_item_id,priority,work_package,developer_status,verification_status,overall_status,development_completion_reason,verification_incomplete_reason,current_source_identity
WP-R00.01,P0,WP-R00 Source Identity / Reopen Ledger / Current-only Governance,완료,미검증,미검증,과거 100%/PASS/CLOSED 자동 승계 금지,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R00.02,P0,WP-R00 Source Identity / Reopen Ledger / Current-only Governance,완료,미검증,미검증,기존 Requirement가 실물 검증 없이 일부 Closure됨,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R00.03,P0,WP-R00 Source Identity / Reopen Ledger / Current-only Governance,완료,미검증,미검증,CPF_CURRENT_WORK_REQUEST가 이전 20260826 Source Identity/127행 기준으로 stale; 이번 20260827 Local ZIP/Runtime/VSCode 결과로 재현행화,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R00.04,P0,WP-R00 Source Identity / Reopen Ledger / Current-only Governance,완료,미검증,미검증,기존 127행 Inventory가 Runtime PASS=129/FAIL=18/SKIP_ENV=1/NOT_EXECUTED=7 및 최신 VSCode 50 diagnostics를 반영하지 못함,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R00.05,P0,WP-R00 Source Identity / Reopen Ledger / Current-only Governance,완료,미검증,미검증,Source 수정과 문서 현행화가 분리되면 다음 세션에서 stale 정본 재발,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R00.06,P0,WP-R00 Source Identity / Reopen Ledger / Current-only Governance,완료,미검증,미검증,work/current에 중복 과거 지침/리뷰/재검수 문서가 병존,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R00.07,P0,WP-R00 Source Identity / Reopen Ledger / Current-only Governance,완료,미검증,미검증,Smoke/부분 Gate PASS가 Closure 근거로 오용된 이력,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R01.01,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,완료,미검증,미검증,20260827 Full Runtime Root Build가 compile/JDT blocker로 cascade 실패; 최신 ZIP에서 Comparator/generic/API/import/constructor drift를 Root Cause 단위로 재개방,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R01.02,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,완료,미검증,미검증,cpf-starters/base build path에서 CpfLogFilePolicy$Rolling class file 누락 진단,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R01.03,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,완료,미검증,미검증,Batch control-plane retention API/SPI unresolved 다수,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R01.04,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,완료,미검증,미검증,Batch worker의 CpfNotificationProperties/Worker unresolved,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R01.05,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,완료,미검증,미검증,SFTP module의 file transfer API/SPI/history/inspection/duplicate prevention/protocol unresolved 다수,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R01.06,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,완료,미검증,미검증,Archive checksum/InputStreamSupplier 관련 unresolved/functional-interface 진단,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R01.07,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,완료,미검증,미검증,CpfJpaSpecificationFactory generic inference/Operator enum/Predicate 타입 진단,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R01.08,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,완료,미검증,미검증,CpfSqlResourceResolver unresolved,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R01.09,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,완료,미검증,미검증,ADM/Batch/Base/Backoffice comparator inference와 lambda variable shadowing 다수,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R01.10,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,완료,미검증,미검증,full-distributed artifact pack에서 필수 배포 JAR 누락,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R02.01,P0,WP-R02 VSCode Java25 Fresh Import — Error 0 / Warning 0,완료,미검증,미검증,"최신 VSCode dump 50 diagnostics / 30 resources; severity 8=18, 4=29, 2=3",Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R02.02,P0,WP-R02 VSCode Java25 Fresh Import — Error 0 / Warning 0,완료,미검증,미검증,최신 18 Error에는 실제 type/import/API/constructor/generic 결함과 build-path cascade가 혼재,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R02.03,P0,WP-R02 VSCode Java25 Fresh Import — Error 0 / Warning 0,완료,미검증,미검증,"ADM Comparator, Policy Store version inference, Logging Map.Entry, HTTP Header sanitizer, fallback comparator 등 실제 JDT/javac 영향 후보 확인",Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R02.04,P0,WP-R02 VSCode Java25 Fresh Import — Error 0 / Warning 0,완료,미검증,미검증,Valkey build path/test classpath 등 fresh Gradle import에서 재확인이 필요한 classpath 진단 포함,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R02.05,P1,WP-R02 VSCode Java25 Fresh Import — Error 0 / Warning 0,완료,미검증,미검증,최신 Warning 29에 null-safety/unused/suppressions/bridge adapter 진단 포함; warning disable로 숨기지 않음,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R02.06,P0,WP-R02 VSCode Java25 Fresh Import — Error 0 / Warning 0,완료,미검증,미검증,nullness method-reference 경고를 실제 Source 의미/consumer 기준으로 보정하고 Fresh JDT에서 재검증 필요,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R02.07,P0,WP-R02 VSCode Java25 Fresh Import — Error 0 / Warning 0,완료,미검증,미검증,cache-valkey→spring-data-redis build path 및 composite/source-set Fresh Import 재검증 필요,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R02.08,P0,WP-R02 VSCode Java25 Fresh Import — Error 0 / Warning 0,완료,미검증,미검증,warning 숨김 방식 금지,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R03.01,P0,WP-R03 Verification Harness / False-Green / Evidence Path Closure,완료,미검증,미검증,verify-cpf-execution-scope-exhaustive.py가 외부 temp audit path를 root.relative_to로 변환해 실패,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R03.02,P1,WP-R03 Verification Harness / False-Green / Evidence Path Closure,완료,미검증,미검증,Runtime 당시 root-generated-domain-prefix FAIL; 최신 ZIP에서 단독 gate는 PASS,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
WP-R03.03,P0,WP-R03 Verification Harness / False-Green / Evidence Path Closure,완료,미검증,미검증,공통 compile 결함이 여러 단계에서 반복되어 root cause가 흐려짐,Current exact-source Physical Acceptance not fully executed; environment-dependent Java25/DB3/Windows-Linux/Browser/Performance/Full Runtime items are not treated as PASS.,398ebf1ee0d80f9ffc2bf80e9ad8b0e6834cea8ab0a84e2e5b131aa64672c717
