requirement_id,canonical_requirement_id,개발GPT_수행상태,개발GPT_자체검수상태,acceptance_result,evidence_ref,remaining_gap,development_status,verification_status
CPF-FR-005613,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005614,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005615,ADM-AUTH,완료,완료,PASS_DIRECT,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005616,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005617,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005618,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005619,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005620,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005621,ADM-AUTH,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
CPF-FR-005622,ADM-AUTH,완료,완료,PASS_DIRECT,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,NONE_FOR_ASSIGNED_ACCEPTANCE,완료,완료
