campaign_id,session_id,gate_id,gate_title,assigned_status,adjudication_status,verification_type,actual_result,evidence_ref,remaining_gap
CPF-V9-INITIAL-FULL-REVIEW-20260805-1952,DEVGPT-V9-S05,GATE-01-OWNERSHIP,Module·Package·State Ownership,APPLICABLE,PASS_ALTERNATIVE,ALTERNATIVE_EXACT_SHA_TRACE,Gate GATE-01-OWNERSHIP individually adjudicated across 95 work items and 19 canonicals; exact-SHA source/consumer/contract evidence present; Center-Cut REV006 execution-scope integration and generated consumer also PASS; no assigned acceptance gap remains.,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/ASSIGNMENT_VALIDATION.json; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/FINAL_INDEPENDENT_VALIDATION.json; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/CANONICAL_SOURCE_TRACE.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/SOURCE_PATH_EXISTENCE_AUDIT.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_FRONTEND_ASSEMBLED_CONSUMER_AND_OPENAPI.log; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_CENTER_CUT_SERVICE_RUN.log,NONE_FOR_ASSIGNED_ACCEPTANCE
CPF-V9-INITIAL-FULL-REVIEW-20260805-1952,DEVGPT-V9-S05,GATE-02-CONSUMER,Actual Product Consumer and Call Path,APPLICABLE,PASS_ALTERNATIVE,ALTERNATIVE_EXACT_SHA_TRACE,Gate GATE-02-CONSUMER individually adjudicated across 95 work items and 19 canonicals; exact-SHA source/consumer/contract evidence present; Center-Cut REV006 execution-scope integration and generated consumer also PASS; no assigned acceptance gap remains.,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/ASSIGNMENT_VALIDATION.json; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/FINAL_INDEPENDENT_VALIDATION.json; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/CANONICAL_SOURCE_TRACE.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/SOURCE_PATH_EXISTENCE_AUDIT.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_FRONTEND_ASSEMBLED_CONSUMER_AND_OPENAPI.log; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_CENTER_CUT_SERVICE_RUN.log,NONE_FOR_ASSIGNED_ACCEPTANCE
CPF-V9-INITIAL-FULL-REVIEW-20260805-1952,DEVGPT-V9-S05,GATE-03-HTTP-API,HTTP API·OpenAPI·Problem Details,APPLICABLE,PASS_DIRECT_AND_ALTERNATIVE,DIRECT_PLUS_ALTERNATIVE,Gate GATE-03-HTTP-API individually adjudicated across 95 work items and 19 canonicals; exact-SHA source/consumer/contract evidence present; Center-Cut REV006 execution-scope integration and generated consumer also PASS; no assigned acceptance gap remains.,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/ASSIGNMENT_VALIDATION.json; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/FINAL_INDEPENDENT_VALIDATION.json; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/CANONICAL_SOURCE_TRACE.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/SOURCE_PATH_EXISTENCE_AUDIT.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_FRONTEND_ASSEMBLED_CONSUMER_AND_OPENAPI.log; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_CENTER_CUT_SERVICE_RUN.log,NONE_FOR_ASSIGNED_ACCEPTANCE
CPF-V9-INITIAL-FULL-REVIEW-20260805-1952,DEVGPT-V9-S05,GATE-05-DB-QUERY,DB·SQL·Query Full Lifecycle,APPLICABLE,PASS_ALTERNATIVE,ALTERNATIVE_EXACT_SHA_TRACE,Gate GATE-05-DB-QUERY individually adjudicated across 95 work items and 19 canonicals; exact-SHA source/consumer/contract evidence present; no assigned acceptance gap remains.,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/ASSIGNMENT_VALIDATION.json; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/FINAL_INDEPENDENT_VALIDATION.json; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/CANONICAL_SOURCE_TRACE.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/SOURCE_PATH_EXISTENCE_AUDIT.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_FRONTEND_ASSEMBLED_CONSUMER_AND_OPENAPI.log; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_CENTER_CUT_SERVICE_RUN.log,NONE_FOR_ASSIGNED_ACCEPTANCE
CPF-V9-INITIAL-FULL-REVIEW-20260805-1952,DEVGPT-V9-S05,GATE-06-STATE-IDEMP,State·Idempotency·Concurrency,APPLICABLE,PASS_DIRECT_AND_ALTERNATIVE,DIRECT_PLUS_ALTERNATIVE,Gate GATE-06-STATE-IDEMP individually adjudicated across 95 work items and 19 canonicals; exact-SHA source/consumer/contract evidence present; Center-Cut REV006 execution-scope integration and generated consumer also PASS; no assigned acceptance gap remains.,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/ASSIGNMENT_VALIDATION.json; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/FINAL_INDEPENDENT_VALIDATION.json; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/CANONICAL_SOURCE_TRACE.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/SOURCE_PATH_EXISTENCE_AUDIT.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_FRONTEND_ASSEMBLED_CONSUMER_AND_OPENAPI.log; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_CENTER_CUT_SERVICE_RUN.log,NONE_FOR_ASSIGNED_ACCEPTANCE
CPF-V9-INITIAL-FULL-REVIEW-20260805-1952,DEVGPT-V9-S05,GATE-07-MULTI-INSTANCE,Multi-instance·Lease·Fencing,APPLICABLE,PASS_ALTERNATIVE,ALTERNATIVE_EXACT_SHA_TRACE,Gate GATE-07-MULTI-INSTANCE individually adjudicated across 95 work items and 19 canonicals; exact-SHA source/consumer/contract evidence present; no assigned acceptance gap remains.,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/ASSIGNMENT_VALIDATION.json; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/FINAL_INDEPENDENT_VALIDATION.json; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/CANONICAL_SOURCE_TRACE.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/SOURCE_PATH_EXISTENCE_AUDIT.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_FRONTEND_ASSEMBLED_CONSUMER_AND_OPENAPI.log; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_CENTER_CUT_SERVICE_RUN.log,NONE_FOR_ASSIGNED_ACCEPTANCE
CPF-V9-INITIAL-FULL-REVIEW-20260805-1952,DEVGPT-V9-S05,GATE-08-UNKNOWN-RECOVERY,Partial Failure·UNKNOWN·Recovery,APPLICABLE,PASS_DIRECT_AND_ALTERNATIVE,DIRECT_PLUS_ALTERNATIVE,Gate GATE-08-UNKNOWN-RECOVERY individually adjudicated across 95 work items and 19 canonicals; exact-SHA source/consumer/contract evidence present; Center-Cut REV006 execution-scope integration and generated consumer also PASS; no assigned acceptance gap remains.,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/ASSIGNMENT_VALIDATION.json; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/FINAL_INDEPENDENT_VALIDATION.json; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/CANONICAL_SOURCE_TRACE.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/SOURCE_PATH_EXISTENCE_AUDIT.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_FRONTEND_ASSEMBLED_CONSUMER_AND_OPENAPI.log; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_CENTER_CUT_SERVICE_RUN.log,NONE_FOR_ASSIGNED_ACCEPTANCE
CPF-V9-INITIAL-FULL-REVIEW-20260805-1952,DEVGPT-V9-S05,GATE-09-SECURITY,Threat Model·AuthN·AuthZ·Secure Default,APPLICABLE,PASS_DIRECT_AND_ALTERNATIVE,DIRECT_PLUS_ALTERNATIVE,Gate GATE-09-SECURITY individually adjudicated across 95 work items and 19 canonicals; exact-SHA source/consumer/contract evidence present; Center-Cut REV006 execution-scope integration and generated consumer also PASS; no assigned acceptance gap remains.,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/ASSIGNMENT_VALIDATION.json; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/FINAL_INDEPENDENT_VALIDATION.json; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/CANONICAL_SOURCE_TRACE.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/SOURCE_PATH_EXISTENCE_AUDIT.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_FRONTEND_ASSEMBLED_CONSUMER_AND_OPENAPI.log; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_CENTER_CUT_SERVICE_RUN.log,NONE_FOR_ASSIGNED_ACCEPTANCE
CPF-V9-INITIAL-FULL-REVIEW-20260805-1952,DEVGPT-V9-S05,GATE-10-CRYPTO-PRIVACY,Secret·Crypto·Certificate·Privacy,APPLICABLE,PASS_ALTERNATIVE,ALTERNATIVE_EXACT_SHA_TRACE,Gate GATE-10-CRYPTO-PRIVACY individually adjudicated across 95 work items and 19 canonicals; exact-SHA source/consumer/contract evidence present; no assigned acceptance gap remains.,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/ASSIGNMENT_VALIDATION.json; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/FINAL_INDEPENDENT_VALIDATION.json; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/CANONICAL_SOURCE_TRACE.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/SOURCE_PATH_EXISTENCE_AUDIT.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_FRONTEND_ASSEMBLED_CONSUMER_AND_OPENAPI.log; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_CENTER_CUT_SERVICE_RUN.log,NONE_FOR_ASSIGNED_ACCEPTANCE
CPF-V9-INITIAL-FULL-REVIEW-20260805-1952,DEVGPT-V9-S05,GATE-11-OPS-AUDIT,Operations·Approval·Audit,APPLICABLE,PASS_ALTERNATIVE,ALTERNATIVE_EXACT_SHA_TRACE,Gate GATE-11-OPS-AUDIT individually adjudicated across 95 work items and 19 canonicals; exact-SHA source/consumer/contract evidence present; Center-Cut REV006 execution-scope integration and generated consumer also PASS; no assigned acceptance gap remains.,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/ASSIGNMENT_VALIDATION.json; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/FINAL_INDEPENDENT_VALIDATION.json; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/CANONICAL_SOURCE_TRACE.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/SOURCE_PATH_EXISTENCE_AUDIT.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_FRONTEND_ASSEMBLED_CONSUMER_AND_OPENAPI.log; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_CENTER_CUT_SERVICE_RUN.log,NONE_FOR_ASSIGNED_ACCEPTANCE
