path,change_type,sha256,size_bytes,purpose
cpf-docs/evidence/qa/QA_PARALLEL_6WAY_QA-6F_f97655c_R2/CPF_FINAL_TARGET_REQUIREMENTS.snapshot.md,ADD,ce6df0e6ec0b8964acd74e24a12e5e3adcdcc511815f4ad8bc35a744d261c441,85945,QA-6F R2 report/evidence
cpf-docs/evidence/qa/QA_PARALLEL_6WAY_QA-6F_f97655c_R2/CPF_REQUIREMENT_MASTER.index.snapshot.csv,ADD,beb25bd8fff3e7a3e0f433e5989038015a382acd9f105ba792bd9521926cf638,13803,QA-6F R2 report/evidence
cpf-docs/evidence/qa/QA_PARALLEL_6WAY_QA-6F_f97655c_R2/FEATURE_QA_MATRIX.csv,ADD,462dfa28630c0ed1240ef8d680dd2b1f192da28a4b2f66480019df48322d35b7,499258,QA-6F R2 report/evidence
cpf-docs/evidence/qa/QA_PARALLEL_6WAY_QA-6F_f97655c_R2/LEDGER_PREFLIGHT.json,ADD,3262b70ad87467bec3fee778f158926f2c8b3850df640c806ff0444fd193b602,1656,QA-6F R2 report/evidence
cpf-docs/evidence/qa/QA_PARALLEL_6WAY_QA-6F_f97655c_R2/REQUIREMENT_AXIS_EVIDENCE.csv,ADD,792583a8eae7575d59b7a12bcb5d46e6c6c6cf97011dfc54ea1e20053ef1119b,8195907,QA-6F R2 report/evidence
cpf-docs/evidence/qa/QA_PARALLEL_6WAY_QA-6F_f97655c_R2/REQUIREMENT_REVIEW_INTEGRITY.json,ADD,7f699ba9ac0dae2d45f255ba94bd5b4b92b70dfd67b4bad812580f03eb90183c,3073,QA-6F R2 report/evidence
cpf-docs/evidence/qa/QA_PARALLEL_6WAY_QA-6F_f97655c_R2/SOURCE_TRACE_SUPPLEMENT.csv,ADD,4ad51214b28b58e9f701bcaa5258bddf10777c352db181014a5153eff39870f6,2431,QA-6F R2 report/evidence
cpf-docs/evidence/qa/QA_PARALLEL_6WAY_QA-6F_f97655c_R2/batch001_seed/after_seed_bundle_fix.log,ADD,613b7af2782da1404485e8e0514d691c8b300322ec54268c72b99451e1a87154,856,QA-6F R2 report/evidence
cpf-docs/evidence/qa/QA_PARALLEL_6WAY_QA-6F_f97655c_R2/batch001_seed/before_oracle_secret_fix.log,ADD,e596bf328c59cee5897798b8637e2c2428ecc0e0d87ce943d9e878c8848d2e4a,46193,QA-6F R2 report/evidence
cpf-docs/evidence/qa/QA_PARALLEL_6WAY_QA-6F_f97655c_R2/batch001_seed/before_seed_bundle_fix.log,ADD,9c076f3159ddc69c054e928ed1e321f36f7f738a48b3253d23a85c1e33fdeff4,140296,QA-6F R2 report/evidence
cpf-docs/evidence/qa/QA_PARALLEL_6WAY_QA-6F_f97655c_R2/batch001_seed/final_regression_12_tests.log,ADD,48eaf230aa57b1a58358626330fa08e54829618c2b3028c464991774c22cc916,2529,QA-6F R2 report/evidence
cpf-docs/evidence/qa/QA_PARALLEL_6WAY_QA-6F_f97655c_R2/batch001_seed/seed_version_contract_tests.log,ADD,40e13c5aa4324e1ae16e99b7e555b3aaea5ac6922569e92e1ad63c99b24425f4,662,QA-6F R2 report/evidence
cpf-docs/work/review/qa/QA_PARALLEL_6WAY_QA-6F_f97655c_R2/APPLY_ONE_LINE.txt,ADD,2d69bd3f27515f08f3b6c79d4de33a848fa53e5ab39f9b6134581a618dd31a54,343,QA-6F R2 report/evidence
cpf-docs/work/review/qa/QA_PARALLEL_6WAY_QA-6F_f97655c_R2/BOOTSTRAP_AND_VALIDATE.md,ADD,c6aeea87f16b12632b679d468b2da3442ee86791b2a6ab45e8a21ac3ef76a598,1153,QA-6F R2 report/evidence
cpf-docs/work/review/qa/QA_PARALLEL_6WAY_QA-6F_f97655c_R2/CANONICAL_COUNTS.json,ADD,f1a93a4027b7c2ce7b9b68c51dfe40d5d343bd07367408d35bb9961c0ab9339e,385,QA-6F R2 report/evidence
cpf-docs/work/review/qa/QA_PARALLEL_6WAY_QA-6F_f97655c_R2/CLEANUP_ONE_LINE.txt,ADD,99f22be164c5aba2ce83e547c52791a43efa838d519a3d42708a9446b70c07f1,104,QA-6F R2 report/evidence
