id_type,exact_id,work_item_id,development_status,verification_status,qa_status,evidence_path,final_completion
CPF-FR,CPF-FR-000001,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000001,false
CPF-FR,CPF-FR-000002,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000002,false
CPF-FR,CPF-FR-000003,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000003,false
CPF-FR,CPF-FR-000004,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000004,false
CPF-FR,CPF-FR-000005,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000005,false
CPF-FR,CPF-FR-000006,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000006,false
CPF-FR,CPF-FR-000007,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000007,false
CPF-FR,CPF-FR-000008,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000008,false
CPF-FR,CPF-FR-000009,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000009,false
CPF-FR,CPF-FR-000010,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,미검증,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000010,false
CPF-FR,CPF-FR-000011,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000011,false
CPF-FR,CPF-FR-000012,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000012,false
CPF-FR,CPF-FR-000013,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000013,false
CPF-FR,CPF-FR-000014,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000014,false
CPF-FR,CPF-FR-000015,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000015,false
CPF-FR,CPF-FR-000016,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000016,false
CPF-FR,CPF-FR-000017,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000017,false
CPF-FR,CPF-FR-000018,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000018,false
CPF-FR,CPF-FR-000019,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000019,false
CPF-FR,CPF-FR-000020,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000020,false
CPF-FR,CPF-FR-000021,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000021,false
CPF-FR,CPF-FR-000022,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000022,false
CPF-FR,CPF-FR-000023,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000023,false
CPF-FR,CPF-FR-000024,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000024,false
CPF-FR,CPF-FR-000025,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000025,false
CPF-FR,CPF-FR-000026,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000026,false
CPF-FR,CPF-FR-000027,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000027,false
CPF-FR,CPF-FR-000028,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,완료,완료,미검수,evidence/ATOMIC_REQUIREMENT_EVIDENCE.jsonl#CPF-FR-000028,false
