execution_order,requirement_id,phase_id,phase_name,work_package_id,priority,owner_module,requirement_group,capability,feature,function_type,predecessor_phase_ids,prerequisite_requirement_ids,blocking_phase_gate_id,parallel_execution_rule,change_freeze_rule,development_status,verification_status
00-00010066,CPF-FR-010066,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,기능 목적·업무 결과,PURPOSE,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010067,CPF-FR-010067,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,Owner·경계,OWNER,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010068,CPF-FR-010068,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,실제 Consumer,CONSUMER,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010069,CPF-FR-010069,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,Public API,PUBLIC_API,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010070,CPF-FR-010070,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,고객 확장 SPI,EXTENSION_SPI,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010071,CPF-FR-010071,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,Internal 구현,INTERNAL_IMPL,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010072,CPF-FR-010072,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,입력 계약,INPUT,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010073,CPF-FR-010073,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,출력 계약,OUTPUT,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010074,CPF-FR-010074,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,설정 계약,CONFIG,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010075,CPF-FR-010075,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,검증,VALIDATION,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010077,CPF-FR-010077,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,상태 전이,TRANSITION,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010078,CPF-FR-010078,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,명령 실행,COMMAND,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010079,CPF-FR-010079,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,조회·검색,QUERY,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010080,CPF-FR-010080,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,멱등성,IDEMPOTENCY,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010081,CPF-FR-010081,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,동시성,CONCURRENCY,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010082,CPF-FR-010082,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,Timeout Budget,DEADLINE,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010083,CPF-FR-010083,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,재시도,RETRY,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010084,CPF-FR-010084,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,Circuit·Bulkhead,CIRCUIT,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010085,CPF-FR-010085,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,결과 불명,UNKNOWN,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010086,CPF-FR-010086,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,대사,RECONCILE,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
00-00010087,CPF-FR-010087,P00,정본·안전·상태 초기화,P00-GOV-REQ-GOV,P0,requirement governance,GOV,REQ-GOV,복구,RECOVERY,,,CPF-GATE-00,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
