persona,question,owner_document,section,expected_keywords,evidence,section_found,missing_keywords,status
의사결정자,위분에게 CPF를 제안하려는데 장점과 주요 기능은 무엇인가?,00_프레임워크안내.docx,11. 제안·도입 검토자가 설명해야 할 핵심,도입 | 가치 | 범위,00 제품 Navigator/아키텍처,True,,PASS
의사결정자,어떤 시스템에 CPF가 적합하고 언제 과한 선택인가?,00_프레임워크안내.docx,15. 의사결정자 FAQ가 아닌 의사결정 기준,적합 | 사업 적합성 | 기술 적합성,문서 정본 + Source Trace,True,,PASS
의사결정자,MSA와 Modular Monolith를 모두 지원하는 이유는?,아키텍처설계서.docx,5. 지원 Topology와 동등성,Modular | Remote | 동등,문서 정본 + Source Trace,True,,PASS
의사결정자,기존 공통 라이브러리와 CPF의 차이는?,00_프레임워크안내.docx,11. 제안·도입 검토자가 설명해야 할 핵심,제품 | 운영 | 복구,문서 정본 + Source Trace,True,,PASS
제안/PM,제안서에 어떤 문서 묶음을 붙여야 하나?,산출물목록.docx,2. 제안·도입 검토 Pack,README | 아키텍처 | 00,문서 정본 + Source Trace,True,,PASS
제안/PM,도입 시 주요 위험과 미검증은 어디서 보나?,00_프레임워크안내.docx,5. 현재 구현·QA 상태를 읽는 법,미검증 | Release | QA,문서 정본 + Source Trace,True,,PASS
플랫폼 운영자,초기 설치를 어떤 순서로 해야 하나?,05_플랫폼운영매뉴얼.docx,16. 신규 환경 전체 설치 Runbook,Artifact | DB | Secret | Health,initialize-cpf-database.ps1,True,,PASS
플랫폼 운영자,초기 설치 대표 명령은?,05_플랫폼운영매뉴얼.docx,17. 초기 설치 대표 명령과 판정,initialize | RequireRun | 미검증,cpf-tools/scripts/initialize-cpf-database.ps1,True,,PASS
플랫폼 운영자,설치 전에 어떤 계정·디렉터리·Secret을 준비하나?,05_플랫폼운영매뉴얼.docx,2. Artifact / 계정 / Directory / Secret 준비,Artifact | Secret | Directory,문서 정본 + Source Trace,True,,PASS
플랫폼 운영자,DB Vendor별 설치/검증은 어디서 보나?,데이터베이스표준서.docx,7. 초기 설치 Profile과 실행,Profile | Vendor | 실행,initialize-cpf-database.ps1,True,,PASS
플랫폼 운영자,서비스 기본 Port와 접속점은?,05_플랫폼운영매뉴얼.docx,19. 서비스별 기본 Port/접속점,8090 | 8091 | 8070,문서 정본 + Source Trace,True,,PASS
ADM 운영자,ADM 초기 비밀번호는 무엇인가?,04_ADM운영자매뉴얼.docx,2. ADM 접속·로그인·초기 비밀번호,고정 비밀번호 | Bootstrap | 재표시,cpf-admin application.yml/App.vue,True,,PASS
ADM 운영자,ADM은 어느 URL로 접속하나?,04_ADM운영자매뉴얼.docx,2. ADM 접속·로그인·초기 비밀번호,8090 | /adm/ | Proxy,vite.config.ts/application.yml,True,,PASS
