area,source_path,evidence,basis_sha,status
Starter/Profile,cpf-tools/generator/contracts/cpf-starter-catalog.json,"6 public profiles, 7 capability groups, leaf/provider catalog",f0aa49f29cba3cfd6ae12b0ddd4e118d05fff16c,정적 Source 확인
Starter physical closure,settings.gradle,starter/profile/group/provider exact closure check,f0aa49f29cba3cfd6ae12b0ddd4e118d05fff16c,정적 Source 확인
ADM bootstrap,cpf-admin/src/main/resources/application.yml,ADM port/bootstrap defaults/security properties,f0aa49f29cba3cfd6ae12b0ddd4e118d05fff16c,정적 Source 확인
ADM frontend base,cpf-admin/frontend/vite.config.ts,base=/adm/,f0aa49f29cba3cfd6ae12b0ddd4e118d05fff16c,정적 Source 확인
ADM login behavior,cpf-admin/frontend/src/App.vue,bootstrap password not re-displayed; password change state,f0aa49f29cba3cfd6ae12b0ddd4e118d05fff16c,정적 Source 확인
ADM route registry,cpf-admin/frontend/src/app/routes.ts,single route/menu/component/operation registry,f0aa49f29cba3cfd6ae12b0ddd4e118d05fff16c,정적 Source 확인
BZA runtime,cpf-biz-admin/src/main/resources/application.yml,port/security/datasource/health properties,f0aa49f29cba3cfd6ae12b0ddd4e118d05fff16c,정적 Source 확인
BZA route registry,cpf-biz-admin/frontend/src/app/routes.ts,26 business/admin routes and operationIds,f0aa49f29cba3cfd6ae12b0ddd4e118d05fff16c,정적 Source 확인
Gateway runtime,cpf-gateway/src/main/resources/application.yml,port/TLS/timeout/retry/body/header/control-plane/probe safety properties,f0aa49f29cba3cfd6ae12b0ddd4e118d05fff16c,정적 Source 확인
DB lifecycle,cpf-tools/scripts/initialize-cpf-database.ps1,vendor/profile/provision/run selector workflow,f0aa49f29cba3cfd6ae12b0ddd4e118d05fff16c,정적 Source 확인; Runtime DB3 미검증
HTTP Public API,cpf-core/src/main/java/com/cpf/core/api/http/CpfRestClient.java,GET/POST generated-domain public contract,f0aa49f29cba3cfd6ae12b0ddd4e118d05fff16c,정적 Source 확인
Inbound transaction trust,cpf-core/src/main/java/com/cpf/core/common/transaction/CpfInboundTransactionIdPolicy.java,trusted start/propagation + replay guard,f0aa49f29cba3cfd6ae12b0ddd4e118d05fff16c,정적 Source 확인; Runtime ingress 미검증
Transaction context,cpf-core/src/main/java/com/cpf/core/common/filter/TransactionContextFilter.java,transaction/trace/span response propagation,f0aa49f29cba3cfd6ae12b0ddd4e118d05fff16c,정적 Source 확인
FileLog recovery,cpf-core/src/main/java/com/cpf/core/common/logging/file/CpfFileLogRecoverySpool.java,bounded spool/replay/dedup/quarantine/terminalLoss,f0aa49f29cba3cfd6ae12b0ddd4e118d05fff16c,정적 Source 확인; QA known limitation 반영
Paging,cpf-core/src/main/java/com/cpf/core/api/page/**,PageRequest/Page/Slice/Cursor/Codec contracts,f0aa49f29cba3cfd6ae12b0ddd4e118d05fff16c,정적 Source 확인
Common Utility,cpf-core/src/main/java/com/cpf/core/api/util/**,Strings/Dates/Times/Decimals/Files/Hashes/Ids/Lists/Maps/Numbers/Pages/Validation/Json,f0aa49f29cba3cfd6ae12b0ddd4e118d05fff16c,정적 Source 확인
QA product state,cpf-docs/work/v9i/final-control/**,UNVERIFIED / RELEASE_BLOCKED; open static/runtime issues,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,QA basis; Product PASS로 사용하지 않음
