id,area,status,severity,title,requirement,validation,evidence
CPF-QA-FND-001,FND,실패,P0,최신 SHA CI 상태 부재,"최신 master SHA에 Required Check, Combined Status, Workflow Run이 없다. 최신 SHA 대상 CI를 구성하고 Build/Test/DB/Frontend/Security/Artifact/Evidence Gate를 Required Check로 연결한다.",최신 SHA에서 모든 필수 Check가 실행·성공해야 하며 미실행이면 Release 차단.,GitHub status/workflow 0건
CPF-QA-FND-002,FND,실패,P0,최종 완료 보고와 미실행 검증 충돌,"보고서는 구현 완료를 선언하지만 Java25 전체 Build, PowerShell Gate, 3개 DB Lifecycle, Browser, Multi-instance를 실행하지 않았다. 완료 판정을 재개방한다.",완료 문장마다 최신 SHA 실행 Evidence가 연결되어야 한다.,CPF_CHATGPT_FINAL_COMPLETION_REPORT_20260728.md
CPF-QA-FND-003,FND,실패,P0,Remaining Matrix 일괄 완료,모든 구현 축을 완료로 표시하고 부분 구현·미구현이 없다고 선언했으나 실제 Source Gap이 남았다.,정본 162개와 신규 QA를 개별 재판정한다.,CPF_REMAINING_REQUIREMENT_MATRIX_20260727.md
CPF-QA-FND-004,FND,실패,P1,Current 기준 SHA Stale,Current 문서가 최신 Push SHA 대신 이전 SHA+패치 표현을 사용한다.,Current/Matrix/Ledger/Handover/Evidence가 동일 최신 SHA를 사용한다.,CPF_CURRENT_WORK_REQUEST.md
CPF-QA-FND-005,FND,실패,P0,정적 Evidence 참조 부재,보고서가 참조하는 정적 Evidence 파일이 최신 master에서 확인되지 않는다.,링크·SHA·해시·명령 존재성을 Gate로 검증한다.,cpf-docs/evidence/20260728-final-completion/STATIC_VALIDATION.md
CPF-QA-FND-006,FND,실패,P0,Gateway Core Internal 직접 참조,Gateway Controller가 com.cpf.core.common.header.CpfHeaderNames를 직접 import한다.,외부 Module의 core common/internal import 0을 compile/ArchUnit로 검증한다.,CpfGatewayController.java
CPF-QA-FND-007,FND,부분 구현,P0,ADM Service Registry 조회 전용,Service/Endpoint/Instance/Health/Routing 조회만 있고 CRUD·Group·Lifecycle·Owner Command가 없다.,"ADM API/UI CRUD, CAS, idempotency, approval, audit, E2E.",AdmServiceRegistryController.java
CPF-QA-FND-008,FND,미구현,P0,Runtime Instance Group 부재,Environment/Zone/Cell/Cluster/Service/Domain/Canary/Pool/Capability/Label Group 모델이 없다.,"Membership, include/exclude, snapshot, version, target preview를 multi-instance로 검증.",Source 전수 검색
CPF-QA-FND-009,FND,부분 구현,P0,로그 정책 현재 인스턴스 Cache 한정,ADM 로그 정책이 현재 프로세스 LogPolicyResolver Cache만 갱신한다.,2개 이상 인스턴스에 target/version/ACK/TTL/Drift 적용.,AdmLogPolicyService.java
CPF-QA-FND-010,FND,실패,P0,Cache Event 메모리 Queue 유실,저장 실패 이벤트를 ArrayDeque에 넣고 포화 시 오래된 이벤트를 삭제한다.,"Durable outbox/inbox, process kill/DB down/queue full 유실 0.",CacheRefreshEventPublisher.java
