document,kind,pdf_pages,pdf_bytes,docx_bytes,orientation,min_page_text_chars,last_page_text_chars,replacement_char_count
00_프레임워크안내,guide,15,667569,34909,portrait,1013,1299,0
01_개발자매뉴얼,guide,37,1655884,68191,portrait,865,2181,0
02_배치개발매뉴얼,guide,27,1115379,44105,portrait,793,1976,0
03_ADM개발자매뉴얼,guide,10,385479,23820,portrait,672,1125,0
04_ADM운영자매뉴얼,guide,158,4729123,222159,landscape,614,1666,0
05_플랫폼운영매뉴얼,guide,107,3656854,119762,landscape,532,1693,0
90_BZA매뉴얼,guide,12,469607,25495,landscape,825,1432,0
91_Gateway매뉴얼,guide,8,312671,22356,portrait,1055,1680,0
산출물목록,design,10,440496,24816,portrait,949,1130,0
아키텍처설계서,design,22,746614,43163,portrait,1041,1041,0
기술사양서,design,15,567725,34841,portrait,985,1633,0
기술표준서,design,14,570776,33872,portrait,1005,1190,0
데이터베이스표준서,design,14,495463,32157,portrait,1028,1169,0
