document,pages,encrypted,openable,likely_scanned,xfa,replacement_char_count,result
00_프레임워크안내,15,false,true,false,false,0,PASS
01_개발자매뉴얼,37,false,true,false,false,0,PASS
02_배치개발매뉴얼,27,false,true,false,false,0,PASS
03_ADM개발자매뉴얼,10,false,true,false,false,0,PASS
04_ADM운영자매뉴얼,158,false,true,false,false,0,PASS
05_플랫폼운영매뉴얼,107,false,true,false,false,0,PASS
90_BZA매뉴얼,12,false,true,false,false,0,PASS
91_Gateway매뉴얼,8,false,true,false,false,0,PASS
산출물목록,10,false,true,false,false,0,PASS
아키텍처설계서,22,false,true,false,false,0,PASS
기술사양서,15,false,true,false,false,0,PASS
기술표준서,14,false,true,false,false,0,PASS
데이터베이스표준서,14,false,true,false,false,0,PASS
