referenced_path,exists_in_uploaded_source_zip
cpf-education/src/main/java/com/cpf/education/batch/agent/offline/EduBat28Handler.java,PASS
cpf-education/src/main/java/com/cpf/education/batch/backfill/latearrival/EduBat15Handler.java,PASS
cpf-education/src/main/java/com/cpf/education/batch/calendar/businessday/EduBat22Handler.java,PASS
cpf-education/src/main/java/com/cpf/education/batch/centercut/approval/EduBat06Handler.java,PASS
cpf-education/src/main/java/com/cpf/education/batch/centercut/reconcile/EduBat26Handler.java,PASS
cpf-education/src/main/java/com/cpf/education/batch/checkpoint/writercommit/EduBat13Handler.java,PASS
cpf-education/src/main/java/com/cpf/education/batch/chunk/membergrade/EduBat02Handler.java,PASS
cpf-education/src/main/java/com/cpf/education/batch/concurrency/execution/EduBat21Handler.java,PASS
cpf-education/src/main/java/com/cpf/education/batch/dryrun/preview/EduBat29Handler.java,PASS
cpf-education/src/main/java/com/cpf/education/batch/faulttolerance/retryskip/EduBat12Handler.java,PASS
cpf-education/src/main/java/com/cpf/education/batch/file/csv/EduBat03Handler.java,PASS
cpf-education/src/main/java/com/cpf/education/batch/file/faninout/EduBat19Handler.java,PASS
cpf-education/src/main/java/com/cpf/education/batch/file/secureoutput/EduBat17Handler.java,PASS
cpf-education/src/main/java/com/cpf/education/batch/file/validation/EduBat18Handler.java,PASS
cpf-education/src/main/java/com/cpf/education/batch/flow/conditional/EduBat11Handler.java,PASS
cpf-education/src/main/java/com/cpf/education/batch/incremental/watermark/EduBat16Handler.java,PASS
cpf-education/src/main/java/com/cpf/education/batch/instance/parameter/EduBat14Handler.java,PASS
cpf-education/src/main/java/com/cpf/education/batch/jobpack/recovery/EduBat27Handler.java,PASS
cpf-education/src/main/java/com/cpf/education/batch/jobpack/version/EduBat08Handler.java,PASS
cpf-education/src/main/java/com/cpf/education/batch/lifecycle/stopabandon/EduBat23Handler.java,PASS
cpf-education/src/main/java/com/cpf/education/batch/partition/range/EduBat04Handler.java,PASS
cpf-education/src/main/java/com/cpf/education/batch/partition/rebalance/EduBat25Handler.java,PASS
