docx_path,pdf_path,pages,docx_bytes,pdf_bytes
cpf-docs/deliverables/기술사양서.docx,cpf-docs/deliverables/기술사양서.pdf,4,75701,137440
cpf-docs/deliverables/기술표준서.docx,cpf-docs/deliverables/기술표준서.pdf,4,75218,127125
cpf-docs/deliverables/데이터베이스표준서.docx,cpf-docs/deliverables/데이터베이스표준서.pdf,4,74813,117199
cpf-docs/deliverables/산출물목록.docx,cpf-docs/deliverables/산출물목록.pdf,3,74746,118569
cpf-docs/deliverables/아키텍처설계서.docx,cpf-docs/deliverables/아키텍처설계서.pdf,4,184935,215693
cpf-docs/guides/00_CPF_사용_안내.docx,cpf-docs/guides/00_CPF_사용_안내.pdf,5,185754,242680
cpf-docs/guides/01_개발자_가이드.docx,cpf-docs/guides/01_개발자_가이드.pdf,16,92386,555980
cpf-docs/guides/02_배치_개발_가이드.docx,cpf-docs/guides/02_배치_개발_가이드.pdf,7,81232,261689
cpf-docs/guides/03_ADM_BZA_개발_가이드.docx,cpf-docs/guides/03_ADM_BZA_개발_가이드.pdf,7,82780,242917
cpf-docs/guides/04_운영자_가이드.docx,cpf-docs/guides/04_운영자_가이드.pdf,7,80982,243298
cpf-docs/guides/05_프로젝트_생성_설정_배포_가이드.docx,cpf-docs/guides/05_프로젝트_생성_설정_배포_가이드.pdf,6,75840,201569
cpf-docs/guides/06_외부연계_메시징_파일_가이드.docx,cpf-docs/guides/06_외부연계_메시징_파일_가이드.pdf,6,79720,215856
cpf-docs/guides/07_보안_권한_감사_가이드.docx,cpf-docs/guides/07_보안_권한_감사_가이드.pdf,6,76542,201221
