path,action,role,requirement_ids,reason,deletion_performed
cpf-admin/build.gradle,MODIFY,SOURCE_OR_TEST,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-admin/frontend/src/app/routes.test.ts,MODIFY,SOURCE_OR_TEST,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-admin/frontend/src/app/routes.ts,MODIFY,SOURCE_OR_TEST,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-admin/frontend/src/features/integration-closure/IntegrationClosurePage.vue,ADD_OR_UPSERT,SOURCE_OR_TEST,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-admin/frontend/src/generated/integrationClosureApi.test.ts,ADD_OR_UPSERT,SOURCE_OR_TEST,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-admin/frontend/src/generated/integrationClosureApi.ts,MODIFY,SOURCE_OR_TEST,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-admin/src/main/java/com/cpf/admin/approval/owner/DataQualityCorrectionApprovalOwnerCommandAdapter.java,ADD_OR_UPSERT,SOURCE_OR_TEST,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-admin/src/main/java/com/cpf/admin/config/AdmIntegrationClosureConfiguration.java,ADD_OR_UPSERT,SOURCE_OR_TEST,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-admin/src/main/java/com/cpf/admin/config/AdmIntegrationClosureProperties.java,ADD_OR_UPSERT,SOURCE_OR_TEST,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmIntegrationClosureController.java,MODIFY,SOURCE_OR_TEST,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-admin/src/main/java/com/cpf/admin/opr/integration/AdmIntegrationClosureService.java,MODIFY,SOURCE_OR_TEST,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-admin/src/main/resources/application-adm-dev.yml,MODIFY,CONFIG,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-admin/src/main/resources/application-adm-local.yml,MODIFY,CONFIG,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-admin/src/main/resources/application-adm-prod.yml,MODIFY,CONFIG,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-admin/src/test/java/com/cpf/admin/approval/owner/DataQualityCorrectionApprovalOwnerCommandAdapterTest.java,ADD_OR_UPSERT,SOURCE_OR_TEST,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-admin/src/test/java/com/cpf/admin/config/AdmIntegrationClosureConfigurationTest.java,ADD_OR_UPSERT,SOURCE_OR_TEST,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-admin/src/test/java/com/cpf/admin/opr/integration/AdmIntegrationClosureServiceTest.java,ADD_OR_UPSERT,SOURCE_OR_TEST,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-common/src/main/java/com/cpf/common/data/quality/InMemoryCpfDataQualityOperations.java,MODIFY,SOURCE_OR_TEST,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-common/src/test/java/com/cpf/common/data/quality/InMemoryCpfDataQualityOperationsTest.java,MODIFY,SOURCE_OR_TEST,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-core/src/main/java/com/cpf/core/api/data/quality/CpfDataQualityOperations.java,MODIFY,SOURCE_OR_TEST,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-docs/work/v9i/DATASET_MAP.md,ADD_OR_UPSERT,MANAGEMENT,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-docs/work/v9i/HANDOVER.md,ADD_OR_UPSERT,MANAGEMENT,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-docs/work/v9i/QA_REWORK_REQUEST.md,ADD_OR_UPSERT,MANAGEMENT,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-docs/work/v9i/REPOSITORY_PUSH_REVIEW.md,ADD_OR_UPSERT,MANAGEMENT,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-docs/work/v9i/REVIEW_INDEX.md,ADD_OR_UPSERT,MANAGEMENT,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-docs/work/v9i/evidence/FINAL_INTEGRITY.json,ADD_OR_UPSERT,EVIDENCE,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-docs/work/v9i/evidence/FINAL_MANAGEMENT_STATE.json,ADD_OR_UPSERT,EVIDENCE,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-docs/work/v9i/fdr/r1/CHANGE_MANIFEST.csv,ADD_OR_UPSERT,MANAGEMENT,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-docs/work/v9i/fdr/r1/CODEX_REVIEW_REQUEST.md,ADD_OR_UPSERT,MANAGEMENT,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-docs/work/v9i/fdr/r1/DELETE_MANIFEST.csv,ADD_OR_UPSERT,MANAGEMENT,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-docs/work/v9i/fdr/r1/HANDOVER.md,ADD_OR_UPSERT,MANAGEMENT,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-docs/work/v9i/fdr/r1/INTEGRATION_DELTA.md,ADD_OR_UPSERT,MANAGEMENT,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-docs/work/v9i/fdr/r1/OPEN_ISSUES.md,ADD_OR_UPSERT,MANAGEMENT,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-docs/work/v9i/fdr/r1/PACKAGE_MANIFEST.json,ADD_OR_UPSERT,MANAGEMENT,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-docs/work/v9i/fdr/r1/QA_REWORK_REQUEST.md,ADD_OR_UPSERT,MANAGEMENT,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-docs/work/v9i/fdr/r1/REQUIREMENT_STATUS.csv,ADD_OR_UPSERT,MANAGEMENT,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-docs/work/v9i/fdr/r1/REVIEW_INDEX.md,ADD_OR_UPSERT,MANAGEMENT,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-docs/work/v9i/fdr/r1/SHA256SUMS.txt,ADD_OR_UPSERT,MANAGEMENT,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-docs/work/v9i/fdr/r1/TEST_AND_EVIDENCE.md,ADD_OR_UPSERT,MANAGEMENT,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
cpf-docs/work/v9i/fdr/r1/evidence/FDEV-001.md,ADD_OR_UPSERT,EVIDENCE,FDEV-001~FDEV-025,"Final Development GPT implementation, regression protection, canonical integration, evidence, or package metadata",N
