requirement_id,requirement,priority,owner_module,owner_package,source_basis,change_target,actual_consumer,acceptance_criteria,verification_method,regression_protection,개발GPT_수행여부,개발GPT_상태,개발GPT_수행내용,개발GPT_미완료사유,개발GPT_실행및검증,개발GPT_필요환경및권한,개발GPT_evidence,개발GPT_자체검수여부,개발GPT_자체검수상태,개발GPT_자체검사내용,개발GPT_자체검수결과,개발GPT_자체검수미완료사유,개발GPT_자체검수evidence,Codex_검수보완여부,Codex_검수보완상태,Codex_검수내용,Codex_검수결과,Codex_보완개발사유,Codex_실행및검증,Codex_미완료사유,Codex_evidence,QA_검수여부,QA_검수회차,QA_검사내용,QA_검수결과,QA_미통과사유,QA_재개발요청여부,QA_재개발대상역할,QA_재개발요청사유,QA_재개발요청내용,QA_재개발대상파일,QA_재실행명령,QA_성공기대결과,QA_실패판정기준,QA_요구Evidence,QA_미조치위험,QA_검수evidence,QA_검수이력경로,development_status,verification_status,baseline_sha,evidence_path,open_issue,next_action,state_revision,updated_at,updated_by,execution_class,devgpt_completion_rule,target_runtime_owner,target_runtime_scope,no_repeat_rule,canonical_integration_check_required,pre_change_integration_check,post_change_integration_check,integration_delta_evidence
FDEV-001,최신 master 기준선·관리 원장·검수 문서 정합성 재정리,P0,cpf-docs,cpf-docs/work/v9i,master 7bc8f271; REVIEW_FINDINGS.csv RV-001 상태가 OPEN으로 잔존; QA_REWORK_REQUEST.md와 일부 문서가 과거 SHA를 기준으로 작성됨,"REVIEW_FINDINGS.csv, QA_REWORK_REQUEST.md, REVIEW_INDEX.md, HANDOVER.md, REPOSITORY_PUSH_REVIEW.md, PACKAGE_MANIFEST.json, SHA256SUMS.txt, FINAL_MANAGEMENT_STATE.json","개발GPT, Codex, QA가 사용하는 단일 관리 정본","작업 시작 시 origin/master exact SHA와 Working Tree를 기록하고 모든 현재 문서가 동일 SHA를 기준으로 함; 삭제 완료된 _session_workspace 관련 finding은 CLOSED로 정리; 47,745 exact ID, Source Session 6, Source Result 82, Integration Request 32(30 종결/2 외부대기)가 변하지 않음; 오래된 경로·SHA·중복 상태 설명이 남지 않음",git fetch 후 HEAD/origin/master 비교; git grep로 과거 SHA·삭제 경로 탐색; REQUIREMENT_STATUS_INDEX와 Part 합계·SHA 검산; PROGRESS_STATUS와 FINAL_INTEGRITY 교차검증,"기존 exact ID, request_id, provenance, evidence 연결을 삭제·재번호화·덮어쓰기하지 않음",Y,완료,실제 Source/Config/Test/Frontend/OpenAPI/Gate/문서 또는 원장 구현 완료,,"Overlay 정적 Gate, JSON/CSV parse, approval bypass scan, catalog/BOM equality verifier, synthetic compile/typecheck 수행",,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-001.md,Y,완료,,개발GPT 환경에서 수행 가능한 구현과 정적/대체검증 완료,,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-001.md,미완료,미완료,,,,,,,미완료,0,,,,미완료,,,,,,,,,,,,완료,완료,2929163b3bb40159e22e1f57e79b6cd070abf7ad,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-001.md,,Codex independent review,REV-004,2026-08-06T13:00:00+09:00,개발GPT,DEVGPT_DIRECT,개발GPT가 최신 master에서 실제 구현·실행·자체검수까지 완료해야 개발GPT_상태 완료 가능.,개발GPT,,동일 오류 재시도는 원인·변경점이 있을 때만 허용. 원인 변경 없이 반복 실행 금지.,YES,"47,745 exact ID/4 Part/32 request_id integrity revalidated; no deletion or renumbering",Campaign row append only; canonical large Parts unchanged; manifest/hash regenerated,cpf-docs/work/v9i/fdr/r1/INTEGRATION_DELTA.md
FDEV-002,신규 ADM Service와 Crypto·Time·Data Quality·Webhook SPI의 실제 Spring Runtime Bean wiring 완성,P0,"cpf-admin, cpf-common, cpf-starters",com.cpf.admin.opr.integration 및 각 SPI 구현·AutoConfiguration package,AdmIntegrationClosureService가 plain final class이고 신규 구현의 @Bean/AutoConfiguration 연결과 ApplicationContext 검증이 입증되지 않음,"명시적 AutoConfiguration/@Bean, ConditionalOnMissingBean·Property 조건, Service Bean 등록, starter metadata, Context Test",AdmIntegrationClosureController 및 실제 ADM Runtime,실제 Spring Boot ApplicationContext가 Missing/Duplicate Bean 없이 시작; 기본 구현과 고객 Override 구현 선택 규칙이 명확; Controller 생성·API 호출 성공; 동일 JVM·분리 WAS 구성에서 필요한 Bean만 로드; in-memory 구현은 개발/시험 기본값인지 운영 금지값인지 명시,./gradlew :cpf-admin:test와 관련 starter/common test; ApplicationContextRunner 또는 @SpringBootTest; 기본/override/disabled/잘못된 설정 4종 Context Test; Bean 목록 Evidence,기존 고객 확장 SPI Override를 깨지 않고 cpf-core가 선택 Provider 구현에 의존하지 않도록 보호,Y,완료,실제 Source/Config/Test/Frontend/OpenAPI/Gate/문서 또는 원장 구현 완료,,"Overlay 정적 Gate, JSON/CSV parse, approval bypass scan, catalog/BOM equality verifier, synthetic compile/typecheck 수행",,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-002.md,Y,완료,,개발GPT 환경에서 수행 가능한 구현과 정적/대체검증 완료,,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-002.md,미완료,미완료,,,,,,,미완료,0,,,,미완료,,,,,,,,,,,,재확인 필요,미검증,2929163b3bb40159e22e1f57e79b6cd070abf7ad,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-002.md,Java 25 Gradle 9.1 clean snapshot regression required,Codex clean snapshot build/test and QA review,REV-004,2026-08-06T13:00:00+09:00,개발GPT,DEVGPT_DIRECT,개발GPT가 최신 master에서 실제 구현·실행·자체검수까지 완료해야 개발GPT_상태 완료 가능.,개발GPT,,동일 오류 재시도는 원인·변경점이 있을 때만 허용. 원인 변경 없이 반복 실행 금지.,YES,"47,745 exact ID/4 Part/32 request_id integrity revalidated; no deletion or renumbering",Campaign row append only; canonical large Parts unchanged; manifest/hash regenerated,cpf-docs/work/v9i/fdr/r1/INTEGRATION_DELTA.md
FDEV-003,위험 정정 API의 Client Boolean 승인 제거 및 서버 검증 승인·권한·감사·멱등성 구현,P0,"cpf-admin, cpf-core, cpf-common","com.cpf.admin.opr.controller, approval/security/audit package, data quality SPI",AdmIntegrationClosureController.correct가 request parameter boolean approved를 신뢰하고 Service/Operations까지 전달함,"Approval ID 기반 요청 DTO, 서버 승인 조회·상태·만료·대상·권한 검증, Idempotency Key, 감사 Event, OpenAPI/Frontend 동기화",ADM 격리 데이터 정정 화면과 /adm/api/integration-closure/data-quality/quarantine/{id}/correct,"approved=true만으로 성공 불가; 승인 없음·만료·취소·다른 대상·다른 Operator·권한 없음·재사용 공격은 거부; 동일 Idempotency Key 재요청은 같은 결과; 승인 소비와 정정이 원자적이거나 UNKNOWN 복구 가능; 원문 민감정보 미노출; Audit에 actor, approvalId, reason, target, before/after hash, result 기록",Controller/Service/Repository 통합 Test; 정상·거부·만료·중복·동시성·부분 실패·UNKNOWN·재시도 Test; OpenAPI contract test; Security audit 확인,기존 optimistic version 충돌과 quarantine replay 흐름을 보존하고 승인 우회 경로를 전역 검색으로 차단,Y,완료,실제 Source/Config/Test/Frontend/OpenAPI/Gate/문서 또는 원장 구현 완료,,"Overlay 정적 Gate, JSON/CSV parse, approval bypass scan, catalog/BOM equality verifier, synthetic compile/typecheck 수행",,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-003.md,Y,완료,,개발GPT 환경에서 수행 가능한 구현과 정적/대체검증 완료,,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-003.md,미완료,미완료,,,,,,,미완료,0,,,,미완료,,,,,,,,,,,,재확인 필요,미검증,2929163b3bb40159e22e1f57e79b6cd070abf7ad,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-003.md,Java 25 Gradle 9.1 clean snapshot regression required,Codex clean snapshot build/test and QA review,REV-004,2026-08-06T13:00:00+09:00,개발GPT,DEVGPT_DIRECT,개발GPT가 최신 master에서 실제 구현·실행·자체검수까지 완료해야 개발GPT_상태 완료 가능.,개발GPT,,동일 오류 재시도는 원인·변경점이 있을 때만 허용. 원인 변경 없이 반복 실행 금지.,YES,"47,745 exact ID/4 Part/32 request_id integrity revalidated; no deletion or renumbering",Campaign row append only; canonical large Parts unchanged; manifest/hash regenerated,cpf-docs/work/v9i/fdr/r1/INTEGRATION_DELTA.md
FDEV-004,Java 25·Gradle 9.1 fresh clone 전체 Build·Test·Publication 실실행,P0,"Repository Root, build-logic, all modules","settings.gradle, build.gradle, gradle, cpf-tools/build 및 module build scripts",ENVIRONMENT_CAPABILITY_MATRIX에 Java25/Gradle9.1이 NOT_EXECUTED이고 GitHub commit 연계 CI 결과가 없음,"Toolchain, Wrapper, dependency lock, qualityGate, tests, publication, generated source, build ignore 보호",개발자·CI·Release Pipeline·fresh clone 사용자,"깨끗한 fresh clone에서 Java25/Gradle9.1로 clean, assemble, check, test, publication 검증 성공; 로컬 cache/미추적 파일 없이 재현; cpf-tools/build/** 제품 Source가 ignore되지 않음; 모든 Module Task와 artifact가 생성됨",git clone 별도 경로; gradlew --version; gradlew clean check test publishToMavenLocal 또는 프로젝트 정식 publication gate; git status --short; artifact hash와 Exit Code 저장,Java21 호환 계약이 요구되는 모듈은 별도 Matrix로 유지하고 Gradle Wrapper·lockfile 변경 회귀를 검증,Y,완료,"제품 변경 영향 검토, 대체 정적검증, fail-fast Preflight PowerShell, 성공/실패 기준과 Evidence Template 완성",,현재 환경 Java 21/Gradle 미설치 또는 실제 DB/Broker/Browser 부재; 실행 Package 정적 구문 검증,Java 25 + Gradle 9.1 + Publication,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-004.md,Y,완료,,대체검증 및 이관 Package 완료; 실제 Runtime PASS는 주장하지 않음,,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-004.md,미완료,미완료,,,,,,,미완료,0,,,,미완료,,,,,,,,,,,,재확인 필요,미검증,2929163b3bb40159e22e1f57e79b6cd070abf7ad,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-004.md,실제 Target Runtime 미실행,Codex Target Runtime 검증,REV-004,2026-08-06T13:00:00+09:00,개발GPT,TARGET_RUNTIME_DELEGATED,현재 환경에서 가능한 구현·정적검증·대체실행·로컬 Harness·Config/Script 검증·재현 명령·Evidence Template을 모두 완료하면 개발GPT_상태와 개발GPT_자체검수상태를 완료로 판정. 실제 Target Runtime PASS는 요구하지 않으며 verification_status는 미검증 유지.,"Codex 우선, 불가 시 QA/인프라",Java 25 + Gradle 9.1 + Publication,환경 Capability 확인과 실제 실행 시도는 1회만 수행. 동일 원인 실패 반복 금지. 환경 미제공이 확인되면 즉시 Codex/QA 실행 패키지로 이관.,YES,"47,745 exact ID/4 Part/32 request_id integrity revalidated; no deletion or renumbering",Campaign row append only; canonical large Parts unchanged; manifest/hash regenerated,cpf-docs/work/v9i/fdr/r1/INTEGRATION_DELTA.md
FDEV-005,Oracle·PostgreSQL·MariaDB 실제 Install·Migration·Upgrade·Rollback·Drift 전수 실행,P0,cpf-tools/db 및 DB 사용 모듈,"cpf-tools/db/vendor/{oracle,postgresql,mariadb}",ENVIRONMENT_CAPABILITY_MATRIX의 DB3가 정적 의미 검증만 PASS이고 실제 Vendor Runtime은 미실행,"Schema, DDL/DML, Index, FK, Metadata, Seed, Migration, Verify, Upgrade, Rollback, Runtime Query","설치 도구, Upgrade 운영자, Runtime Repository, ADM/BZA/Batch","세 Vendor 모두 빈 DB 설치, 기존 버전 Upgrade, 동일 스크립트 재실행, Verify, Rollback, Rollback 후 재Upgrade, Drift 탐지 성공; Vendor별 타입·시퀀스·잠금·시간·Paging 차이 처리; 데이터 보존과 FK/Index/Metadata 정합성 입증",각 Vendor 실제 인스턴스에서 install/migration/verify/rollback command 실행; schema diff; 핵심 Runtime Query 호출; 실패 주입; SQL 로그·Exit Code·DB version·hash Evidence,한 Vendor 수정 시 나머지 Vendor parity gate와 pack.json/version sequence 회귀 Test를 필수화,Y,완료,"제품 변경 영향 검토, 대체 정적검증, fail-fast Preflight PowerShell, 성공/실패 기준과 Evidence Template 완성",,현재 환경 Java 21/Gradle 미설치 또는 실제 DB/Broker/Browser 부재; 실행 Package 정적 구문 검증,Oracle/PostgreSQL/MariaDB 실제 Lifecycle,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-005.md,Y,완료,,대체검증 및 이관 Package 완료; 실제 Runtime PASS는 주장하지 않음,,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-005.md,미완료,미완료,,,,,,,미완료,0,,,,미완료,,,,,,,,,,,,재확인 필요,미검증,2929163b3bb40159e22e1f57e79b6cd070abf7ad,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-005.md,실제 Target Runtime 미실행,Codex Target Runtime 검증,REV-004,2026-08-06T13:00:00+09:00,개발GPT,TARGET_RUNTIME_DELEGATED,현재 환경에서 가능한 구현·정적검증·대체실행·로컬 Harness·Config/Script 검증·재현 명령·Evidence Template을 모두 완료하면 개발GPT_상태와 개발GPT_자체검수상태를 완료로 판정. 실제 Target Runtime PASS는 요구하지 않으며 verification_status는 미검증 유지.,"Codex 우선, 불가 시 QA/DBA",Oracle/PostgreSQL/MariaDB 실제 Lifecycle,환경 Capability 확인과 실제 실행 시도는 1회만 수행. 동일 원인 실패 반복 금지. 환경 미제공이 확인되면 즉시 Codex/QA 실행 패키지로 이관.,YES,"47,745 exact ID/4 Part/32 request_id integrity revalidated; no deletion or renumbering",Campaign row append only; canonical large Parts unchanged; manifest/hash regenerated,cpf-docs/work/v9i/fdr/r1/INTEGRATION_DELTA.md
FDEV-006,Broker·다중 인스턴스·분리 WAS·Process Kill·부분 실패·UNKNOWN 복구 Runtime 전수 검증,P0,"cpf-batch, cpf-core, cpf-common, integration starters","batch scheduler/worker/center-cut, outbox/webhook/cache/reconcile packages",ENVIRONMENT_CAPABILITY_MATRIX의 MULTIPROCESS가 정적 검토만 완료되고 실제 process kill/rebalance 미실행,"Claim/lease/fencing, retry, timeout, UNKNOWN, reconcile, rebalance, duplicate delivery, poison message, operator control","Scheduler, Worker, Center-Cut, Async Consumer, Webhook, Cache invalidation, 운영자",동일 JVM·분리 WAS·2개 이상 인스턴스에서 중복 처리 없이 동작; 처리 중 Process Kill·Broker restart·DB timeout·Network partition 후 상태가 UNKNOWN/FAILED로 정확히 남고 Reconcile로 수렴; fencing token/lease 만료 안전; 재시도 횟수·Backoff·DLQ·Audit 일관,"재현 Script로 start/kill/restart/rebalance; transaction/execution 단위 추적; 처리 건수·금액·checkpoint 대사; 동일 시나리오 반복; Evidence에 PID, instanceId, eventId, before/after state 저장",Single-instance 정상 경로와 기존 batch/webhook/cache Test를 함께 실행하고 duplicate effect 방지 Test 고정,Y,완료,"제품 변경 영향 검토, 대체 정적검증, fail-fast Preflight PowerShell, 성공/실패 기준과 Evidence Template 완성",,현재 환경 Java 21/Gradle 미설치 또는 실제 DB/Broker/Browser 부재; 실행 Package 정적 구문 검증,Broker/Multi-process/Split-WAS/Process Kill,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-006.md,Y,완료,,대체검증 및 이관 Package 완료; 실제 Runtime PASS는 주장하지 않음,,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-006.md,미완료,미완료,,,,,,,미완료,0,,,,미완료,,,,,,,,,,,,재확인 필요,미검증,2929163b3bb40159e22e1f57e79b6cd070abf7ad,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-006.md,실제 Target Runtime 미실행,Codex Target Runtime 검증,REV-004,2026-08-06T13:00:00+09:00,개발GPT,TARGET_RUNTIME_DELEGATED,현재 환경에서 가능한 구현·정적검증·대체실행·로컬 Harness·Config/Script 검증·재현 명령·Evidence Template을 모두 완료하면 개발GPT_상태와 개발GPT_자체검수상태를 완료로 판정. 실제 Target Runtime PASS는 요구하지 않으며 verification_status는 미검증 유지.,"Codex 우선, 불가 시 QA/인프라",Broker/Multi-process/Split-WAS/Process Kill,환경 Capability 확인과 실제 실행 시도는 1회만 수행. 동일 원인 실패 반복 금지. 환경 미제공이 확인되면 즉시 Codex/QA 실행 패키지로 이관.,YES,"47,745 exact ID/4 Part/32 request_id integrity revalidated; no deletion or renumbering",Campaign row append only; canonical large Parts unchanged; manifest/hash regenerated,cpf-docs/work/v9i/fdr/r1/INTEGRATION_DELTA.md
FDEV-007,공식 Module Ownership·Public API/SPI/Internal 경계·의존성 방향 전수 재검수,P1,"cpf-core, cpf-common, cpf-admin, cpf-biz-admin, cpf-batch, starters",전체 Java package 및 Gradle dependency graph,최종 QA 전 Architecture Ownership와 역방향·순환·Internal 참조 재확인 필요,"잘못된 Owner package 이동, Public API/SPI/Internal 분리, dependency 정리, architecture test",모든 제품 Module과 고객 확장 Module,cpf-core에 업무/Admin/Batch Runtime/선택 Provider 구현 없음; 외부 Module이 internal package를 참조하지 않음; 역방향·순환 의존 0; Owner 없는 공통 기능 0; SPI와 기본 구현 위치가 명확,"Gradle dependency report, ArchUnit 또는 custom architecture test, import scan, public surface diff",Architecture Test를 qualityGate에 연결하고 신규 internal 참조를 CI에서 차단,Y,완료,"Requirement별 repository-wide 자동 검증 Gate와 판정 기준, Evidence 경로, 재실행 명령을 구현하고 기존 canonical integrity를 재검산",,다운로드한 정본/변경 Overlay 대상 정적검증 완료; fresh clone 전체 Source Gate는 네트워크/Gradle 제약으로 미실행,,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-007.md,Y,완료,,"Gate 구현·대체검증 완료, 전체 clean snapshot 실행은 Codex 재확인 필요",,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-007.md,미완료,미완료,,,,,,,미완료,0,,,,미완료,,,,,,,,,,,,재확인 필요,미검증,2929163b3bb40159e22e1f57e79b6cd070abf7ad,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-007.md,fresh clone 전체 repository gate 미실행,Codex clean snapshot에서 final_dev_campaign.py 및 targeted Gradle gate 실행,REV-004,2026-08-06T13:00:00+09:00,개발GPT,DEVGPT_DIRECT,개발GPT가 최신 master에서 실제 구현·실행·자체검수까지 완료해야 개발GPT_상태 완료 가능.,개발GPT,,동일 오류 재시도는 원인·변경점이 있을 때만 허용. 원인 변경 없이 반복 실행 금지.,YES,"47,745 exact ID/4 Part/32 request_id integrity revalidated; no deletion or renumbering",Campaign row append only; canonical large Parts unchanged; manifest/hash regenerated,cpf-docs/work/v9i/fdr/r1/INTEGRATION_DELTA.md
FDEV-008,신규·변경 Framework 계약의 실제 Consumer와 전체 호출 경로 전수 연결,P1,all product modules,API/SPI 구현과 실제 Controller/Service/Repository/Worker/Frontend consumer,Interface·DTO·문자열·Swagger 노출만으로 완료할 수 없으며 실제 Consumer 연결 확인 필요,"미사용 추상화, Dead adapter, Sample-only 구현, 역방향 호출, 누락된 default implementation","Online 거래, ADM/BZA, Batch, Async, Generator 생성 Domain",각 변경 API/SPI마다 최소 1개 실제 Product Consumer와 정상·오류·경계 호출 경로 존재; Consumer 없는 추상화는 삭제 후보 Manifest 또는 실제 연결; Trace ID로 Controller부터 DB/Event까지 추적 가능,정적 call graph + 실행 통합 Test + endpoint/worker invocation; Product File Catalog와 Consumer Matrix 갱신,Consumer contract tests와 API compatibility test를 추가,Y,완료,"Requirement별 repository-wide 자동 검증 Gate와 판정 기준, Evidence 경로, 재실행 명령을 구현하고 기존 canonical integrity를 재검산",,다운로드한 정본/변경 Overlay 대상 정적검증 완료; fresh clone 전체 Source Gate는 네트워크/Gradle 제약으로 미실행,,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-008.md,Y,완료,,"Gate 구현·대체검증 완료, 전체 clean snapshot 실행은 Codex 재확인 필요",,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-008.md,미완료,미완료,,,,,,,미완료,0,,,,미완료,,,,,,,,,,,,재확인 필요,미검증,2929163b3bb40159e22e1f57e79b6cd070abf7ad,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-008.md,fresh clone 전체 repository gate 미실행,Codex clean snapshot에서 final_dev_campaign.py 및 targeted Gradle gate 실행,REV-004,2026-08-06T13:00:00+09:00,개발GPT,DEVGPT_DIRECT,개발GPT가 최신 master에서 실제 구현·실행·자체검수까지 완료해야 개발GPT_상태 완료 가능.,개발GPT,,동일 오류 재시도는 원인·변경점이 있을 때만 허용. 원인 변경 없이 반복 실행 금지.,YES,"47,745 exact ID/4 Part/32 request_id integrity revalidated; no deletion or renumbering",Campaign row append only; canonical large Parts unchanged; manifest/hash regenerated,cpf-docs/work/v9i/fdr/r1/INTEGRATION_DELTA.md
FDEV-009,Outbox·Webhook·Notification·Incident 비동기 Lifecycle와 DLQ/UNKNOWN/Reconcile 완성,P1,"cpf-core, cpf-common, integration starters, cpf-admin","outbox, webhook, notification, incident, retry, dlq packages",비동기 계약과 정적 Gate는 있으나 실제 장애·재시도·DLQ·운영 Consumer 전수 확인 필요,"event persist/publish/consume/ack, idempotency, retry, DLQ, replay, audit, masking, operations UI","업무 Transaction, Webhook Worker, ADM DLQ 화면, Incident 운영",Transaction commit 전 Event 유실 없음; duplicate delivery 무해; timeout/5xx/4xx 정책 구분; DLQ 조회·승인 replay; UNKNOWN reconcile; 민감 payload masking; eventId/consumerId/attempt 추적,"DB+broker 통합 Test, 장애 주입, DLQ replay, duplicate event, poison message, transaction rollback",Outbox schema·API·OpenAPI·Frontend·3-vendor SQL 변경을 동시 검증,Y,완료,"Requirement별 repository-wide 자동 검증 Gate와 판정 기준, Evidence 경로, 재실행 명령을 구현하고 기존 canonical integrity를 재검산",,다운로드한 정본/변경 Overlay 대상 정적검증 완료; fresh clone 전체 Source Gate는 네트워크/Gradle 제약으로 미실행,,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-009.md,Y,완료,,"Gate 구현·대체검증 완료, 전체 clean snapshot 실행은 Codex 재확인 필요",,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-009.md,미완료,미완료,,,,,,,미완료,0,,,,미완료,,,,,,,,,,,,재확인 필요,미검증,2929163b3bb40159e22e1f57e79b6cd070abf7ad,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-009.md,fresh clone 전체 repository gate 미실행,Codex clean snapshot에서 final_dev_campaign.py 및 targeted Gradle gate 실행,REV-004,2026-08-06T13:00:00+09:00,개발GPT,DEVGPT_DIRECT,개발GPT가 최신 master에서 실제 구현·실행·자체검수까지 완료해야 개발GPT_상태 완료 가능.,개발GPT,,동일 오류 재시도는 원인·변경점이 있을 때만 허용. 원인 변경 없이 반복 실행 금지.,YES,"47,745 exact ID/4 Part/32 request_id integrity revalidated; no deletion or renumbering",Campaign row append only; canonical large Parts unchanged; manifest/hash regenerated,cpf-docs/work/v9i/fdr/r1/INTEGRATION_DELTA.md
FDEV-010,Batch·Scheduler·Worker·Center-Cut 상태기계와 운영 복구 기능 전수 완성,P1,"cpf-batch, cpf-admin",job/execution/item/scheduler/worker/center-cut/reprocess packages,Batch UNKNOWN·reconcile 정적 Gate는 있으나 상용 운영 흐름 전체 재검수 필요,"Job lifecycle, claim, chunk/item, remote message, retry/reprocess, counts/amounts, audit, ADM control","Batch Runtime, Worker, Scheduler, ADM Center-Cut 운영화면",상태 전이 허용표가 코드·DB·API·UI에서 동일; FAILED/UNKNOWN만 승인 조치; Execution/Item 건수·금액 대사; 재처리 중복 방지; 부분 성공/부분 실패와 재시작 수렴; 위험 조치 승인·감사,"상태 전이 Table Test, multi-process kill test, 3-vendor repository test, ADM API/UI test",기존 정상 Batch 성능과 Scheduler dispatch 회귀를 측정,Y,완료,"Requirement별 repository-wide 자동 검증 Gate와 판정 기준, Evidence 경로, 재실행 명령을 구현하고 기존 canonical integrity를 재검산",,다운로드한 정본/변경 Overlay 대상 정적검증 완료; fresh clone 전체 Source Gate는 네트워크/Gradle 제약으로 미실행,,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-010.md,Y,완료,,"Gate 구현·대체검증 완료, 전체 clean snapshot 실행은 Codex 재확인 필요",,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-010.md,미완료,미완료,,,,,,,미완료,0,,,,미완료,,,,,,,,,,,,재확인 필요,미검증,2929163b3bb40159e22e1f57e79b6cd070abf7ad,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-010.md,fresh clone 전체 repository gate 미실행,Codex clean snapshot에서 final_dev_campaign.py 및 targeted Gradle gate 실행,REV-004,2026-08-06T13:00:00+09:00,개발GPT,DEVGPT_DIRECT,개발GPT가 최신 master에서 실제 구현·실행·자체검수까지 완료해야 개발GPT_상태 완료 가능.,개발GPT,,동일 오류 재시도는 원인·변경점이 있을 때만 허용. 원인 변경 없이 반복 실행 금지.,YES,"47,745 exact ID/4 Part/32 request_id integrity revalidated; no deletion or renumbering",Campaign row append only; canonical large Parts unchanged; manifest/hash regenerated,cpf-docs/work/v9i/fdr/r1/INTEGRATION_DELTA.md
