path,classification,owner,change_type,size_bytes,sha256,requirement_scope,baseline_sha,note
.github/workflows/cpf-qa37-source-closure.yml,CI,.github,ADD_OR_REPLACE,1681,63cfe63890a1175d1fd5d46f161a8182300c869583dd6c24d0831b93bc7b1416,QA37|SELF|EDU32|MANUAL135,1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04,
build.gradle,BUILD_SOURCE,repository-build,ADD_OR_REPLACE,102590,6bed57be3b1103d1e98444988e2097be7be7010c7d80f3c3fb0d8f276282d589,QA37|SELF|EDU32|MANUAL135,1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04,
cpf-admin/frontend/.node-version,FRONTEND,cpf-admin,ADD_OR_REPLACE,8,8fb7215a78fb2dacb282d6fca135a48bd69892ad6560efa3c5a9c12b0200ac7c,QA37|SELF|EDU32|MANUAL135,1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04,
cpf-admin/frontend/.npmrc,FRONTEND,cpf-admin,ADD_OR_REPLACE,180,af9b0aedcd0df151971f886f7451216df7e17abe8a81c648b8f1511a7c7596cc,QA37|SELF|EDU32|MANUAL135,1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04,
cpf-admin/frontend/.nvmrc,FRONTEND,cpf-admin,ADD_OR_REPLACE,8,8fb7215a78fb2dacb282d6fca135a48bd69892ad6560efa3c5a9c12b0200ac7c,QA37|SELF|EDU32|MANUAL135,1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04,
cpf-admin/frontend/package-lock.json,FRONTEND,cpf-admin,ADD_OR_REPLACE,408252,6a1490415efc576b4b92a1c289f5da448f65bb7b742f256fd8fdab8936c93ce4,QA37|SELF|EDU32|MANUAL135,1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04,
cpf-admin/frontend/package.json,FRONTEND,cpf-admin,ADD_OR_REPLACE,2374,16e45527e08fe79f467a596a593bbfb2bf95a804aa6ae0224cc45378ba7d563d,QA37|SELF|EDU32|MANUAL135,1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04,
cpf-admin/frontend/scripts/test-openapi-lifecycle.mjs,FRONTEND,cpf-admin,ADD_OR_REPLACE,1336,568c5aaabfc70ac70fefea437b37702c49d123b7a54b8527e22f59329846aa49,QA37|SELF|EDU32|MANUAL135,1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04,
cpf-admin/frontend/scripts/validate-openapi.mjs,FRONTEND,cpf-admin,ADD_OR_REPLACE,4496,8d7cef76675d11835cf7a4d52fee9c72b783377b3930a28683d84680a67d3ae6,QA37|SELF|EDU32|MANUAL135,1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04,
cpf-biz-admin/frontend/.node-version,FRONTEND,cpf-biz-admin,ADD_OR_REPLACE,8,8fb7215a78fb2dacb282d6fca135a48bd69892ad6560efa3c5a9c12b0200ac7c,QA37|SELF|EDU32|MANUAL135,1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04,
