path,status,size,sha256,area
cpf-docs/quality/CPF_20260802_QA37_CODEX_DOCKER_COMPLETION_MATRIX.csv,added,1207,c034e825cfebad5cbdc67b9be4567528d7a2ec2912ded1f1fecd455b80715873,governance-evidence
cpf-docs/work/codex/qa37/CPF_CODEX_QA37_FINAL_INDEPENDENT_VERIFICATION_REQUEST.md,modified,21131,8205e10206f130b763bce26341f7425cb91499fc1d42dd49b9b02de11a0d0e1e,codex-request
cpf-docs/work/codex/qa37/REVIEW_INDEX.md,modified,1579,d404668ae7cca604eccdad885198f0294f52cf38254f5c08c78a5155b1ee4623,codex-request
cpf-docs/work/codex/qa37/TEST_AND_EVIDENCE.md,modified,1284,0d3cafaa49f59de72c1ef74375a7a4036505ff0d38762e701c134daadd39c602,codex-request
cpf-docs/work/continuity/CPF_20260802_QA37_CODEX_DOCKER_COMPLETION_CONTINUITY.md,added,801,6342dfbfa1ac23012f5a1227ce2bcba15bdb609e10bfc4271a4de1c3cb31f67d,governance-evidence
cpf-docs/work/current/CPF_20260802_QA37_CODEX_DOCKER_COMPLETION_REPORT.md,added,740,7bbe380fd9813b0d4f8eafb1d253d640802b9d4f4f264177e3c6b29f3bc94094,governance-evidence
cpf-docs/work/current/CPF_20260802_QA37_CODEX_DOCKER_COMPLETION_REQUIREMENTS.md,added,1593,b8e6f3c27fd0b675ac1191cbdd78584cd6d623505a4c5f0df2dd0b34a0bdff53,governance-evidence
cpf-docs/work/handover/CPF_20260802_QA37_CODEX_DOCKER_COMPLETION_HANDOVER.md,added,857,0d162e7b51b0814f658855619cd761a5473b8e53eea225c8f3835db7ccca6c2a,governance-evidence
cpf-docs/work/manifest/CPF_20260802_QA37_CODEX_DOCKER_COMPLETION_DELETE_MANIFEST.txt,added,280,a8a2924dcbdffcb3a913704d289ad3fb4e645caf9db6604c7afd9d5a3fe3d59f,governance-evidence
cpf-docs/work/review/CPF_20260802_QA37_CODEX_DOCKER_COMPLETION_POST_REVIEW.md,added,1111,33cd46727ec9abab314a8b89d6a4b313fd50472073d3024e7d1c4a43c31d561c,governance-evidence
cpf-docs/work/review/CPF_20260802_QA37_CODEX_DOCKER_COMPLETION_PRE_REVIEW.md,added,2186,e531f7a2f91884fb6c8d5bf7707c6980c4366651187179aea4b9036989dd798c,governance-evidence
