path,action,category,purpose
.github/workflows/cpf-qa39-final-required.yml,ADD_OR_REPLACE,CI_REQUIRED_GATE,QA39 final canonical implementation or evidence
CPF_QA39_FINAL_CLEANUP.ps1,ADD_OR_REPLACE,ROOT_BUILD_CATALOG,QA39 final canonical implementation or evidence
build.gradle,ADD_OR_REPLACE,ROOT_BUILD_CATALOG,QA39 final canonical implementation or evidence
cpf-admin/frontend/openapi/cpf-openapi.json,ADD_OR_REPLACE,ADM_BACKEND_FRONTEND_OPENAPI,QA39 final canonical implementation or evidence
cpf-admin/frontend/src/app/routes.ts,ADD_OR_REPLACE,ADM_BACKEND_FRONTEND_OPENAPI,QA39 final canonical implementation or evidence
cpf-admin/frontend/src/features/feature-flags/FeatureFlagsPage.test.ts,ADD_OR_REPLACE,ADM_BACKEND_FRONTEND_OPENAPI,QA39 final canonical implementation or evidence
cpf-admin/frontend/src/features/feature-flags/FeatureFlagsPage.vue,ADD_OR_REPLACE,ADM_BACKEND_FRONTEND_OPENAPI,QA39 final canonical implementation or evidence
cpf-admin/frontend/src/features/resilience-policies/ResiliencePoliciesPage.test.ts,ADD_OR_REPLACE,ADM_BACKEND_FRONTEND_OPENAPI,QA39 final canonical implementation or evidence
cpf-admin/frontend/src/features/resilience-policies/ResiliencePoliciesPage.vue,ADD_OR_REPLACE,ADM_BACKEND_FRONTEND_OPENAPI,QA39 final canonical implementation or evidence
cpf-admin/frontend/src/generated/.cpf-openapi-source.json,ADD_OR_REPLACE,ADM_BACKEND_FRONTEND_OPENAPI,QA39 final canonical implementation or evidence
cpf-admin/frontend/src/generated/adm-route-operation-contract.ts,ADD_OR_REPLACE,ADM_BACKEND_FRONTEND_OPENAPI,QA39 final canonical implementation or evidence
cpf-admin/frontend/src/generated/cpf-api.ts,ADD_OR_REPLACE,ADM_BACKEND_FRONTEND_OPENAPI,QA39 final canonical implementation or evidence
cpf-admin/frontend/src/generated/cpf-operation-contract.ts,ADD_OR_REPLACE,ADM_BACKEND_FRONTEND_OPENAPI,QA39 final canonical implementation or evidence
cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmFeatureFlagController.java,ADD_OR_REPLACE,ADM_BACKEND_FRONTEND_OPENAPI,QA39 final canonical implementation or evidence
cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmResiliencePolicyController.java,ADD_OR_REPLACE,ADM_BACKEND_FRONTEND_OPENAPI,QA39 final canonical implementation or evidence
cpf-batch/scheduler/build.gradle,ADD_OR_REPLACE,BATCH_RUNTIME,QA39 final canonical implementation or evidence
cpf-batch/worker/build.gradle,ADD_OR_REPLACE,BATCH_RUNTIME,QA39 final canonical implementation or evidence
cpf-batch/worker/src/main/java/com/cpf/batch/worker/CpfBatchWorkerIdentity.java,ADD_OR_REPLACE,BATCH_RUNTIME,QA39 final canonical implementation or evidence
cpf-batch/worker/src/main/java/com/cpf/batch/worker/SpringBatchWorkerRuntimeState.java,ADD_OR_REPLACE,BATCH_RUNTIME,QA39 final canonical implementation or evidence
