path,sha256,size
cpf-admin/src/main/java/com/cpf/admin/opr/gateway/AdmGatewayOperationsStreamController.java,8cc9ebeff8110bf8674be7776cdb1dd16620c29c35a05e63745950903755fed4,4738
cpf-docs/evidence/20260801_02/CPF_20260801_02_ENVIRONMENT_BLOCKER.sanitized.json,f8baac575b61db03b90c48335a16f2adbaa1de65613223d54fef50bfcb38589a,462
cpf-docs/evidence/20260801_02/CPF_20260801_02_WINDOWS_VALIDATION_REMEDIATION.sanitized.json,14021273a6a914647e9284a71795339aca528bfe8786c91bd3237adfe2cb50de,1605
cpf-docs/quality/CPF_20260801_02_WINDOWS_VALIDATION_REMEDIATION_RESULTS.csv,afe815aaca76230d6db51b1c67c10a87c6ed7133207a1c900600cf1b2793f1f5,936
cpf-docs/work/current/CPF_20260801_02_WINDOWS_VALIDATION_REMEDIATION_REPORT.md,9b4f016c8d26ea9c54e2c6700231b1bb981224bff21b6164f010fc432d828c2d,1126
cpf-docs/work/current/CPF_CODEX_20260801_02_WINDOWS_VALIDATION_REMEDIATION_REQUEST.md,c1054ac30c41e0b79b98d141165e13e4e17513e24625f993f12373b58985078c,827
cpf-docs/work/handover/CPF_20260801_02_WINDOWS_VALIDATION_REMEDIATION_HANDOVER.md,29ca870350f1001c20e58223fb32e497292fcf30a7a83f3650d8f114715aaee7,967
cpf-docs/work/manifest/CPF_20260801_02_CHANGED_FILES.txt,db8cff237f894cfa820ffa29d7cae793e4841cf477d663642cb43c1736d90ed2,1992
cpf-docs/work/manifest/CPF_20260801_02_DELETE_MANIFEST.txt,d0c2f0a0cf590c2bcbcd59c9088aef105df6a353c6337c0fdb1a3ba542a2d4f1,23
cpf-docs/work/manifest/CPF_20260801_02_ROOT_OVERLAY_MANIFEST.json,cac9c2ff092cbac44e8d63883a3bfb320331133e33686dc33ad8bba6886b802d,304
cpf-tools/scripts/tests/test_cpf_project_inventory.py,d15fb7476aa1051071a2067115c4b58a5fcffba835999643f662676bc7dad19f,4443
cpf-tools/scripts/tests/test_invoke_cpf_final_verification_plan.py,dcd69e4587b91dc20d0543a895dd415f6b8ab0344abb5a8d6d557a0b1db43789,3039
cpf-tools/scripts/tests/test_verify_cpf_adm_e2e_contract.py,296909f810a0a765177d065684176d8baaccb315a5c2c9529dca1df2cec2c582,1151
cpf-tools/scripts/tests/test_verify_cpf_approved_baseline_metadata.py,f9b529831774fc7f36bc1100cc774060041474a9f7e3da1f3a049d3a6b0c9701,3111
cpf-tools/scripts/tests/test_verify_cpf_audit_fail_closed.py,54d49fd8d2edd1b8d78ca5d0bc8d1777a52cf3791eafcec6c932fb565ab837cb,1555
cpf-tools/scripts/tests/test_verify_cpf_bza_route_contract.py,3442f1bd127dda3ebf303e98eb998c3c3a74676362e17812dff1f9e25c22be88,981
cpf-tools/scripts/tests/test_verify_cpf_calendar_contract.py,20e061395be452c3f6116f8d598cfe726abd5880b442f088d9b085cf76a7d12f,2438
cpf-tools/scripts/tests/test_verify_cpf_controller_permission_contract.py,ffb9312c3486d490fa06aadd4fd96d5a4dc6ff6ac353a338465ff9541e510f76,4222
cpf-tools/scripts/tests/test_verify_cpf_db_less_fail_closed.py,b9573a09504ec66dc241d5a5548a7b2f9953d58ed934a2b7c956e40349d52d46,2361
cpf-tools/scripts/tests/test_verify_cpf_db_lifecycle_contract.py,9bedd00a757a5eff4e1ce367fe7bb5c8a78355e12ef6eb13ec96d316baddd01a,3250
cpf-tools/scripts/tests/test_verify_cpf_edu_executable_coverage.py,631d7a9de6bc56062d4f14d9399c5d0d509679c4cad7aa692d10e8b5646d7f69,4655
cpf-tools/scripts/tests/test_verify_cpf_edu_profile_isolation.py,7f864d06bc5fc221bf9c5cac7076bba5f4768efa67284cda3ee1e73088d158ab,1618
cpf-tools/scripts/tests/test_verify_cpf_evidence_semantics.py,c26580b64f4c33a7ae566bcb2d8881f367d1297421bc719fb658070219f195e5,2288
cpf-tools/scripts/tests/test_verify_cpf_generator_lifecycle.py,26629a8a02c72da777eca4b27ce4fba3df0c6ffef3b083104e64b3717147cc53,5563
cpf-tools/scripts/tests/test_verify_cpf_network_policy_consumers.py,d101f60c72e6a85effaf551121b1c676fbca685a3ada3617df946cce82b792c9,1683
cpf-tools/scripts/tests/test_verify_cpf_openapi_controller_coverage.py,4d21b2289f3005bbd6f1dbde9d61b665ae67c31d3b09913f652fdee7df2847c7,2126
cpf-tools/scripts/tests/test_verify_cpf_operator_trust_boundary.py,0d7ba78defa32094971a2d1ce4e6e1a8dcdc60ab9e2ea268e9b990ffcd8ba183,4019
cpf-tools/scripts/tests/test_verify_cpf_supply_chain.py,917a7a7e7bae01c6b37e789e09cdfbb539dc8d8caa2a819b3bf4eee878c35c0c,5192
cpf-tools/scripts/verify-cpf-generator-java-template-compile.py,7667c3f6208a64ecf1f74ad4d7af597b0d0afc9d15530b57f163270cc49fda1c,6900
