path,change_type,purpose,owner,impact
cpf-docs/quality/CPF_QA38_CORE_TO_STARTER_FINAL_REVIEW.csv,ADD_OR_REPLACE,Final matrices,QA,Protected paths excluded; no product Source implementation
cpf-docs/quality/CPF_QA38_FINAL_REQUIREMENT_MATRIX.csv,ADD_OR_REPLACE,Final matrices,QA,Protected paths excluded; no product Source implementation
cpf-docs/quality/CPF_QA38_FINAL_SCENARIO_MATRIX.csv,ADD_OR_REPLACE,Final matrices,QA,Protected paths excluded; no product Source implementation
cpf-docs/quality/CPF_QA38_REQUIREMENT_COVERAGE_RECONCILIATION.csv,ADD_OR_REPLACE,Final matrices,QA,Protected paths excluded; no product Source implementation
cpf-docs/quality/CPF_QA38_STARTER_CAPABILITY_CATALOG.csv,ADD_OR_REPLACE,Final matrices,QA,Protected paths excluded; no product Source implementation
cpf-docs/work/codex/qa38/CODEX_START_HERE.md,ADD_OR_REPLACE,Codex package,QA,Protected paths excluded; no product Source implementation
cpf-docs/work/codex/qa38/CPF_CODEX_QA38_VERIFICATION_REMEDIATION_REQUEST.md,ADD_OR_REPLACE,Codex package,QA,Protected paths excluded; no product Source implementation
cpf-docs/work/codex/qa38/OPEN_ISSUES.md,ADD_OR_REPLACE,Codex package,QA,Protected paths excluded; no product Source implementation
cpf-docs/work/codex/qa38/PACKAGE_MANIFEST.json,ADD_OR_REPLACE,Codex package,QA,Protected paths excluded; no product Source implementation
cpf-docs/work/codex/qa38/REQUIREMENT_STATUS.csv,ADD_OR_REPLACE,Codex package,QA,Protected paths excluded; no product Source implementation
cpf-docs/work/codex/qa38/REVIEW_INDEX.md,ADD_OR_REPLACE,Codex package,QA,Protected paths excluded; no product Source implementation
cpf-docs/work/codex/qa38/STAGE_PLAN.csv,ADD_OR_REPLACE,Codex package,QA,Protected paths excluded; no product Source implementation
cpf-docs/work/codex/qa38/TEST_AND_EVIDENCE.md,ADD_OR_REPLACE,Codex package,QA,Protected paths excluded; no product Source implementation
cpf-docs/work/current/CPF_CURRENT_WORK_REQUEST.md,ADD_OR_REPLACE,Final current request,QA,Protected paths excluded; no product Source implementation
cpf-docs/work/current/CPF_QA38_FINAL_DEVELOPMENT_REQUIREMENTS.md,ADD_OR_REPLACE,Final current request,QA,Protected paths excluded; no product Source implementation
cpf-docs/work/current/CPF_QA38_PROTECTED_OWNER_ACTIONS.md,ADD_OR_REPLACE,Final current request,QA,Protected paths excluded; no product Source implementation
cpf-docs/work/current/CPF_QA38_SELF_DEVELOPED_REQUIREMENTS.csv,ADD_OR_REPLACE,Final current request,QA,Protected paths excluded; no product Source implementation
cpf-docs/work/handover/CPF_QA38_HANDOVER.md,ADD_OR_REPLACE,Handover,QA,Protected paths excluded; no product Source implementation
cpf-docs/work/history/CPF_QA37_TO_QA38_CONSOLIDATED_HISTORY.md,ADD_OR_REPLACE,Consolidated history,QA,Protected paths excluded; no product Source implementation
cpf-docs/work/manifest/CPF_QA38_DELETE_MANIFEST.csv,ADD_OR_REPLACE,Manifests,QA/Tooling,Protected paths excluded; no product Source implementation
cpf-docs/work/manifest/CPF_QA38_DELETE_REVIEW.csv,ADD_OR_REPLACE,Manifests,QA/Tooling,Protected paths excluded; no product Source implementation
cpf-docs/work/manifest/CPF_QA38_PROTECTED_PATHS.txt,ADD_OR_REPLACE,Manifests,QA/Tooling,Protected paths excluded; no product Source implementation
cpf-docs/work/manifest/CPF_QA38_SHARED_PATH_POLICY.csv,ADD_OR_REPLACE,Manifests,QA/Tooling,Protected paths excluded; no product Source implementation
cpf-docs/work/review/CPF_QA38_POST_PACKAGE_REVIEW.md,ADD_OR_REPLACE,Essential reviews,QA/Architecture,Protected paths excluded; no product Source implementation
cpf-docs/work/review/CPF_QA38_PRE_DEVELOPMENT_REVIEW.md,ADD_OR_REPLACE,Essential reviews,QA/Architecture,Protected paths excluded; no product Source implementation
cpf-docs/work/review/CPF_QA38_STARTER_INDEPENDENT_REVIEW.md,ADD_OR_REPLACE,Essential reviews,QA/Architecture,Protected paths excluded; no product Source implementation
cpf-docs/work/state/CPF_CODEX_CONTINUITY_STATE.md,REPLACE_WITH_ARCHIVE,Current state,QA,Protected paths excluded; no product Source implementation
cpf-docs/work/state/CPF_CODEX_DECISION_LOG.md,REPLACE_WITH_ARCHIVE,Current state,QA,Protected paths excluded; no product Source implementation
cpf-tools/scripts/apply-cpf-qa38-final-currentization.ps1,ADD_OR_REPLACE,Apply/cleanup script,Tooling,Protected paths excluded; no product Source implementation
