delete_path,kind,replacement_path,owner,reason,status
cpf-common/src/main/java/com/cpf/common/cache/CpfCacheAutoConfiguration.java,SOURCE,cpf-starters/cache/src/main/java/com/cpf/starter/cache/CpfCacheAutoConfiguration.java,cache,Starter capability owner로 실제 구현/검증을 이관하여 Legacy Core/Common 경로 제거,DELETE_ON_APPLY
cpf-common/src/main/java/com/cpf/common/cache/CpfCacheInvalidationCoordinator.java,SOURCE,cpf-starters/cache-valkey/src/main/java/com/cpf/common/cache/CpfCacheInvalidationCoordinator.java,cache-valkey,Starter capability owner로 실제 구현/검증을 이관하여 Legacy Core/Common 경로 제거,DELETE_ON_APPLY
cpf-common/src/main/java/com/cpf/common/cache/CpfJdbcCacheInvalidationStore.java,SOURCE,cpf-starters/cache-valkey/src/main/java/com/cpf/common/cache/CpfJdbcCacheInvalidationStore.java,cache-valkey,Starter capability owner로 실제 구현/검증을 이관하여 Legacy Core/Common 경로 제거,DELETE_ON_APPLY
cpf-common/src/main/java/com/cpf/common/cache/CpfLocalCacheProvider.java,SOURCE,cpf-starters/cache/src/main/java/com/cpf/common/cache/CpfLocalCacheProvider.java,cache,Starter capability owner로 실제 구현/검증을 이관하여 Legacy Core/Common 경로 제거,DELETE_ON_APPLY
cpf-common/src/main/java/com/cpf/common/cache/CpfRedisCacheProvider.java,SOURCE,cpf-starters/cache-valkey/src/main/java/com/cpf/common/cache/CpfRedisCacheProvider.java,cache-valkey,Starter capability owner로 실제 구현/검증을 이관하여 Legacy Core/Common 경로 제거,DELETE_ON_APPLY
cpf-common/src/main/java/com/cpf/common/cache/CpfRedisConnectionFactoryBuilder.java,SOURCE,cpf-starters/cache-valkey/src/main/java/com/cpf/common/cache/CpfRedisConnectionFactoryBuilder.java,cache-valkey,Starter capability owner로 실제 구현/검증을 이관하여 Legacy Core/Common 경로 제거,DELETE_ON_APPLY
cpf-common/src/main/java/com/cpf/common/cache/CpfRedisProperties.java,SOURCE,cpf-starters/cache-valkey/src/main/java/com/cpf/common/cache/CpfRedisProperties.java,cache-valkey,Starter capability owner로 실제 구현/검증을 이관하여 Legacy Core/Common 경로 제거,DELETE_ON_APPLY
cpf-common/src/main/java/com/cpf/common/config/CacheConfig.java,SOURCE,cpf-starters/cache/src/main/java/com/cpf/common/config/CacheConfig.java,cache,Starter capability owner로 실제 구현/검증을 이관하여 Legacy Core/Common 경로 제거,DELETE_ON_APPLY
cpf-common/src/main/java/com/cpf/common/config/CmnDataSourceConfig.java,SOURCE,cpf-starters/persistence-jdbc/src/main/java/com/cpf/common/config/CmnDataSourceConfig.java,persistence-jdbc,Starter capability owner로 실제 구현/검증을 이관하여 Legacy Core/Common 경로 제거,DELETE_ON_APPLY
cpf-common/src/main/java/com/cpf/common/config/CmnMyBatisConfig.java,SOURCE,cpf-starters/persistence-mybatis/src/main/java/com/cpf/common/config/CmnMyBatisConfig.java,persistence-mybatis,Starter capability owner로 실제 구현/검증을 이관하여 Legacy Core/Common 경로 제거,DELETE_ON_APPLY
