path,change_type,requirement_ids,reason,sha256
cpf-admin/frontend/openapi/cpf-openapi.json,MODIFY,CPF-FR-004393..CPF-FR-004453,QA-12B R5 cumulative checkpoint and EVENT-DLQ direct patch,21cbd0f0db26663eff17976b8e6db089d00a1c22b5703b7d7d7efad4684e42ca
cpf-admin/frontend/src/generated/.cpf-openapi-source.json,MODIFY,CPF-FR-004393..CPF-FR-004453,QA-12B R5 cumulative checkpoint and EVENT-DLQ direct patch,60773fb43d21a9b8ee50e0dd4b023a32314714d444fff0044ff0258c46f372b0
cpf-admin/frontend/src/generated/orval/cpf-api.ts,MODIFY,CPF-FR-004393..CPF-FR-004453,QA-12B R5 cumulative checkpoint and EVENT-DLQ direct patch,ab54d9c35508d48a2e256fba1eff6a33e8c23f93e1d715385b4addc6c3e7236f
cpf-admin/frontend/src/generated/orval/model/admReliabilityActionRequest.ts,MODIFY,CPF-FR-004393..CPF-FR-004453,QA-12B R5 cumulative checkpoint and EVENT-DLQ direct patch,b312d47209aacd20f7cdc80a2b8e8fe327b23c851564566274e91f20458a6f85
cpf-admin/frontend/src/generated/orval/model/index.ts,MODIFY,CPF-FR-004393..CPF-FR-004453,QA-12B R5 cumulative checkpoint and EVENT-DLQ direct patch,b12bac60f8eb89cf4dba259671565764fd7ec1b8dafc8bc20f394e16f780877a
cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/EVENT_BROKER_BEFORE_FAILURE.txt,ADD,,QA-12B R5 cumulative checkpoint and EVENT-DLQ direct patch,1a2542864da87fe2ea1d281280adc2356629abd99618f957d0236e69fda107f3
cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/EVENT_BROKER_CONTROLLER_COMPILE.txt,ADD,,QA-12B R5 cumulative checkpoint and EVENT-DLQ direct patch,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/EVENT_BROKER_CONTROLLER_RUN.txt,ADD,,QA-12B R5 cumulative checkpoint and EVENT-DLQ direct patch,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/EVENT_BROKER_PATCH.diff,ADD,,QA-12B R5 cumulative checkpoint and EVENT-DLQ direct patch,ab09655c64319c741870b0588aec5329b8a432ddc1ec60cf1756f6eff2e98d6c
cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/EVENT_BROKER_SAMPLE_COMPILE.txt,ADD,,QA-12B R5 cumulative checkpoint and EVENT-DLQ direct patch,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/EVENT_BROKER_SAMPLE_RUN.txt,ADD,,QA-12B R5 cumulative checkpoint and EVENT-DLQ direct patch,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
