scenario_id,linked_requirement_id,canonical_requirement_ids,priority,area,scenario_type,title,actor,preconditions,test_data,steps,expected_result,failure_criteria,environment,topology,required_evidence,execution_status,baseline_sha,evidence_path,open_issue,next_action,execution_phase_id,execution_phase_name,execution_order,work_package_id,predecessor_phase_ids,blocking_phase_gate_id,feature_key,QA_검수여부,QA_검수회차,QA_검수결과,QA_검사내용,QA_미통과사유,QA_판정상태,QA_검수evidence
CPF-SC-000805,CPF-FR-004088,EVENT-MQ,P0,MESSAGING,POSITIVE,[EVENT-MQ] 정상 수직 흐름,Messaging 개발자·운영자,최신 exact SHA; 유효 입력과 권한,정상 데이터,요청→검증→처리→저장/전달→응답→감사,정상 상태·side effect·tracking 일치,Mock-only 또는 Consumer 미호출,Java25·적용 DB/Provider/Browser/Process 환경,Local/Remote·single/multi-instance 중 적용,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,재확인 필요,f97655c1299936a1101bc3ec10239265ec3b502e,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/PROVIDER_METADATA_SOURCE_REVIEW.md,EVENT-MQ metadata QA 직접보완 Harness는 통과했으나 Java25/real Provider/cross-review가 미완료다.,Java25 Module/real Provider 및 개발GPT/Codex 교차검토 후 QA 재검수,P05,Starter·Capability·Provider 기본 구현,05-00000805,P05-MESSAGING-EVENT-MQ,P03;P04,CPF-GATE-05,EVENT-MQ,예,QA-12B-R3-1,미통과,[EVENT-MQ] 정상 수직 흐름: 수정 전 contentType 또는 reserved metadata assertion 실패를 재현했고 수정 후 정상·입력 충돌·security spoofing Harness를 통과했다. EVENT-MQ metadata QA 직접보완 Harness는 통과했으나 Java25/real Provider/cross-review가 미완료다.,EVENT-MQ metadata QA 직접보완 Harness는 통과했으나 Java25/real Provider/cross-review가 미완료다.,미통과,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/PROVIDER_METADATA_SOURCE_REVIEW.md
CPF-SC-000806,CPF-FR-004088,EVENT-MQ,P0,MESSAGING,INVALID,[EVENT-MQ] 입력·경계 오류,Messaging 개발자·운영자,최신 exact SHA; 유효 Session,invalid/empty/oversize/unknown enum,각 invalid 제출,표준 field/path 오류·side effect 0,500/raw exception/부분 저장,Java25·적용 DB/Provider/Browser/Process 환경,Local/Remote·single/multi-instance 중 적용,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,재확인 필요,f97655c1299936a1101bc3ec10239265ec3b502e,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/PROVIDER_METADATA_SOURCE_REVIEW.md,EVENT-MQ metadata QA 직접보완 Harness는 통과했으나 Java25/real Provider/cross-review가 미완료다.,Java25 Module/real Provider 및 개발GPT/Codex 교차검토 후 QA 재검수,P05,Starter·Capability·Provider 기본 구현,05-00000806,P05-MESSAGING-EVENT-MQ,P03;P04,CPF-GATE-05,EVENT-MQ,예,QA-12B-R3-1,미통과,[EVENT-MQ] 입력·경계 오류: 수정 전 contentType 또는 reserved metadata assertion 실패를 재현했고 수정 후 정상·입력 충돌·security spoofing Harness를 통과했다. EVENT-MQ metadata QA 직접보완 Harness는 통과했으나 Java25/real Provider/cross-review가 미완료다.,EVENT-MQ metadata QA 직접보완 Harness는 통과했으나 Java25/real Provider/cross-review가 미완료다.,미통과,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/PROVIDER_METADATA_SOURCE_REVIEW.md
CPF-SC-000816,CPF-FR-004088,EVENT-MQ,P0,MESSAGING,SECURITY_LEAK,[EVENT-MQ] 민감정보 누출,Messaging 개발자·운영자,최신 exact SHA; PII/Secret fixture,오류·Log·UI·Download,정상/실패 실행,원문 0 또는 승인 범위,Log/DOM/Storage/Evidence 원문,Java25·적용 DB/Provider/Browser/Process 환경,Local/Remote·single/multi-instance 중 적용,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,재확인 필요,f97655c1299936a1101bc3ec10239265ec3b502e,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/PROVIDER_METADATA_SOURCE_REVIEW.md,EVENT-MQ metadata QA 직접보완 Harness는 통과했으나 Java25/real Provider/cross-review가 미완료다.,Java25 Module/real Provider 및 개발GPT/Codex 교차검토 후 QA 재검수,P05,Starter·Capability·Provider 기본 구현,05-00000816,P05-MESSAGING-EVENT-MQ,P03;P04,CPF-GATE-05,EVENT-MQ,예,QA-12B-R3-1,미통과,[EVENT-MQ] 민감정보 누출: 수정 전 contentType 또는 reserved metadata assertion 실패를 재현했고 수정 후 정상·입력 충돌·security spoofing Harness를 통과했다. EVENT-MQ metadata QA 직접보완 Harness는 통과했으나 Java25/real Provider/cross-review가 미완료다.,EVENT-MQ metadata QA 직접보완 Harness는 통과했으나 Java25/real Provider/cross-review가 미완료다.,미통과,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/PROVIDER_METADATA_SOURCE_REVIEW.md
CPF-SC-000817,CPF-FR-004149,EVENT-JMS,P0,MESSAGING,POSITIVE,[EVENT-JMS] 정상 수직 흐름,Messaging 개발자·운영자,최신 exact SHA; 유효 입력과 권한,정상 데이터,요청→검증→처리→저장/전달→응답→감사,정상 상태·side effect·tracking 일치,Mock-only 또는 Consumer 미호출,Java25·적용 DB/Provider/Browser/Process 환경,Local/Remote·single/multi-instance 중 적용,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,재확인 필요,f97655c1299936a1101bc3ec10239265ec3b502e,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/PROVIDER_METADATA_SOURCE_REVIEW.md,EVENT-JMS metadata QA 직접보완 Harness는 통과했으나 Java25/real Provider/cross-review가 미완료다.,Java25 Module/real Provider 및 개발GPT/Codex 교차검토 후 QA 재검수,P05,Starter·Capability·Provider 기본 구현,05-00000817,P05-MESSAGING-EVENT-JMS,P03;P04,CPF-GATE-05,EVENT-JMS,예,QA-12B-R3-1,미통과,[EVENT-JMS] 정상 수직 흐름: 수정 전 contentType 또는 reserved metadata assertion 실패를 재현했고 수정 후 정상·입력 충돌·security spoofing Harness를 통과했다. EVENT-JMS metadata QA 직접보완 Harness는 통과했으나 Java25/real Provider/cross-review가 미완료다.,EVENT-JMS metadata QA 직접보완 Harness는 통과했으나 Java25/real Provider/cross-review가 미완료다.,미통과,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/PROVIDER_METADATA_SOURCE_REVIEW.md
CPF-SC-000818,CPF-FR-004149,EVENT-JMS,P0,MESSAGING,INVALID,[EVENT-JMS] 입력·경계 오류,Messaging 개발자·운영자,최신 exact SHA; 유효 Session,invalid/empty/oversize/unknown enum,각 invalid 제출,표준 field/path 오류·side effect 0,500/raw exception/부분 저장,Java25·적용 DB/Provider/Browser/Process 환경,Local/Remote·single/multi-instance 중 적용,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,재확인 필요,f97655c1299936a1101bc3ec10239265ec3b502e,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/PROVIDER_METADATA_SOURCE_REVIEW.md,EVENT-JMS metadata QA 직접보완 Harness는 통과했으나 Java25/real Provider/cross-review가 미완료다.,Java25 Module/real Provider 및 개발GPT/Codex 교차검토 후 QA 재검수,P05,Starter·Capability·Provider 기본 구현,05-00000818,P05-MESSAGING-EVENT-JMS,P03;P04,CPF-GATE-05,EVENT-JMS,예,QA-12B-R3-1,미통과,[EVENT-JMS] 입력·경계 오류: 수정 전 contentType 또는 reserved metadata assertion 실패를 재현했고 수정 후 정상·입력 충돌·security spoofing Harness를 통과했다. EVENT-JMS metadata QA 직접보완 Harness는 통과했으나 Java25/real Provider/cross-review가 미완료다.,EVENT-JMS metadata QA 직접보완 Harness는 통과했으나 Java25/real Provider/cross-review가 미완료다.,미통과,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/PROVIDER_METADATA_SOURCE_REVIEW.md
CPF-SC-000828,CPF-FR-004149,EVENT-JMS,P0,MESSAGING,SECURITY_LEAK,[EVENT-JMS] 민감정보 누출,Messaging 개발자·운영자,최신 exact SHA; PII/Secret fixture,오류·Log·UI·Download,정상/실패 실행,원문 0 또는 승인 범위,Log/DOM/Storage/Evidence 원문,Java25·적용 DB/Provider/Browser/Process 환경,Local/Remote·single/multi-instance 중 적용,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,재확인 필요,f97655c1299936a1101bc3ec10239265ec3b502e,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/PROVIDER_METADATA_SOURCE_REVIEW.md,EVENT-JMS metadata QA 직접보완 Harness는 통과했으나 Java25/real Provider/cross-review가 미완료다.,Java25 Module/real Provider 및 개발GPT/Codex 교차검토 후 QA 재검수,P05,Starter·Capability·Provider 기본 구현,05-00000828,P05-MESSAGING-EVENT-JMS,P03;P04,CPF-GATE-05,EVENT-JMS,예,QA-12B-R3-1,미통과,[EVENT-JMS] 민감정보 누출: 수정 전 contentType 또는 reserved metadata assertion 실패를 재현했고 수정 후 정상·입력 충돌·security spoofing Harness를 통과했다. EVENT-JMS metadata QA 직접보완 Harness는 통과했으나 Java25/real Provider/cross-review가 미완료다.,EVENT-JMS metadata QA 직접보완 Harness는 통과했으나 Java25/real Provider/cross-review가 미완료다.,미통과,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/PROVIDER_METADATA_SOURCE_REVIEW.md
CPF-SC-000829,CPF-FR-004210,EVENT-IBM-MQ,P0,MESSAGING,POSITIVE,[EVENT-IBM-MQ] 정상 수직 흐름,Messaging 개발자·운영자,최신 exact SHA; 유효 입력과 권한,정상 데이터,요청→검증→처리→저장/전달→응답→감사,정상 상태·side effect·tracking 일치,Mock-only 또는 Consumer 미호출,Java25·적용 DB/Provider/Browser/Process 환경,Local/Remote·single/multi-instance 중 적용,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,재확인 필요,f97655c1299936a1101bc3ec10239265ec3b502e,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/PROVIDER_METADATA_SOURCE_REVIEW.md,EVENT-IBM-MQ metadata QA 직접보완 Harness는 통과했으나 Java25/real Provider/cross-review가 미완료다.,Java25 Module/real Provider 및 개발GPT/Codex 교차검토 후 QA 재검수,P05,Starter·Capability·Provider 기본 구현,05-00000829,P05-MESSAGING-EVENT-IBM-MQ,P03;P04,CPF-GATE-05,EVENT-IBM-MQ,예,QA-12B-R3-1,미통과,[EVENT-IBM-MQ] 정상 수직 흐름: 수정 전 contentType 또는 reserved metadata assertion 실패를 재현했고 수정 후 정상·입력 충돌·security spoofing Harness를 통과했다. EVENT-IBM-MQ metadata QA 직접보완 Harness는 통과했으나 Java25/real Provider/cross-review가 미완료다.,EVENT-IBM-MQ metadata QA 직접보완 Harness는 통과했으나 Java25/real Provider/cross-review가 미완료다.,미통과,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/PROVIDER_METADATA_SOURCE_REVIEW.md
CPF-SC-000830,CPF-FR-004210,EVENT-IBM-MQ,P0,MESSAGING,INVALID,[EVENT-IBM-MQ] 입력·경계 오류,Messaging 개발자·운영자,최신 exact SHA; 유효 Session,invalid/empty/oversize/unknown enum,각 invalid 제출,표준 field/path 오류·side effect 0,500/raw exception/부분 저장,Java25·적용 DB/Provider/Browser/Process 환경,Local/Remote·single/multi-instance 중 적용,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,재확인 필요,f97655c1299936a1101bc3ec10239265ec3b502e,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/PROVIDER_METADATA_SOURCE_REVIEW.md,EVENT-IBM-MQ metadata QA 직접보완 Harness는 통과했으나 Java25/real Provider/cross-review가 미완료다.,Java25 Module/real Provider 및 개발GPT/Codex 교차검토 후 QA 재검수,P05,Starter·Capability·Provider 기본 구현,05-00000830,P05-MESSAGING-EVENT-IBM-MQ,P03;P04,CPF-GATE-05,EVENT-IBM-MQ,예,QA-12B-R3-1,미통과,[EVENT-IBM-MQ] 입력·경계 오류: 수정 전 contentType 또는 reserved metadata assertion 실패를 재현했고 수정 후 정상·입력 충돌·security spoofing Harness를 통과했다. EVENT-IBM-MQ metadata QA 직접보완 Harness는 통과했으나 Java25/real Provider/cross-review가 미완료다.,EVENT-IBM-MQ metadata QA 직접보완 Harness는 통과했으나 Java25/real Provider/cross-review가 미완료다.,미통과,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/PROVIDER_METADATA_SOURCE_REVIEW.md
CPF-SC-000840,CPF-FR-004210,EVENT-IBM-MQ,P0,MESSAGING,SECURITY_LEAK,[EVENT-IBM-MQ] 민감정보 누출,Messaging 개발자·운영자,최신 exact SHA; PII/Secret fixture,오류·Log·UI·Download,정상/실패 실행,원문 0 또는 승인 범위,Log/DOM/Storage/Evidence 원문,Java25·적용 DB/Provider/Browser/Process 환경,Local/Remote·single/multi-instance 중 적용,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,재확인 필요,f97655c1299936a1101bc3ec10239265ec3b502e,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/PROVIDER_METADATA_SOURCE_REVIEW.md,EVENT-IBM-MQ metadata QA 직접보완 Harness는 통과했으나 Java25/real Provider/cross-review가 미완료다.,Java25 Module/real Provider 및 개발GPT/Codex 교차검토 후 QA 재검수,P05,Starter·Capability·Provider 기본 구현,05-00000840,P05-MESSAGING-EVENT-IBM-MQ,P03;P04,CPF-GATE-05,EVENT-IBM-MQ,예,QA-12B-R3-1,미통과,[EVENT-IBM-MQ] 민감정보 누출: 수정 전 contentType 또는 reserved metadata assertion 실패를 재현했고 수정 후 정상·입력 충돌·security spoofing Harness를 통과했다. EVENT-IBM-MQ metadata QA 직접보완 Harness는 통과했으나 Java25/real Provider/cross-review가 미완료다.,EVENT-IBM-MQ metadata QA 직접보완 Harness는 통과했으나 Java25/real Provider/cross-review가 미완료다.,미통과,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/PROVIDER_METADATA_SOURCE_REVIEW.md
CPF-SC-000841,CPF-FR-004271,EVENT-AMQP,P0,MESSAGING,POSITIVE,[EVENT-AMQP] 정상 수직 흐름,Messaging 개발자·운영자,최신 exact SHA; 유효 입력과 권한,정상 데이터,요청→검증→처리→저장/전달→응답→감사,정상 상태·side effect·tracking 일치,Mock-only 또는 Consumer 미호출,Java25·적용 DB/Provider/Browser/Process 환경,Local/Remote·single/multi-instance 중 적용,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,재확인 필요,f97655c1299936a1101bc3ec10239265ec3b502e,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/PROVIDER_METADATA_SOURCE_REVIEW.md,EVENT-AMQP metadata QA 직접보완 Harness는 통과했으나 Java25/real Provider/cross-review가 미완료다.,Java25 Module/real Provider 및 개발GPT/Codex 교차검토 후 QA 재검수,P05,Starter·Capability·Provider 기본 구현,05-00000841,P05-MESSAGING-EVENT-AMQP,P03;P04,CPF-GATE-05,EVENT-AMQP,예,QA-12B-R3-1,미통과,[EVENT-AMQP] 정상 수직 흐름: 수정 전 contentType 또는 reserved metadata assertion 실패를 재현했고 수정 후 정상·입력 충돌·security spoofing Harness를 통과했다. EVENT-AMQP metadata QA 직접보완 Harness는 통과했으나 Java25/real Provider/cross-review가 미완료다.,EVENT-AMQP metadata QA 직접보완 Harness는 통과했으나 Java25/real Provider/cross-review가 미완료다.,미통과,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/PROVIDER_METADATA_SOURCE_REVIEW.md
