feature_key,category,work_package_ids,first_requirement_id,last_requirement_id,requirement_count,qa_fail_count,environment_unverified_count,source_summary,reviewed_paths,runtime_gap,missing_dimensions,evidence_path
DB-INSTALL,DB,P04-DATA-DB-INSTALL,CPF-FR-002548,CPF-FR-002562,15,14,1,"3개 공식 Vendor 정본, install/migration/rollback/reapply script, JDBC provider와 정적 lifecycle validator는 존재한다","cpf-tools/db/cpf-db-lifecycle-contract.json;cpf-tools/db/vendor-pack-manifest.json;cpf-tools/db/vendor/{mariadb,postgresql,oracle};cpf-tools/scripts/initialize-cpf-database.ps1;cpf-tools/scripts/invoke-cpf-qa34-db-runtime-matrix.ps1;cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py;cpf-starters/data/persistence-jdbc;cpf-core/src/main/java/com/cpf/core/api/database","실제 Oracle/PostgreSQL/MariaDB, Java25/WAS, backup restore, process/network/disk/response-loss fault 실행은 최신 SHA에서 수행되지 않았다",3 Vendor|ADM 운영 기능|API·OpenAPI|Alert·Runbook|BZA 업무 관리|Circuit·Bulkhead|Contract Test|DB Ownership|DB Rollback|DB Schema|Data Scope|Evidence|Fault Test|Frontend 연결|Health·Readiness|Hygiene|Integration Test|Internal 구현|JavaDoc·주석|Local/Remote 동등성|Log|Masking·Privacy|Metric|Migration|Owner·경계|Public API|Resource 상한|Rollback·Forward Recovery|Runtime Query|Runtime Test|Sample·EDU|Timeout Budget|Trace|Unit Test|감사|개발·운영 Guide|검증|결과 불명|고객 확장 SPI|권한|기능 목적·업무 결과|다중 인스턴스|대사|동시성|멱등성|명령 실행|보상|복구|사유|상태 Catalog|상태 전이|설정 계약|승인|실제 Consumer|인증|입력 계약|재시도|조회·검색|출력 계약|혼합 버전 호환,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/db_review.md#db-install
DB-FRESH,DB,P04-DATA-DB-FRESH,CPF-FR-002563,CPF-FR-002623,61,39,22,"3개 공식 Vendor 정본, install/migration/rollback/reapply script, JDBC provider와 정적 lifecycle validator는 존재한다","cpf-tools/db/cpf-db-lifecycle-contract.json;cpf-tools/db/vendor-pack-manifest.json;cpf-tools/db/vendor/{mariadb,postgresql,oracle};cpf-tools/scripts/initialize-cpf-database.ps1;cpf-tools/scripts/invoke-cpf-qa34-db-runtime-matrix.ps1;cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py;cpf-starters/data/persistence-jdbc;cpf-core/src/main/java/com/cpf/core/api/database","실제 Oracle/PostgreSQL/MariaDB, Java25/WAS, backup restore, process/network/disk/response-loss fault 실행은 최신 SHA에서 수행되지 않았다",ADM 운영 기능|API·OpenAPI|Alert·Runbook|BZA 업무 관리|Circuit·Bulkhead|Contract Test|Data Scope|Evidence|Fault Test|Frontend 연결|Health·Readiness|Hygiene|JavaDoc·주석|Local/Remote 동등성|Metric|Public API|Resource 상한|Runtime Test|Sample·EDU|Timeout Budget|Trace|Unit Test|감사|개발·운영 Guide|결과 불명|고객 확장 SPI|권한|다중 인스턴스|대사|동시성|멱등성|보상|복구|사유|승인|실제 Consumer|인증|재시도|혼합 버전 호환,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/db_review.md#db-fresh
DB-MIGRATION,DB,P04-DATA-DB-MIGRATION,CPF-FR-002624,CPF-FR-002684,61,39,22,"3개 공식 Vendor 정본, install/migration/rollback/reapply script, JDBC provider와 정적 lifecycle validator는 존재한다","cpf-tools/db/cpf-db-lifecycle-contract.json;cpf-tools/db/vendor-pack-manifest.json;cpf-tools/db/vendor/{mariadb,postgresql,oracle};cpf-tools/scripts/initialize-cpf-database.ps1;cpf-tools/scripts/invoke-cpf-qa34-db-runtime-matrix.ps1;cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py;cpf-starters/data/persistence-jdbc;cpf-core/src/main/java/com/cpf/core/api/database","실제 Oracle/PostgreSQL/MariaDB, Java25/WAS, backup restore, process/network/disk/response-loss fault 실행은 최신 SHA에서 수행되지 않았다",ADM 운영 기능|API·OpenAPI|Alert·Runbook|BZA 업무 관리|Circuit·Bulkhead|Contract Test|Data Scope|Evidence|Fault Test|Frontend 연결|Health·Readiness|Hygiene|JavaDoc·주석|Local/Remote 동등성|Metric|Public API|Resource 상한|Runtime Test|Sample·EDU|Timeout Budget|Trace|Unit Test|감사|개발·운영 Guide|결과 불명|고객 확장 SPI|권한|다중 인스턴스|대사|동시성|멱등성|보상|복구|사유|승인|실제 Consumer|인증|재시도|혼합 버전 호환,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/db_review.md#db-migration
DB-ROLLBACK,DB,P04-DATA-DB-ROLLBACK,CPF-FR-002685,CPF-FR-002745,61,39,22,"3개 공식 Vendor 정본, install/migration/rollback/reapply script, JDBC provider와 정적 lifecycle validator는 존재한다","cpf-tools/db/cpf-db-lifecycle-contract.json;cpf-tools/db/vendor-pack-manifest.json;cpf-tools/db/vendor/{mariadb,postgresql,oracle};cpf-tools/scripts/initialize-cpf-database.ps1;cpf-tools/scripts/invoke-cpf-qa34-db-runtime-matrix.ps1;cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py;cpf-starters/data/persistence-jdbc;cpf-core/src/main/java/com/cpf/core/api/database","실제 Oracle/PostgreSQL/MariaDB, Java25/WAS, backup restore, process/network/disk/response-loss fault 실행은 최신 SHA에서 수행되지 않았다",ADM 운영 기능|API·OpenAPI|Alert·Runbook|BZA 업무 관리|Circuit·Bulkhead|Contract Test|Data Scope|Evidence|Fault Test|Frontend 연결|Health·Readiness|Hygiene|JavaDoc·주석|Local/Remote 동등성|Metric|Public API|Resource 상한|Runtime Test|Sample·EDU|Timeout Budget|Trace|Unit Test|감사|개발·운영 Guide|결과 불명|고객 확장 SPI|권한|다중 인스턴스|대사|동시성|멱등성|보상|복구|사유|승인|실제 Consumer|인증|재시도|혼합 버전 호환,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/db_review.md#db-rollback
DB-BACKUP,DB,P04-DATA-DB-BACKUP,CPF-FR-002746,CPF-FR-002806,61,49,12,"3개 공식 Vendor 정본, install/migration/rollback/reapply script, JDBC provider와 정적 lifecycle validator는 존재한다","cpf-tools/db/cpf-db-lifecycle-contract.json;cpf-tools/db/vendor-pack-manifest.json;cpf-tools/db/vendor/{mariadb,postgresql,oracle};cpf-tools/scripts/initialize-cpf-database.ps1;cpf-tools/scripts/invoke-cpf-qa34-db-runtime-matrix.ps1;cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py;cpf-starters/data/persistence-jdbc;cpf-core/src/main/java/com/cpf/core/api/database","실제 Oracle/PostgreSQL/MariaDB, Java25/WAS, backup restore, process/network/disk/response-loss fault 실행은 최신 SHA에서 수행되지 않았다",ADM 운영 기능|API·OpenAPI|Alert·Runbook|BZA 업무 관리|Circuit·Bulkhead|Contract Test|DB Rollback|DB Schema|Data Scope|Evidence|Fault Test|Frontend 연결|Health·Readiness|Hygiene|Internal 구현|JavaDoc·주석|Local/Remote 동등성|Metric|Migration|Public API|Resource 상한|Rollback·Forward Recovery|Runtime Query|Runtime Test|Sample·EDU|Timeout Budget|Trace|Unit Test|감사|개발·운영 Guide|결과 불명|고객 확장 SPI|권한|다중 인스턴스|대사|동시성|멱등성|명령 실행|보상|복구|사유|상태 Catalog|상태 전이|승인|실제 Consumer|인증|재시도|조회·검색|혼합 버전 호환,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/db_review.md#db-backup
DB-MULTI-VENDOR,DB,P04-DATA-DB-MULTI-VENDOR,CPF-FR-002807,CPF-FR-002867,61,39,22,"3개 공식 Vendor 정본, install/migration/rollback/reapply script, JDBC provider와 정적 lifecycle validator는 존재한다","cpf-tools/db/cpf-db-lifecycle-contract.json;cpf-tools/db/vendor-pack-manifest.json;cpf-tools/db/vendor/{mariadb,postgresql,oracle};cpf-tools/scripts/initialize-cpf-database.ps1;cpf-tools/scripts/invoke-cpf-qa34-db-runtime-matrix.ps1;cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py;cpf-starters/data/persistence-jdbc;cpf-core/src/main/java/com/cpf/core/api/database","실제 Oracle/PostgreSQL/MariaDB, Java25/WAS, backup restore, process/network/disk/response-loss fault 실행은 최신 SHA에서 수행되지 않았다",ADM 운영 기능|API·OpenAPI|Alert·Runbook|BZA 업무 관리|Circuit·Bulkhead|Contract Test|Data Scope|Evidence|Fault Test|Frontend 연결|Health·Readiness|Hygiene|JavaDoc·주석|Local/Remote 동등성|Metric|Public API|Resource 상한|Runtime Test|Sample·EDU|Timeout Budget|Trace|Unit Test|감사|개발·운영 Guide|결과 불명|고객 확장 SPI|권한|다중 인스턴스|대사|동시성|멱등성|보상|복구|사유|승인|실제 Consumer|인증|재시도|혼합 버전 호환,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/db_review.md#db-multi-vendor
DB-SQL,DB,P04-DATA-DB-SQL,CPF-FR-002868,CPF-FR-002928,61,39,22,"3개 공식 Vendor 정본, install/migration/rollback/reapply script, JDBC provider와 정적 lifecycle validator는 존재한다","cpf-tools/db/cpf-db-lifecycle-contract.json;cpf-tools/db/vendor-pack-manifest.json;cpf-tools/db/vendor/{mariadb,postgresql,oracle};cpf-tools/scripts/initialize-cpf-database.ps1;cpf-tools/scripts/invoke-cpf-qa34-db-runtime-matrix.ps1;cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py;cpf-starters/data/persistence-jdbc;cpf-core/src/main/java/com/cpf/core/api/database","실제 Oracle/PostgreSQL/MariaDB, Java25/WAS, backup restore, process/network/disk/response-loss fault 실행은 최신 SHA에서 수행되지 않았다",ADM 운영 기능|API·OpenAPI|Alert·Runbook|BZA 업무 관리|Circuit·Bulkhead|Contract Test|Data Scope|Evidence|Fault Test|Frontend 연결|Health·Readiness|Hygiene|JavaDoc·주석|Local/Remote 동등성|Metric|Public API|Resource 상한|Runtime Test|Sample·EDU|Timeout Budget|Trace|Unit Test|감사|개발·운영 Guide|결과 불명|고객 확장 SPI|권한|다중 인스턴스|대사|동시성|멱등성|보상|복구|사유|승인|실제 Consumer|인증|재시도|혼합 버전 호환,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/db_review.md#db-sql
DB-PERF,DB,P04-DATA-DB-PERF,CPF-FR-002929,CPF-FR-002989,61,46,15,"3개 공식 Vendor 정본, install/migration/rollback/reapply script, JDBC provider와 정적 lifecycle validator는 존재한다","cpf-tools/db/cpf-db-lifecycle-contract.json;cpf-tools/db/vendor-pack-manifest.json;cpf-tools/db/vendor/{mariadb,postgresql,oracle};cpf-tools/scripts/initialize-cpf-database.ps1;cpf-tools/scripts/invoke-cpf-qa34-db-runtime-matrix.ps1;cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py;cpf-starters/data/persistence-jdbc;cpf-core/src/main/java/com/cpf/core/api/database","실제 Oracle/PostgreSQL/MariaDB, Java25/WAS, backup restore, process/network/disk/response-loss fault 실행은 최신 SHA에서 수행되지 않았다",ADM 운영 기능|API·OpenAPI|Alert·Runbook|BZA 업무 관리|Circuit·Bulkhead|Contract Test|DB Schema|Data Scope|Evidence|Fault Test|Frontend 연결|Health·Readiness|Hygiene|Integration Test|Internal 구현|JavaDoc·주석|Local/Remote 동등성|Log|Metric|Public API|Resource 상한|Runtime Query|Runtime Test|Sample·EDU|Timeout Budget|Trace|Unit Test|감사|개발·운영 Guide|검증|결과 불명|고객 확장 SPI|권한|다중 인스턴스|대사|동시성|멱등성|보상|복구|사유|승인|실제 Consumer|인증|재시도|조회·검색|혼합 버전 호환,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/db_review.md#db-perf
DB-MULTI,DB,P04-DATA-DB-MULTI,CPF-FR-002990,CPF-FR-003050,61,44,17,"3개 공식 Vendor 정본, install/migration/rollback/reapply script, JDBC provider와 정적 lifecycle validator는 존재한다","cpf-tools/db/cpf-db-lifecycle-contract.json;cpf-tools/db/vendor-pack-manifest.json;cpf-tools/db/vendor/{mariadb,postgresql,oracle};cpf-tools/scripts/initialize-cpf-database.ps1;cpf-tools/scripts/invoke-cpf-qa34-db-runtime-matrix.ps1;cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py;cpf-starters/data/persistence-jdbc;cpf-core/src/main/java/com/cpf/core/api/database","실제 Oracle/PostgreSQL/MariaDB, Java25/WAS, backup restore, process/network/disk/response-loss fault 실행은 최신 SHA에서 수행되지 않았다",ADM 운영 기능|API·OpenAPI|Alert·Runbook|BZA 업무 관리|Circuit·Bulkhead|Contract Test|Data Scope|Evidence|Fault Test|Frontend 연결|Health·Readiness|Hygiene|Internal 구현|JavaDoc·주석|Local/Remote 동등성|Metric|Public API|Resource 상한|Runtime Test|Sample·EDU|Timeout Budget|Trace|Unit Test|감사|개발·운영 Guide|결과 불명|고객 확장 SPI|권한|다중 인스턴스|대사|동시성|멱등성|명령 실행|보상|복구|사유|상태 Catalog|상태 전이|승인|실제 Consumer|인증|재시도|조회·검색|혼합 버전 호환,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/db_review.md#db-multi
DATA-LINEAGE,DB,P04-DATA-DATA-LINEAGE,CPF-FR-003051,CPF-FR-003111,61,56,5,"3개 공식 Vendor 정본, install/migration/rollback/reapply script, JDBC provider와 정적 lifecycle validator는 존재한다","cpf-tools/db/cpf-db-lifecycle-contract.json;cpf-tools/db/vendor-pack-manifest.json;cpf-tools/db/vendor/{mariadb,postgresql,oracle};cpf-tools/scripts/initialize-cpf-database.ps1;cpf-tools/scripts/invoke-cpf-qa34-db-runtime-matrix.ps1;cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py;cpf-starters/data/persistence-jdbc;cpf-core/src/main/java/com/cpf/core/api/database","실제 Oracle/PostgreSQL/MariaDB, Java25/WAS, backup restore, process/network/disk/response-loss fault 실행은 최신 SHA에서 수행되지 않았다",3 Vendor|ADM 운영 기능|API·OpenAPI|Alert·Runbook|BZA 업무 관리|Circuit·Bulkhead|Contract Test|DB Ownership|DB Rollback|DB Schema|Data Scope|Evidence|Fault Test|Frontend 연결|Generator 영향|Health·Readiness|Hygiene|Integration Test|Internal 구현|JavaDoc·주석|Local/Remote 동등성|Log|Masking·Privacy|Metric|Migration|Resource 상한|Rollback·Forward Recovery|Runtime Query|Runtime Test|Sample·EDU|Timeout Budget|Trace|Unit Test|감사|개발·운영 Guide|검증|결과 불명|고객 확장 SPI|권한|다중 인스턴스|대사|동시성|멱등성|명령 실행|보상|복구|사유|상태 Catalog|상태 전이|설정 계약|승인|실제 Consumer|인증|재시도|조회·검색|혼합 버전 호환,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/db_review.md#data-lineage
