path,change,reason
README.md,carry-forward,latest Vertical Rhythm / AI Trust README 보호
cpf-docs/assets/readme/cpf-composition-model.svg,modified,텍스트 카드 경계 초과 제거 및 connector 정리
cpf-docs/assets/readme/cpf-composition-model.png,regenerated,수정 SVG 기준 PNG 재생성
cpf-docs/assets/readme/cpf-batch-runtime.svg,modified,우측 확장 카드 하단 overflow 제거
cpf-docs/assets/readme/cpf-batch-runtime.png,regenerated,수정 SVG 기준 PNG 재생성
cpf-docs/assets/manuals/operator-troubleshooting-flow.svg,modified,긴 라벨의 카드 침범 제거
cpf-docs/assets/manuals/operator-troubleshooting-flow.png,regenerated,수정 SVG 기준 PNG 재생성
cpf-docs/assets/manuals/developer-transaction-patterns.svg,carry-forward,기존 수정본 재검수 보호
cpf-docs/assets/manuals/developer-transaction-patterns.png,carry-forward,기존 수정본 재검수 보호
cpf-docs/guides/04_운영자_매뉴얼.docx,modified,수정된 운영 확인 흐름 이미지 재삽입
cpf-docs/guides/04_운영자_매뉴얼.pdf,regenerated,DOCX 기준 PDF 재생성
