runtime_gate,required_environment,rerun_command,expected_evidence,status,exact_sha
Java25+Gradle9.1 clean build/publication,self-hosted Windows cpf-r6,pwsh -NoProfile -File cpf-tools/verification/final-dev/run-r6-release-gates.ps1 -ExpectedHead 3ed676061246c9db3e44f29e254c0393ecca3929 -Release -RunBrowser -RunDb3 -RunMultiprocess,release-summary + logs + hashes,미검증,3ed676061246c9db3e44f29e254c0393ecca3929
Oracle/PostgreSQL/MariaDB live lifecycle,DB3 credentials and empty isolated DB/schema,pwsh -NoProfile -File cpf-tools/verification/final-dev/run-db3-lifecycle.ps1 -ExpectedHead 3ed676061246c9db3e44f29e254c0393ecca3929,db3-lifecycle-summary.json + vendor audit,미검증,3ed676061246c9db3e44f29e254c0393ecca3929
ADM authenticated Chromium/Firefox/WebKit,real ADM URL + 3 auth states,npm --prefix cpf-admin/frontend run test:e2e,playwright reports/screenshots/traces,미검증,3ed676061246c9db3e44f29e254c0393ecca3929
BZA authenticated Chromium/Firefox/WebKit,real BZA URL + auth state,npm --prefix cpf-biz-admin/frontend run test:e2e,playwright reports/screenshots/traces,미검증,3ed676061246c9db3e44f29e254c0393ecca3929
Approval process-kill/UNKNOWN reconcile,2+ instances + shared DB + owner services,cpf-tools verification multiprocess chaos runner,"pre/post DB state, owner state, no duplicate mutation",미검증,3ed676061246c9db3e44f29e254c0393ecca3929
Broker/network/DB-finalization faults,fault proxy/broker/shared DB,release multiprocess/hardening qualification,UNKNOWN/reconcile/audit evidence,미검증,3ed676061246c9db3e44f29e254c0393ecca3929
Performance/resource/backpressure,live system probes,run-r6-hardening-qualification.py,load/soak/resource reports,미검증,3ed676061246c9db3e44f29e254c0393ecca3929
Security negative corpus,authenticated roles + corpus,release hardening/security gate,401/403/IDOR/XSS/CSRF/SSRF/leak report,미검증,3ed676061246c9db3e44f29e254c0393ecca3929
DR/backup/restore,vendor DB + backup key + chaos probe,release hardening DR gate,"RPO/RTO, restore hashes",미검증,3ed676061246c9db3e44f29e254c0393ecca3929
Generator create→runtime→remove→regenerate,Java25+DB3+fresh consumer,hardening generator qualification,"generated manifest, DB/OpenAPI/frontend parity",미검증,3ed676061246c9db3e44f29e254c0393ecca3929
Full ADM 332-operation closure,BACKEND_RUNTIME OpenAPI export,npm --prefix cpf-admin/frontend run verify with CPF_CONSUMER_SCOPE=full,332 operation consumer report,미검증,3ed676061246c9db3e44f29e254c0393ecca3929
Codex independent review,GitHub current exact SHA,Codex review package,review result bound to exact SHA,미검증,3ed676061246c9db3e44f29e254c0393ecca3929
Transaction/Logging end-to-end lineage,2+ instances + DB3/log store + broker + batch worker + authenticated ADM,Use R6J developer runtime qualification script generated from canonical LOGGING_TRANSACTION_QA_STANDARD,"single transactionId timeline/tree covering nested tx, external, message/DLQ, batch, file/trace/audit, partial/stale source state",미검증,3ed676061246c9db3e44f29e254c0393ecca3929
