exact_id,source_type,priority,area,developer_status_input,developer_verification_input,qa_a_status,qa_b_status,central_status,baseline_sha,next_action
AB-R6-001,QA_FINDING,P0,Management/Quality,재확인 필요,미검증,FAIL,미통과,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,Evidence를 exact current SHA에 commit/bind하고 SHA/command/cwd/tool/exit/hash를 재작성
AB-R6-002,QA_FINDING,P0,Runtime/Release,재확인 필요,미검증,FAIL,미통과,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,current exact SHA release workflow SUCCESS artifact 필요
AB-R6-003,QA_FINDING,P0,Runtime/Release,재확인 필요,미검증,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,미통과,SOURCE_RESOLVED_RUNTIME_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,clean exact-SHA Release runner 실행 Evidence
AB-R6-004,QA_FINDING,P0,ADM/Frontend/Contract,재확인 필요,미검증,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,미통과,SOURCE_RESOLVED_RUNTIME_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,authenticated real backend 3-browser PASS
AB-R6-005,QA_FINDING,P0,ADM/Frontend/Contract,부분 구현,완료,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,통과,SOURCE_RESOLVED_RUNTIME_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,current source consumer path independently verified
AB-R6-006,QA_FINDING,P0,ADM/Frontend/Contract,부분 구현,완료,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,통과,SOURCE_RESOLVED_RUNTIME_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,current source consumer path independently verified
AB-R6-007,QA_FINDING,P0,Approval/Security,부분 구현,완료,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,통과,SOURCE_RESOLVED_RUNTIME_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,current source independently verified; broader routes tracked in NEW-007
AB-R6-008,QA_FINDING,P1,ADM/Frontend/Contract,부분 구현,완료,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,통과,SOURCE_RESOLVED_RUNTIME_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,current source independently verified
AB-R6-009,QA_FINDING,P0,ADM/Frontend/Contract,재확인 필요,미검증,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,미통과,SOURCE_RESOLVED_RUNTIME_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,current SHA regeneration zero-diff
AB-R6-010,QA_FINDING,P0,ADM/Frontend/Contract,재확인 필요,미검증,PARTIAL,미통과,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,runtime OpenAPI export + parity + generation zero diff
AB-R6-011,QA_FINDING,P1,ADM/Frontend/Contract,재확인 필요,미검증,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,미통과,SOURCE_RESOLVED_RUNTIME_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,BACKEND_RUNTIME OpenAPI lifecycle PASS
AB-R6-012,QA_FINDING,P1,ADM/Frontend/Contract,재확인 필요,미검증,PARTIAL,미통과,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,full 332-operation runtime OpenAPI consumer closure
AB-R6-013,QA_FINDING,P0,Management/Quality,재확인 필요,미검증,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,미통과,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,remove retired 410 ops from route consumer metadata and close duplicate stale consumers
AB-R6-014,QA_FINDING,P0,Management/Quality,재확인 필요,미검증,PARTIAL,미통과,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,execute real mutation/failure behavior against product runtime and retain exact evidence
AB-R6-015,QA_FINDING,P1,Runtime/Release,재확인 필요,미검증,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,미통과,SOURCE_RESOLVED_RUNTIME_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,3-vendor live runner process behavior PASS
AB-R6-016,QA_FINDING,P0,BZA/Frontend,부분 구현,완료,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,통과,SOURCE_RESOLVED_RUNTIME_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,current source independently verified
AB-R6-017,QA_FINDING,P0,BZA/Frontend,재확인 필요,미검증,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,미통과,SOURCE_RESOLVED_RUNTIME_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,fix NEW-002 + real BZA 3-browser release PASS
AB-R6-018,QA_FINDING,P2,ADM/Frontend/Contract,재확인 필요,미검증,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,미통과,SOURCE_RESOLVED_RUNTIME_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,browser TTL/reload/response-loss runtime PASS
AB-R6-019,QA_FINDING,P0,Approval/Security,부분 구현,완료,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,통과,SOURCE_RESOLVED_RUNTIME_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,current source independently verified
AB-R6-020,QA_FINDING,P0,Approval/Security,재확인 필요,미검증,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,미통과,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,implement observation-only reconcile for all UNKNOWN-producing owner ports + process-kill test
AB-R6-021,QA_FINDING,P0,Approval/Security,부분 구현,완료,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,통과,SOURCE_RESOLVED_RUNTIME_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,current source independently verified
AB-R6-022,QA_FINDING,P0,Approval/Security,재확인 필요,미검증,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,미통과,SOURCE_RESOLVED_RUNTIME_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,DB3 + concurrent multi-instance single-use PASS
AB-R6-023,QA_FINDING,P0,Approval/Security,재확인 필요,미검증,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,미통과,SOURCE_RESOLVED_RUNTIME_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,prod/stg startup negative/positive tests
AB-R6-024,QA_FINDING,P1,Approval/Security,재확인 필요,미검증,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,미통과,SOURCE_RESOLVED_RUNTIME_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,3-vendor direct SQL overlap/update/delete + rollback/reapply PASS
AB-R6-025,QA_FINDING,P0,Runtime/Release,재확인 필요,미검증,FAIL,미통과,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,durable post-owner outcome + owner observation reconcile + DB outage test
AB-R6-026,QA_FINDING,P1,Management/Quality,재확인 필요,미검증,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,미통과,SOURCE_RESOLVED_RUNTIME_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,remote multi-instance wrong/missing endpoint negative PASS
AB-R6-027,QA_FINDING,P1,Management/Quality,재확인 필요,미검증,PARTIAL,미통과,SOURCE_IMPROVED_RUNTIME_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,2-instance JDBC DQ replay/process-kill PASS
AB-R6-028,QA_FINDING,P0,EDU/Sample,재확인 필요,미검증,FAIL,미통과,REWORK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,fix/reclassify entire ADM family after architecture decision; QA37 --compile must pass
