logical_order,requirement_id,function_point_id,development_status,verification_status,development_result,evidence_path,next_action
1,CPF-FR-001160,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_autoconfig_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_state_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
2,CPF-FR-001161,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_autoconfig_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_state_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
3,CPF-FR-001162,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_autoconfig_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_state_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
4,CPF-FR-001163,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_autoconfig_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_state_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
5,CPF-FR-001164,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_autoconfig_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_state_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
6,CPF-FR-001165,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_autoconfig_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_state_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
7,CPF-FR-001166,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_autoconfig_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_state_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
8,CPF-FR-001167,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_autoconfig_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_state_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
9,CPF-FR-001168,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_autoconfig_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_state_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
10,CPF-FR-001169,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_autoconfig_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_state_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
11,CPF-FR-001170,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
12,CPF-FR-001171,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
13,CPF-FR-001172,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
14,CPF-FR-001173,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
15,CPF-FR-001174,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
16,CPF-FR-001175,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/jdbc_state_concurrency_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
17,CPF-FR-001176,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_resilience_consumer_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
18,CPF-FR-001177,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_resilience_consumer_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
19,CPF-FR-001178,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_circuit_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
20,CPF-FR-001179,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_state_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
21,CPF-FR-001180,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_state_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
22,CPF-FR-001181,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_state_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
23,CPF-FR-001182,FP-6B-STATE,해당 없음,검증 완료,해당 없음·근거 기록 완료,,추가 조치 없음; QA가 해당 없음 근거를 검수
24,CPF-FR-001183,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_vendor_sql_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
25,CPF-FR-001184,FP-6B-STATE,완료,부분 검증,6B 제품 Source 구현 완료·정적/대체 검증 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/jdbc_state_store_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/jdbc_state_concurrency_run.log,Java 25 전체 Gradle 및 실제 외부 Runtime에서 Source 대체검증 Acceptance 재실행
26,CPF-FR-001185,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_autoconfig_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/jdbc_state_store_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
27,CPF-FR-001186,FP-6B-STATE,미완료,부분 검증,6B 구현 일부 완료·잔여 Acceptance 또는 Target Runtime 검증 필요,,DEVGPT-6E/DEVGPT-6F 연계 및 remaining_runtime_delta와 미충족 Acceptance를 보완하고 Java 25/실환경 Gate 재실행
28,CPF-FR-001187,FP-6B-STATE,미완료,미검증,6B 공통 구현/계약 연결 완료·타 Owner Consumer 또는 Runtime 검증 필요,,DEVGPT-6A가 Cross-session 요청에 따라 실제 Consumer/Runtime Acceptance를 구현·검증; Java 25 전체 Gate 재실행
29,CPF-FR-001188,FP-6B-STATE,미완료,부분 검증,6B 구현 일부 완료·잔여 Acceptance 또는 Target Runtime 검증 필요,,DEVGPT-6A 연계 및 remaining_runtime_delta와 미충족 Acceptance를 보완하고 Java 25/실환경 Gate 재실행
30,CPF-FR-001189,FP-6B-STATE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/state_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
