capability,requirement_first,requirement_last,requirement_count,core_scenarios,related_scenario_count,public_api_spi,implementation_sources,actual_consumer,qa_findings,verification,remaining_formal_gap,development_judgement
GWY-ENTRY,CPF-FR-003173,CPF-FR-003233,61,12,14,CpfGatewayEntryPolicyPort; CpfRuntimeChangeApplier(GATEWAY_ENTRY),cpf-core/src/main/java/com/cpf/core/api/gateway/CpfGatewayEntryPolicyPort.java|cpf-gateway/src/main/java/com/cpf/gateway/runtime/DefaultCpfGatewayEntryPolicy.java|cpf-gateway/src/main/java/com/cpf/gateway/runtime/CpfGatewayEntryRuntimeApplier.java|cpf-gateway/src/main/java/com/cpf/gateway/scg/CpfScgPrimaryHandler.java|cpf-gateway/src/main/java/com/cpf/gateway/control/CpfGatewayControlListenerConfiguration.java|cpf-gateway/src/main/java/com/cpf/gateway/control/CpfGatewayPlaneBoundaryFilter.java|cpf-gateway/src/main/java/com/cpf/gateway/config/CpfGatewaySafetyProperties.java|cpf-gateway/src/main/java/com/cpf/gateway/config/CpfGatewaySafetyStartupValidator.java|cpf-gateway/src/main/resources/application.yml|cpf-reference/src/main/java/com/cpf/reference/gateway/ReferenceGatewayEntryOperations.java,External request → CpfScgPrimaryHandler.entryPolicy.evaluate → listener/TLS/protocol/maintenance decision → append-only audit recovery → backend or fail-closed response; approved Runtime Control → CpfGatewayEntryRuntimeApplier → DefaultCpfGatewayEntryPolicy expectedVersion CAS,DEV6D-ENTRY-SCOPE-OMISSION,Java21 Gateway Entry listener/TLS/protocol/maintenance/CAS/telemetry harness; Runtime Applier harness; Startup listener/TLS consistency harness; Reference consumer harness; semantic contract; Java static/secret/hygiene gates,Java25 Gradle; real TLS listener; 6A/6E/6F cross-session rows,50 complete candidates; 11 cross-session incomplete
GWY-ROUTING,CPF-FR-003234,CPF-FR-003294,61,CPF-SC-000637|CPF-SC-000638|CPF-SC-000639|CPF-SC-000640|CPF-SC-000641|CPF-SC-000642|CPF-SC-000643|CPF-SC-000644|CPF-SC-000645|CPF-SC-000646|CPF-SC-000647|CPF-SC-000648,366,cpf-core/src/main/java/com/cpf/core/api/gateway/**;cpf-gateway/src/main/java/com/cpf/gateway/route/**,cpf-core/src/main/java/com/cpf/core/api/gateway/**|cpf-gateway/src/main/java/com/cpf/gateway/route/**|cpf-gateway/src/main/java/com/cpf/gateway/registry/**|cpf-gateway/src/main/java/com/cpf/gateway/scg/CpfScgPrimaryHandler.java|cpf-gateway/src/main/java/com/cpf/gateway/runtime/CpfGatewayRouteSynchronizer.java|cpf-admin/src/main/java/com/cpf/admin/opr/gateway/**,External request → CpfScgPrimaryHandler → CpfScgTargetResolver/CpfGatewayRouteSnapshot → selected backend,,Gateway Semantic Contract PASS; policy/route/trust/UNKNOWN source and existing Test trace reviewed,Java25/full Gradle/real provider/official DB/browser as applicable,owned source fixes applied; formal runtime and cross-session rows separated
GWY-TRUST,CPF-FR-003295,CPF-FR-003355,61,CPF-SC-000649|CPF-SC-000650|CPF-SC-000651|CPF-SC-000652|CPF-SC-000653|CPF-SC-000654|CPF-SC-000655|CPF-SC-000656|CPF-SC-000657|CPF-SC-000658|CPF-SC-000659|CPF-SC-000660,28,cpf-core/src/main/java/com/cpf/core/api/gateway/**;cpf-gateway/src/main/java/com/cpf/gateway/config/**,cpf-core/src/main/java/com/cpf/core/api/gateway/**|cpf-gateway/src/main/java/com/cpf/gateway/config/**|cpf-gateway/src/main/java/com/cpf/gateway/control/**|cpf-gateway/src/main/java/com/cpf/gateway/scg/CpfScgPrimaryHandler.java|cpf-gateway/src/main/java/com/cpf/gateway/runtime/CpfApiClientSecurityPolicy.java,External request → CpfScgPrimaryHandler authN/authZ → trusted-header regeneration → backend,,Gateway Semantic Contract PASS; policy/route/trust/UNKNOWN source and existing Test trace reviewed,Java25/full Gradle/real provider/official DB/browser as applicable,owned source fixes applied; formal runtime and cross-session rows separated
GWY-RESILIENCE,CPF-FR-003356,CPF-FR-003416,61,CPF-SC-000661|CPF-SC-000662|CPF-SC-000663|CPF-SC-000664|CPF-SC-000665|CPF-SC-000666|CPF-SC-000667|CPF-SC-000668|CPF-SC-000669|CPF-SC-000670|CPF-SC-000671|CPF-SC-000672,42,cpf-core/src/main/java/com/cpf/core/api/gateway/CpfGatewayTargetSelectionPort.java;cpf-gateway/src/main/java/com/cpf/gateway/internal/resilience/**,cpf-core/src/main/java/com/cpf/core/api/gateway/CpfGatewayTargetSelectionPort.java|cpf-gateway/src/main/java/com/cpf/gateway/internal/resilience/**|cpf-gateway/src/main/java/com/cpf/gateway/runtime/CpfGatewayTargetSelector.java|cpf-gateway/src/main/java/com/cpf/gateway/runtime/CpfGatewayProbeExecutor.java|cpf-gateway/src/main/java/com/cpf/gateway/scg/CpfGatewayLedgerCompletionFilter.java|cpf-gateway/src/main/java/com/cpf/gateway/ledger/**,CpfScgPrimaryHandler.invokeWithRetry → CpfGatewayTargetSelector → attempt ledger/recovery spool,,Gateway Semantic Contract PASS; policy/route/trust/UNKNOWN source and existing Test trace reviewed,Java25/full Gradle/real provider/official DB/browser as applicable,owned source fixes applied; formal runtime and cross-session rows separated
API-LIMIT,CPF-FR-003417,CPF-FR-003477,61,CPF-SC-000673|CPF-SC-000674|CPF-SC-000675|CPF-SC-000676|CPF-SC-000677|CPF-SC-000678|CPF-SC-000679|CPF-SC-000680|CPF-SC-000681|CPF-SC-000682|CPF-SC-000683|CPF-SC-000684,14,cpf-core/src/main/java/com/cpf/core/api/gateway/CpfGatewayRateLimitPort.java;cpf-core/src/main/java/com/cpf/core/api/gateway/CpfGatewayRateLimitCounterPort.java,cpf-core/src/main/java/com/cpf/core/api/gateway/CpfGatewayRateLimitPort.java|cpf-core/src/main/java/com/cpf/core/api/gateway/CpfGatewayRateLimitCounterPort.java|cpf-gateway/src/main/java/com/cpf/gateway/runtime/CpfGatewayRuntimePolicy.java|cpf-gateway/src/main/java/com/cpf/gateway/runtime/InMemoryCpfGatewayRateLimitCounterAdapter.java|cpf-gateway/src/main/java/com/cpf/gateway/runtime/JdbcCpfGatewayRateLimitCounterAdapter.java|cpf-gateway/src/main/java/com/cpf/gateway/scg/CpfScgPrimaryHandler.java|cpf-reference/src/main/java/com/cpf/reference/gateway/ReferenceGatewayRateLimitEducationSample.java,CpfScgPrimaryHandler → CpfGatewayRuntimePolicy.acquire → CounterPort.consumeAtomically → 429/Retry-After or proxy,DEV6D-API-LIMIT-001|002|003,Java21 R5 atomic multi-scope/dedupe/request-hash/abuse/concurrency/strict-contract Harness PASS; JDBC batch R2 + request-hash R3 PASS; runtime-applier exact integer range PASS; semantic contract 16/16 PASS,DEVGPT-6E official Oracle/PostgreSQL/MariaDB request_hash schema/lifecycle; Java25 Gradle full build; real multi-instance DB/SCG runtime; DEVGPT-6A frontend/OpenAPI,6D source and alternative validation complete candidate; cross-session DB/frontend/build rows remain explicit
EXS-INST,CPF-FR-003478,CPF-FR-003538,61,CPF-SC-000685|CPF-SC-000686|CPF-SC-000687|CPF-SC-000688|CPF-SC-000689|CPF-SC-000690|CPF-SC-000691|CPF-SC-000692|CPF-SC-000693|CPF-SC-000694|CPF-SC-000695|CPF-SC-000696,14,cpf-core/src/main/java/com/cpf/core/api/servicecall/**;cpf-starters/integration/http-client/**,cpf-core/src/main/java/com/cpf/core/api/servicecall/**|cpf-starters/integration/http-client/**|cpf-reference/src/main/java/com/cpf/reference/external/**,ReferenceExternalIntegrationEducationSample → CpfWebClient/Service Call policy → institution endpoint,,exact-SHA Source/API/Consumer/Test static trace and semantic contract review; formal Runtime remains pending,Java25/full Gradle/real provider/official DB/browser as applicable,owned source fixes applied; formal runtime and cross-session rows separated
EXS-REST,CPF-FR-003539,CPF-FR-003599,61,CPF-SC-000697|CPF-SC-000698|CPF-SC-000699|CPF-SC-000700|CPF-SC-000701|CPF-SC-000702|CPF-SC-000703|CPF-SC-000704|CPF-SC-000705|CPF-SC-000706|CPF-SC-000707|CPF-SC-000708,0,cpf-core/src/main/java/com/cpf/core/api/http/**;cpf-starters/integration/http-client/**,cpf-core/src/main/java/com/cpf/core/api/http/**|cpf-starters/integration/http-client/**|cpf-reference/src/main/java/com/cpf/reference/external/**,Business consumer → CpfTypedHttpClient/CpfWebClient → HTTP provider,,exact-SHA Source/API/Consumer/Test static trace and semantic contract review; formal Runtime remains pending,Java25/full Gradle/real provider/official DB/browser as applicable,owned source fixes applied; formal runtime and cross-session rows separated
EXS-FIXED,CPF-FR-003600,CPF-FR-003660,61,CPF-SC-000709|CPF-SC-000710|CPF-SC-000711|CPF-SC-000712|CPF-SC-000713|CPF-SC-000714|CPF-SC-000715|CPF-SC-000716|CPF-SC-000717|CPF-SC-000718|CPF-SC-000719|CPF-SC-000720,0,cpf-core/src/main/java/com/cpf/core/api/fixedlength/**;cpf-starters/integration/fixedlength-core/**,cpf-core/src/main/java/com/cpf/core/api/fixedlength/**|cpf-starters/integration/fixedlength-core/**|cpf-starters/integration/fixedlength/**|cpf-reference/src/main/java/com/cpf/reference/telegram/**,Business telegram consumer → CpfFixedLengthCodec/Layout → TCP/HTTP transport,,exact-SHA Source/API/Consumer/Test static trace and semantic contract review; formal Runtime remains pending,Java25/full Gradle/real provider/official DB/browser as applicable,owned source fixes applied; formal runtime and cross-session rows separated
EXS-SEC,CPF-FR-003661,CPF-FR-003721,61,CPF-SC-000721|CPF-SC-000722|CPF-SC-000723|CPF-SC-000724|CPF-SC-000725|CPF-SC-000726|CPF-SC-000727|CPF-SC-000728|CPF-SC-000729|CPF-SC-000730|CPF-SC-000731|CPF-SC-000732,14,cpf-core/src/main/java/com/cpf/core/api/security/**;cpf-starters/integration/http-client/**,cpf-core/src/main/java/com/cpf/core/api/security/**|cpf-starters/integration/http-client/**|cpf-starters/integration/tcp/**|cpf-reference/src/main/java/com/cpf/reference/external/**,Business consumer → credential reference/TLS policy → external endpoint,,exact-SHA Source/API/Consumer/Test static trace and semantic contract review; formal Runtime remains pending,Java25/full Gradle/real provider/official DB/browser as applicable,owned source fixes applied; formal runtime and cross-session rows separated
EXS-FILE,CPF-FR-003722,CPF-FR-003782,61,CPF-SC-000733|CPF-SC-000734|CPF-SC-000735|CPF-SC-000736|CPF-SC-000737|CPF-SC-000738|CPF-SC-000739|CPF-SC-000740|CPF-SC-000741|CPF-SC-000742|CPF-SC-000743|CPF-SC-000744,14,cpf-core/src/main/java/com/cpf/core/api/filetransfer/**;cpf-reference/src/main/java/com/cpf/reference/filetransfer/**,cpf-core/src/main/java/com/cpf/core/api/filetransfer/**|cpf-reference/src/main/java/com/cpf/reference/filetransfer/**,Reference filetransfer consumer → CpfFileTransferClient/Operations → SFTP provider/ledger,,exact-SHA Source/API/Consumer/Test static trace and semantic contract review; formal Runtime remains pending,Java25/full Gradle/real provider/official DB/browser as applicable,owned source fixes applied; formal runtime and cross-session rows separated
