requirement_id,requirement,priority,QA_검수여부,QA_검수회차,QA_검사내용,QA_검수결과,QA_미통과사유,QA_재개발요청여부,QA_재개발대상역할,QA_재개발요청사유,QA_재개발요청내용,QA_재개발대상파일,QA_재실행명령,QA_성공기대결과,QA_실패판정기준,QA_요구Evidence,QA_미조치위험,QA_검수evidence,QA_검수이력경로,development_status,verification_status,baseline_sha,next_action,state_revision,updated_at,updated_by
FDEV-001,최신 master 기준선·관리 원장·검수 문서 정합성 재정리,P0,Y,R5I,self QA + peer R5 + exact master/source/package/evidence cross-validation,미통과,QA R5I findings: QA-R5I-001;QA-R5I-003;QA-R5I-020,Y,개발GPT,QA-R5I-001;QA-R5I-003;QA-R5I-020,QA_FINDINGS.csv와 QA_REWORK_REQUEST.md 해당 항목을 수정하고 같은 Requirement ID로 재제출,QA_FINDINGS.csv target_files 참조,QA_REWORK_REQUEST.md finding별 명령 참조,Requirement Acceptance와 연결된 모든 R5I finding 성공 기준 충족,"결함 잔존, 명령 실패, Evidence 누락/불일치, 또는 Target Runtime 미실행","exact SHA, clean working tree, command, environment/tool versions, start/end, exit code, sanitized stdout/stderr, artifact hash, runtime/concurrency/negative test",상용 Framework 보안·운영·복구·감사·재현성 미보장,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-001;QA-R5I-003;QA-R5I-020,cpf-docs/work/v9i/qa/r5i/QA_REPORT_R5I.md,부분 구현,실패,e7cc9ada86c871214a20862779f2433bc46fea1b,개발GPT 재개발 → 자체검수 → Codex 독립검수 → QA R6 전수 재검수,QA-R5I,2026-08-06T20:46:00+09:00,QA
FDEV-002,신규 ADM Service와 Crypto·Time·Data Quality·Webhook SPI의 실제 Spring Runtime Bean wiring 완성,P0,Y,R5I,self QA + peer R5 + exact master/source/package/evidence cross-validation,미통과,QA R5I findings: QA-R5I-006;QA-R5I-007,Y,개발GPT,QA-R5I-006;QA-R5I-007,QA_FINDINGS.csv와 QA_REWORK_REQUEST.md 해당 항목을 수정하고 같은 Requirement ID로 재제출,QA_FINDINGS.csv target_files 참조,QA_REWORK_REQUEST.md finding별 명령 참조,Requirement Acceptance와 연결된 모든 R5I finding 성공 기준 충족,"결함 잔존, 명령 실패, Evidence 누락/불일치, 또는 Target Runtime 미실행","exact SHA, clean working tree, command, environment/tool versions, start/end, exit code, sanitized stdout/stderr, artifact hash, runtime/concurrency/negative test",상용 Framework 보안·운영·복구·감사·재현성 미보장,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-006;QA-R5I-007,cpf-docs/work/v9i/qa/r5i/QA_REPORT_R5I.md,부분 구현,실패,e7cc9ada86c871214a20862779f2433bc46fea1b,개발GPT 재개발 → 자체검수 → Codex 독립검수 → QA R6 전수 재검수,QA-R5I,2026-08-06T20:46:00+09:00,QA
FDEV-003,위험 정정 API의 Client Boolean 승인 제거 및 서버 검증 승인·권한·감사·멱등성 구현,P0,Y,R5I,self QA + peer R5 + exact master/source/package/evidence cross-validation,미통과,QA R5I findings: QA-R5I-005;QA-R5I-006;QA-R5I-007;QA-R5I-009;QA-R5I-010;QA-R5I-011;QA-R5I-012;QA-R5I-013;QA-R5I-014;QA-R5I-021;QA-R5I-023;QA-R5I-025;QA-R5I-026;QA-R5I-027;QA-R5I-028,Y,개발GPT,QA-R5I-005;QA-R5I-006;QA-R5I-007;QA-R5I-009;QA-R5I-010;QA-R5I-011;QA-R5I-012;QA-R5I-013;QA-R5I-014;QA-R5I-021;QA-R5I-023;QA-R5I-025;QA-R5I-026;QA-R5I-027;QA-R5I-028,QA_FINDINGS.csv와 QA_REWORK_REQUEST.md 해당 항목을 수정하고 같은 Requirement ID로 재제출,QA_FINDINGS.csv target_files 참조,QA_REWORK_REQUEST.md finding별 명령 참조,Requirement Acceptance와 연결된 모든 R5I finding 성공 기준 충족,"결함 잔존, 명령 실패, Evidence 누락/불일치, 또는 Target Runtime 미실행","exact SHA, clean working tree, command, environment/tool versions, start/end, exit code, sanitized stdout/stderr, artifact hash, runtime/concurrency/negative test",상용 Framework 보안·운영·복구·감사·재현성 미보장,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-005;QA-R5I-006;QA-R5I-007;QA-R5I-009;QA-R5I-010;QA-R5I-011;QA-R5I-012;QA-R5I-013;QA-R5I-014;QA-R5I-021;QA-R5I-023;QA-R5I-025;QA-R5I-026;QA-R5I-027;QA-R5I-028,cpf-docs/work/v9i/qa/r5i/QA_REPORT_R5I.md,부분 구현,실패,e7cc9ada86c871214a20862779f2433bc46fea1b,개발GPT 재개발 → 자체검수 → Codex 독립검수 → QA R6 전수 재검수,QA-R5I,2026-08-06T20:46:00+09:00,QA
FDEV-004,Java 25·Gradle 9.1 fresh clone 전체 Build·Test·Publication 실실행,P0,Y,R5I,self QA + peer R5 + exact master/source/package/evidence cross-validation,미통과,QA R5I findings: QA-R5I-002;QA-R5I-022,Y,개발GPT,QA-R5I-002;QA-R5I-022,QA_FINDINGS.csv와 QA_REWORK_REQUEST.md 해당 항목을 수정하고 같은 Requirement ID로 재제출,QA_FINDINGS.csv target_files 참조,QA_REWORK_REQUEST.md finding별 명령 참조,Requirement Acceptance와 연결된 모든 R5I finding 성공 기준 충족,"결함 잔존, 명령 실패, Evidence 누락/불일치, 또는 Target Runtime 미실행","exact SHA, clean working tree, command, environment/tool versions, start/end, exit code, sanitized stdout/stderr, artifact hash, runtime/concurrency/negative test",상용 Framework 보안·운영·복구·감사·재현성 미보장,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-002;QA-R5I-022,cpf-docs/work/v9i/qa/r5i/QA_REPORT_R5I.md,미검증,미검증,e7cc9ada86c871214a20862779f2433bc46fea1b,개발GPT 재개발 → 자체검수 → Codex 독립검수 → QA R6 전수 재검수,QA-R5I,2026-08-06T20:46:00+09:00,QA
FDEV-005,Oracle·PostgreSQL·MariaDB 실제 Install·Migration·Upgrade·Rollback·Drift 전수 실행,P0,Y,R5I,self QA + peer R5 + exact master/source/package/evidence cross-validation,미통과,QA R5I findings: QA-R5I-002;QA-R5I-015;QA-R5I-027,Y,개발GPT,QA-R5I-002;QA-R5I-015;QA-R5I-027,QA_FINDINGS.csv와 QA_REWORK_REQUEST.md 해당 항목을 수정하고 같은 Requirement ID로 재제출,QA_FINDINGS.csv target_files 참조,QA_REWORK_REQUEST.md finding별 명령 참조,Requirement Acceptance와 연결된 모든 R5I finding 성공 기준 충족,"결함 잔존, 명령 실패, Evidence 누락/불일치, 또는 Target Runtime 미실행","exact SHA, clean working tree, command, environment/tool versions, start/end, exit code, sanitized stdout/stderr, artifact hash, runtime/concurrency/negative test",상용 Framework 보안·운영·복구·감사·재현성 미보장,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-002;QA-R5I-015;QA-R5I-027,cpf-docs/work/v9i/qa/r5i/QA_REPORT_R5I.md,부분 구현,실패,e7cc9ada86c871214a20862779f2433bc46fea1b,개발GPT 재개발 → 자체검수 → Codex 독립검수 → QA R6 전수 재검수,QA-R5I,2026-08-06T20:46:00+09:00,QA
FDEV-006,Broker·다중 인스턴스·분리 WAS·Process Kill·부분 실패·UNKNOWN 복구 Runtime 전수 검증,P0,Y,R5I,self QA + peer R5 + exact master/source/package/evidence cross-validation,미통과,QA R5I findings: QA-R5I-002,Y,개발GPT,QA-R5I-002,QA_FINDINGS.csv와 QA_REWORK_REQUEST.md 해당 항목을 수정하고 같은 Requirement ID로 재제출,QA_FINDINGS.csv target_files 참조,QA_REWORK_REQUEST.md finding별 명령 참조,Requirement Acceptance와 연결된 모든 R5I finding 성공 기준 충족,"결함 잔존, 명령 실패, Evidence 누락/불일치, 또는 Target Runtime 미실행","exact SHA, clean working tree, command, environment/tool versions, start/end, exit code, sanitized stdout/stderr, artifact hash, runtime/concurrency/negative test",상용 Framework 보안·운영·복구·감사·재현성 미보장,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-002,cpf-docs/work/v9i/qa/r5i/QA_REPORT_R5I.md,미검증,미검증,e7cc9ada86c871214a20862779f2433bc46fea1b,개발GPT 재개발 → 자체검수 → Codex 독립검수 → QA R6 전수 재검수,QA-R5I,2026-08-06T20:46:00+09:00,QA
FDEV-007,공식 Module Ownership·Public API/SPI/Internal 경계·의존성 방향 전수 재검수,P1,Y,R5I,self QA + peer R5 + exact master/source/package/evidence cross-validation,미통과,QA R5I findings: QA-R5I-019;QA-R5I-021;QA-R5I-025,Y,개발GPT,QA-R5I-019;QA-R5I-021;QA-R5I-025,QA_FINDINGS.csv와 QA_REWORK_REQUEST.md 해당 항목을 수정하고 같은 Requirement ID로 재제출,QA_FINDINGS.csv target_files 참조,QA_REWORK_REQUEST.md finding별 명령 참조,Requirement Acceptance와 연결된 모든 R5I finding 성공 기준 충족,"결함 잔존, 명령 실패, Evidence 누락/불일치, 또는 Target Runtime 미실행","exact SHA, clean working tree, command, environment/tool versions, start/end, exit code, sanitized stdout/stderr, artifact hash, runtime/concurrency/negative test",상용 Framework 보안·운영·복구·감사·재현성 미보장,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-019;QA-R5I-021;QA-R5I-025,cpf-docs/work/v9i/qa/r5i/QA_REPORT_R5I.md,부분 구현,실패,e7cc9ada86c871214a20862779f2433bc46fea1b,개발GPT 재개발 → 자체검수 → Codex 독립검수 → QA R6 전수 재검수,QA-R5I,2026-08-06T20:46:00+09:00,QA
FDEV-008,신규·변경 Framework 계약의 실제 Consumer와 전체 호출 경로 전수 연결,P1,Y,R5I,self QA + peer R5 + exact master/source/package/evidence cross-validation,미통과,QA R5I findings: QA-R5I-005;QA-R5I-021;QA-R5I-025,Y,개발GPT,QA-R5I-005;QA-R5I-021;QA-R5I-025,QA_FINDINGS.csv와 QA_REWORK_REQUEST.md 해당 항목을 수정하고 같은 Requirement ID로 재제출,QA_FINDINGS.csv target_files 참조,QA_REWORK_REQUEST.md finding별 명령 참조,Requirement Acceptance와 연결된 모든 R5I finding 성공 기준 충족,"결함 잔존, 명령 실패, Evidence 누락/불일치, 또는 Target Runtime 미실행","exact SHA, clean working tree, command, environment/tool versions, start/end, exit code, sanitized stdout/stderr, artifact hash, runtime/concurrency/negative test",상용 Framework 보안·운영·복구·감사·재현성 미보장,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-005;QA-R5I-021;QA-R5I-025,cpf-docs/work/v9i/qa/r5i/QA_REPORT_R5I.md,부분 구현,실패,e7cc9ada86c871214a20862779f2433bc46fea1b,개발GPT 재개발 → 자체검수 → Codex 독립검수 → QA R6 전수 재검수,QA-R5I,2026-08-06T20:46:00+09:00,QA
FDEV-009,Outbox·Webhook·Notification·Incident 비동기 Lifecycle와 DLQ/UNKNOWN/Reconcile 완성,P1,Y,R5I,self QA + peer R5 + exact master/source/package/evidence cross-validation,미통과,QA R5I findings: QA-R5I-011;QA-R5I-012,Y,개발GPT,QA-R5I-011;QA-R5I-012,QA_FINDINGS.csv와 QA_REWORK_REQUEST.md 해당 항목을 수정하고 같은 Requirement ID로 재제출,QA_FINDINGS.csv target_files 참조,QA_REWORK_REQUEST.md finding별 명령 참조,Requirement Acceptance와 연결된 모든 R5I finding 성공 기준 충족,"결함 잔존, 명령 실패, Evidence 누락/불일치, 또는 Target Runtime 미실행","exact SHA, clean working tree, command, environment/tool versions, start/end, exit code, sanitized stdout/stderr, artifact hash, runtime/concurrency/negative test",상용 Framework 보안·운영·복구·감사·재현성 미보장,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-011;QA-R5I-012,cpf-docs/work/v9i/qa/r5i/QA_REPORT_R5I.md,부분 구현,실패,e7cc9ada86c871214a20862779f2433bc46fea1b,개발GPT 재개발 → 자체검수 → Codex 독립검수 → QA R6 전수 재검수,QA-R5I,2026-08-06T20:46:00+09:00,QA
FDEV-010,Batch·Scheduler·Worker·Center-Cut 상태기계와 운영 복구 기능 전수 완성,P1,Y,R5I,self QA + peer R5 + exact master/source/package/evidence cross-validation,미통과,QA R5I findings: QA-R5I-002,Y,개발GPT,QA-R5I-002,QA_FINDINGS.csv와 QA_REWORK_REQUEST.md 해당 항목을 수정하고 같은 Requirement ID로 재제출,QA_FINDINGS.csv target_files 참조,QA_REWORK_REQUEST.md finding별 명령 참조,Requirement Acceptance와 연결된 모든 R5I finding 성공 기준 충족,"결함 잔존, 명령 실패, Evidence 누락/불일치, 또는 Target Runtime 미실행","exact SHA, clean working tree, command, environment/tool versions, start/end, exit code, sanitized stdout/stderr, artifact hash, runtime/concurrency/negative test",상용 Framework 보안·운영·복구·감사·재현성 미보장,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-002,cpf-docs/work/v9i/qa/r5i/QA_REPORT_R5I.md,재확인 필요,미검증,e7cc9ada86c871214a20862779f2433bc46fea1b,개발GPT 재개발 → 자체검수 → Codex 독립검수 → QA R6 전수 재검수,QA-R5I,2026-08-06T20:46:00+09:00,QA
