path,pages,ok_open,encrypted,likely_scanned,xfa_present,warning_count,warnings
cpf-docs/guides/00_프레임워크안내.pdf,16,True,False,False,False,0,
cpf-docs/guides/01_개발자매뉴얼.pdf,39,True,False,False,False,0,
cpf-docs/guides/02_배치개발매뉴얼.pdf,29,True,False,False,False,0,
cpf-docs/guides/03_ADM개발자매뉴얼.pdf,12,True,False,False,False,0,
cpf-docs/guides/04_ADM운영자매뉴얼.pdf,160,True,False,False,False,0,
cpf-docs/guides/05_플랫폼운영매뉴얼.pdf,108,True,False,False,False,0,
cpf-docs/guides/90_BZA매뉴얼.pdf,13,True,False,False,False,0,
cpf-docs/guides/91_Gateway매뉴얼.pdf,9,True,False,False,False,0,
cpf-docs/deliverables/기술사양서.pdf,16,True,False,False,False,0,
cpf-docs/deliverables/기술표준서.pdf,15,True,False,False,False,0,
cpf-docs/deliverables/데이터베이스표준서.pdf,15,True,False,False,False,0,
cpf-docs/deliverables/산출물목록.pdf,11,True,False,False,False,0,
cpf-docs/deliverables/아키텍처설계서.pdf,23,True,False,False,False,0,
