path,change_type,basis_sha,note
cpf-docs/deliverables/기술사양서.docx,MODIFIED,cd5baccb02245a980e5998aa0dc9bac579fc019f,07_04 currentization / R6J release boundary / formatting QA
cpf-docs/deliverables/기술사양서.pdf,MODIFIED,cd5baccb02245a980e5998aa0dc9bac579fc019f,07_04 currentization / R6J release boundary / formatting QA
cpf-docs/deliverables/기술표준서.docx,MODIFIED,cd5baccb02245a980e5998aa0dc9bac579fc019f,07_04 currentization / R6J release boundary / formatting QA
cpf-docs/deliverables/기술표준서.pdf,MODIFIED,cd5baccb02245a980e5998aa0dc9bac579fc019f,07_04 currentization / R6J release boundary / formatting QA
cpf-docs/deliverables/데이터베이스표준서.docx,MODIFIED,cd5baccb02245a980e5998aa0dc9bac579fc019f,07_04 currentization / R6J release boundary / formatting QA
cpf-docs/deliverables/데이터베이스표준서.pdf,MODIFIED,cd5baccb02245a980e5998aa0dc9bac579fc019f,07_04 currentization / R6J release boundary / formatting QA
cpf-docs/deliverables/산출물목록.docx,MODIFIED,cd5baccb02245a980e5998aa0dc9bac579fc019f,07_04 currentization / R6J release boundary / formatting QA
cpf-docs/deliverables/산출물목록.pdf,MODIFIED,cd5baccb02245a980e5998aa0dc9bac579fc019f,07_04 currentization / R6J release boundary / formatting QA
cpf-docs/deliverables/아키텍처설계서.docx,MODIFIED,cd5baccb02245a980e5998aa0dc9bac579fc019f,07_04 currentization / R6J release boundary / formatting QA
cpf-docs/deliverables/아키텍처설계서.pdf,MODIFIED,cd5baccb02245a980e5998aa0dc9bac579fc019f,07_04 currentization / R6J release boundary / formatting QA
cpf-docs/guides/00_프레임워크안내.docx,MODIFIED,cd5baccb02245a980e5998aa0dc9bac579fc019f,07_04 currentization / R6J release boundary / formatting QA
cpf-docs/guides/00_프레임워크안내.pdf,MODIFIED,cd5baccb02245a980e5998aa0dc9bac579fc019f,07_04 currentization / R6J release boundary / formatting QA
cpf-docs/guides/01_개발자매뉴얼.docx,MODIFIED,cd5baccb02245a980e5998aa0dc9bac579fc019f,07_04 currentization / R6J release boundary / formatting QA
cpf-docs/guides/01_개발자매뉴얼.pdf,MODIFIED,cd5baccb02245a980e5998aa0dc9bac579fc019f,07_04 currentization / R6J release boundary / formatting QA
cpf-docs/guides/02_배치개발매뉴얼.docx,MODIFIED,cd5baccb02245a980e5998aa0dc9bac579fc019f,07_04 currentization / R6J release boundary / formatting QA
cpf-docs/guides/02_배치개발매뉴얼.pdf,MODIFIED,cd5baccb02245a980e5998aa0dc9bac579fc019f,07_04 currentization / R6J release boundary / formatting QA
cpf-docs/guides/03_ADM개발자매뉴얼.docx,MODIFIED,cd5baccb02245a980e5998aa0dc9bac579fc019f,07_04 currentization / R6J release boundary / formatting QA
cpf-docs/guides/03_ADM개발자매뉴얼.pdf,MODIFIED,cd5baccb02245a980e5998aa0dc9bac579fc019f,07_04 currentization / R6J release boundary / formatting QA
cpf-docs/guides/04_ADM운영자매뉴얼.docx,MODIFIED,cd5baccb02245a980e5998aa0dc9bac579fc019f,07_04 currentization / R6J release boundary / formatting QA
cpf-docs/guides/04_ADM운영자매뉴얼.pdf,MODIFIED,cd5baccb02245a980e5998aa0dc9bac579fc019f,07_04 currentization / R6J release boundary / formatting QA
cpf-docs/guides/05_플랫폼운영매뉴얼.docx,MODIFIED,cd5baccb02245a980e5998aa0dc9bac579fc019f,07_04 currentization / R6J release boundary / formatting QA
cpf-docs/guides/05_플랫폼운영매뉴얼.pdf,MODIFIED,cd5baccb02245a980e5998aa0dc9bac579fc019f,07_04 currentization / R6J release boundary / formatting QA
cpf-docs/guides/90_BZA매뉴얼.docx,MODIFIED,cd5baccb02245a980e5998aa0dc9bac579fc019f,07_04 currentization / R6J release boundary / formatting QA
cpf-docs/guides/90_BZA매뉴얼.pdf,MODIFIED,cd5baccb02245a980e5998aa0dc9bac579fc019f,07_04 currentization / R6J release boundary / formatting QA
cpf-docs/guides/91_Gateway매뉴얼.docx,MODIFIED,cd5baccb02245a980e5998aa0dc9bac579fc019f,07_04 currentization / R6J release boundary / formatting QA
cpf-docs/guides/91_Gateway매뉴얼.pdf,MODIFIED,cd5baccb02245a980e5998aa0dc9bac579fc019f,07_04 currentization / R6J release boundary / formatting QA
cpf-docs/specification/CPF_DOCUMENTATION_STANDARD.md,MODIFIED,cd5baccb02245a980e5998aa0dc9bac579fc019f,07_04 currentization / R6J release boundary / formatting QA
cpf-docs/deliverables/evidence/doc-r20/APPLY_AND_ROLLBACK.md,NEW,cd5baccb02245a980e5998aa0dc9bac579fc019f,R20 evidence
cpf-docs/deliverables/evidence/doc-r20/BASELINE.md,NEW,cd5baccb02245a980e5998aa0dc9bac579fc019f,R20 evidence
cpf-docs/deliverables/evidence/doc-r20/CHANGE_MANIFEST.csv,NEW,cd5baccb02245a980e5998aa0dc9bac579fc019f,R20 evidence
cpf-docs/deliverables/evidence/doc-r20/CURRENT_PRODUCT_STATUS.md,NEW,cd5baccb02245a980e5998aa0dc9bac579fc019f,R20 evidence
cpf-docs/deliverables/evidence/doc-r20/DELETE_MANIFEST.txt,NEW,cd5baccb02245a980e5998aa0dc9bac579fc019f,R20 evidence
