new_id,kind,source_set,area,section,title,requirement_or_setup,validation_or_expected,root_cause_key,dedup_status,merged_into,match_score,dedup_reason,closing_status,closing_evidence
CPF-QA-NQA-REQ-001,REQUIREMENT,NQA20260729,GEN,CPF 추가 통합 QA 요구사항 > 1. 문서 목적,기존 CPF 패키지·Module·Generator 표준이 실제로 일관되게 적용됐는지,기존 CPF 패키지·Module·Generator 표준이 실제로 일관되게 적용됐는지,CPF 추가 통합 QA 요구사항 > 1. 문서 목적 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,GEN|generated-domain-parity|fde975d8f7,UNIQUE,,0.0606,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-002,REQUIREMENT,NQA20260729,FND,CPF 추가 통합 QA 요구사항 > 1. 문서 목적,기존 표준 자체에 구조적 문제가 있는지,기존 표준 자체에 구조적 문제가 있는지,CPF 추가 통합 QA 요구사항 > 1. 문서 목적 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,FND|integrated-product-structure|bfbc0a7315,UNIQUE,,0.0455,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-003,REQUIREMENT,NQA20260729,GEN,CPF 추가 통합 QA 요구사항 > 1. 문서 목적,ACC·MBR·EXS 등 Generated Domain이 동일한 표준 구조를 따르는지,ACC·MBR·EXS 등 Generated Domain이 동일한 표준 구조를 따르는지,CPF 추가 통합 QA 요구사항 > 1. 문서 목적 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,GEN|generated-domain-parity|f3eeaa199c,UNIQUE,,0.0714,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-004,REQUIREMENT,NQA20260729,FND,CPF 추가 통합 QA 요구사항 > 1. 문서 목적,각 업무 Domain 내부가 실제 업무 기능 단위로 적절하게 세분화됐는지,각 업무 Domain 내부가 실제 업무 기능 단위로 적절하게 세분화됐는지,CPF 추가 통합 QA 요구사항 > 1. 문서 목적 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,FND|integrated-product-structure|61a4c5e851,UNIQUE,,0.0588,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-005,REQUIREMENT,NQA20260729,BZA,CPF 추가 통합 QA 요구사항 > 1. 문서 목적,ADM·BZA 메뉴와 UI에 실제 기능이 빠짐없이 녹아 있는지,ADM·BZA 메뉴와 UI에 실제 기능이 빠짐없이 녹아 있는지,CPF 추가 통합 QA 요구사항 > 1. 문서 목적 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,BZA|bza-tree-permission-ui|f71715cf66,UNIQUE,,0.1538,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-006,REQUIREMENT,NQA20260729,SEC,CPF 추가 통합 QA 요구사항 > 1. 문서 목적,"버튼별 권한, 업로드·다운로드, 원격 작업 결과·실패 원인이 구현됐는지","버튼별 권한, 업로드·다운로드, 원격 작업 결과·실패 원인이 구현됐는지",CPF 추가 통합 QA 요구사항 > 1. 문서 목적 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,SEC|action-permission-parity|ebb30c0672,UNIQUE,,0.0625,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-007,REQUIREMENT,NQA20260729,HYG,CPF 추가 통합 QA 요구사항 > 1. 문서 목적,"Dead Code, Legacy, 중복 구현, 임시 Source, Stale 문서와 Evidence가 제거됐는지","Dead Code, Legacy, 중복 구현, 임시 Source, Stale 문서와 Evidence가 제거됐는지",CPF 추가 통합 QA 요구사항 > 1. 문서 목적 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,HYG|repository-legacy-hygiene|4238b18810,UNIQUE,,0.1471,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-008,REQUIREMENT,NQA20260729,HYG,CPF 추가 통합 QA 요구사항 > 1. 문서 목적,동일한 구조 문제가 다시 생기지 않도록 자동 Architecture·Hygiene Gate가 있는지,동일한 구조 문제가 다시 생기지 않도록 자동 Architecture·Hygiene Gate가 있는지,CPF 추가 통합 QA 요구사항 > 1. 문서 목적 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,HYG|repository-legacy-hygiene|e61efacfa1,UNIQUE,,0.0714,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-009,REQUIREMENT,NQA20260729,GOV,2. 최우선 원칙 > 2.1 정본 우선,기존 표준의 구체적인 문제,기존 표준의 구체적인 문제,2. 최우선 원칙 > 2.1 정본 우선 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,GOV|qa-governance-traceability|22b55bc4bb,UNIQUE,,0.0909,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-010,REQUIREMENT,NQA20260729,GOV,2. 최우선 원칙 > 2.1 정본 우선,실제 발생한 변경 영향,실제 발생한 변경 영향,2. 최우선 원칙 > 2.1 정본 우선 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,GOV|qa-governance-traceability|03137d4014,UNIQUE,,0.1250,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-011,REQUIREMENT,NQA20260729,GOV,2. 최우선 원칙 > 2.1 정본 우선,잘못된 의존성,잘못된 의존성,2. 최우선 원칙 > 2.1 정본 우선 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,GOV|qa-governance-traceability|29a0b8ac93,UNIQUE,,0.1000,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-012,REQUIREMENT,NQA20260729,ARC,2. 최우선 원칙 > 2.1 정본 우선,Package 비대화,Package 비대화,2. 최우선 원칙 > 2.1 정본 우선 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,ARC|module-package-ownership|7c229f19c0,UNIQUE,,0.1250,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-013,REQUIREMENT,NQA20260729,GOV,2. 최우선 원칙 > 2.1 정본 우선,업무 기능 혼재,업무 기능 혼재,2. 최우선 원칙 > 2.1 정본 우선 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,GOV|qa-governance-traceability|e4b1188ce9,UNIQUE,,0.0345,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-014,REQUIREMENT,NQA20260729,GEN,2. 최우선 원칙 > 2.1 정본 우선,Generator Drift,Generator Drift,2. 최우선 원칙 > 2.1 정본 우선 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,GEN|generated-domain-parity|9847323305,UNIQUE,,0.1429,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-015,REQUIREMENT,NQA20260729,GOV,2. 최우선 원칙 > 2.1 정본 우선,Consumer 결합,Consumer 결합,2. 최우선 원칙 > 2.1 정본 우선 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,GOV|qa-governance-traceability|7dcf1cd992,UNIQUE,,0.0625,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-016,REQUIREMENT,NQA20260729,GOV,2. 최우선 원칙 > 2.1 정본 우선,Test 곤란,Test 곤란,2. 최우선 원칙 > 2.1 정본 우선 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,GOV|qa-governance-traceability|21eb36c43a,UNIQUE,,0.1667,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-017,REQUIREMENT,NQA20260729,GOV,2. 최우선 원칙 > 2.1 정본 우선,운영·배포 영향,운영·배포 영향,2. 최우선 원칙 > 2.1 정본 우선 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,GOV|qa-governance-traceability|a6fe54da7d,UNIQUE,,0.0833,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-018,REQUIREMENT,NQA20260729,GOV,2. 최우선 원칙 > 2.1 정본 우선,대체안의 장단점,대체안의 장단점,2. 최우선 원칙 > 2.1 정본 우선 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,GOV|qa-governance-traceability|14262968d9,UNIQUE,,0.0000,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-019,REQUIREMENT,NQA20260729,GOV,2. 최우선 원칙 > 2.1 정본 우선,Migration 범위,Migration 범위,2. 최우선 원칙 > 2.1 정본 우선 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,GOV|qa-governance-traceability|db2f94d382,UNIQUE,,0.1429,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-020,REQUIREMENT,NQA20260729,ARC,2. 최우선 원칙 > 2.2 확인 전 변경 금지,새로운 공통 Package 체계 일괄 적용,새로운 공통 Package 체계 일괄 적용,2. 최우선 원칙 > 2.2 확인 전 변경 금지 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,ARC|module-package-ownership|5da8d87223,UNIQUE,,0.0909,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-021,REQUIREMENT,NQA20260729,ARC,2. 최우선 원칙 > 2.2 확인 전 변경 금지,기존 Package 대량 이동,기존 Package 대량 이동,2. 최우선 원칙 > 2.2 확인 전 변경 금지 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,ARC|module-package-ownership|dab4299baa,UNIQUE,,0.1250,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-022,REQUIREMENT,NQA20260729,FND,2. 최우선 원칙 > 2.2 확인 전 변경 금지,ACC만 별도 구조로 변경,ACC만 별도 구조로 변경,2. 최우선 원칙 > 2.2 확인 전 변경 금지 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,FND|integrated-product-structure|5313a13131,UNIQUE,,0.1111,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-023,REQUIREMENT,NQA20260729,FND,2. 최우선 원칙 > 2.2 확인 전 변경 금지,MBR·ACC·EXS에 서로 다른 기술 구조 적용,MBR·ACC·EXS에 서로 다른 기술 구조 적용,2. 최우선 원칙 > 2.2 확인 전 변경 금지 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,FND|integrated-product-structure|d49fdd0920,UNIQUE,,0.1429,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-024,REQUIREMENT,NQA20260729,ARC,2. 최우선 원칙 > 2.2 확인 전 변경 금지,Package명만 보고 Source 일괄 삭제,Package명만 보고 Source 일괄 삭제,2. 최우선 원칙 > 2.2 확인 전 변경 금지 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,ARC|module-package-ownership|ff39130635,UNIQUE,,0.1000,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-025,REQUIREMENT,NQA20260729,GEN,2. 최우선 원칙 > 2.2 확인 전 변경 금지,Generator 관리영역 직접 수정,Generator 관리영역 직접 수정,2. 최우선 원칙 > 2.2 확인 전 변경 금지 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,GEN|generated-domain-parity|54fb129d33,UNIQUE,,0.1250,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-026,REQUIREMENT,NQA20260729,HYG,2. 최우선 원칙 > 2.2 확인 전 변경 금지,Legacy 제거 명목의 재귀 삭제,Legacy 제거 명목의 재귀 삭제,2. 최우선 원칙 > 2.2 확인 전 변경 금지 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,HYG|repository-legacy-hygiene|d709d2285e,UNIQUE,,0.0909,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-027,REQUIREMENT,NQA20260729,ARC,2. 최우선 원칙 > 2.3 기존 표준에 문제가 없는 경우,Module Ownership이 명확함,Module Ownership이 명확함,2. 최우선 원칙 > 2.3 기존 표준에 문제가 없는 경우 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,ARC|module-package-ownership|43f50a0101,UNIQUE,,0.1250,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-028,REQUIREMENT,NQA20260729,FND,2. 최우선 원칙 > 2.3 기존 표준에 문제가 없는 경우,기능 간 의존 방향이 올바름,기능 간 의존 방향이 올바름,2. 최우선 원칙 > 2.3 기존 표준에 문제가 없는 경우 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,FND|integrated-product-structure|5d59a50ae4,UNIQUE,,0.0370,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-029,REQUIREMENT,NQA20260729,FND,2. 최우선 원칙 > 2.3 기존 표준에 문제가 없는 경우,업무 기능 간 응집도가 높음,업무 기능 간 응집도가 높음,2. 최우선 원칙 > 2.3 기존 표준에 문제가 없는 경우 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,FND|integrated-product-structure|a7c1af905b,UNIQUE,,0.0278,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-030,REQUIREMENT,NQA20260729,ARC,2. 최우선 원칙 > 2.3 기존 표준에 문제가 없는 경우,Public API·SPI·Internal 경계가 명확함,Public API·SPI·Internal 경계가 명확함,2. 최우선 원칙 > 2.3 기존 표준에 문제가 없는 경우 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,ARC|public-api-spi-internal|7ec9fcfb66,UNIQUE,,0.1290,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-031,REQUIREMENT,NQA20260729,GEN,2. 최우선 원칙 > 2.3 기존 표준에 문제가 없는 경우,Generator로 동일 구조가 재현됨,Generator로 동일 구조가 재현됨,2. 최우선 원칙 > 2.3 기존 표준에 문제가 없는 경우 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,GEN|generated-domain-parity|b87d6346b1,UNIQUE,,0.1250,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-032,REQUIREMENT,NQA20260729,FND,2. 최우선 원칙 > 2.3 기존 표준에 문제가 없는 경우,MBR·ACC·EXS의 normalized 구조가 일치함,MBR·ACC·EXS의 normalized 구조가 일치함,2. 최우선 원칙 > 2.3 기존 표준에 문제가 없는 경우 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,FND|integrated-product-structure|2f4eb67eb7,UNIQUE,,0.0645,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-033,REQUIREMENT,NQA20260729,FND,2. 최우선 원칙 > 2.3 기존 표준에 문제가 없는 경우,Local·Remote 양쪽에서 동일 Contract가 성립함,Local·Remote 양쪽에서 동일 Contract가 성립함,2. 최우선 원칙 > 2.3 기존 표준에 문제가 없는 경우 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,FND|integrated-product-structure|d488a038ea,UNIQUE,,0.0968,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-034,REQUIREMENT,NQA20260729,GEN,2. 최우선 원칙 > 2.3 기존 표준에 문제가 없는 경우,SQL·Test·Guide·Generator가 같은 구조를 따름,SQL·Test·Guide·Generator가 같은 구조를 따름,2. 최우선 원칙 > 2.3 기존 표준에 문제가 없는 경우 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,GEN|generated-domain-parity|c4c295d194,UNIQUE,,0.0909,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-035,REQUIREMENT,NQA20260729,FND,2. 최우선 원칙 > 2.3 기존 표준에 문제가 없는 경우,신규 Domain 추가 시 중앙 Source 수정이 불필요함,신규 Domain 추가 시 중앙 Source 수정이 불필요함,2. 최우선 원칙 > 2.3 기존 표준에 문제가 없는 경우 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,FND|integrated-product-structure|1f9515ce13,UNIQUE,,0.0714,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-036,REQUIREMENT,NQA20260729,ARC,3. CPF 전체 Module Ownership 전수 검수,`cpf-core`,`cpf-core`,3. CPF 전체 Module Ownership 전수 검수 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,ARC|module-package-ownership|9af5e11761,UNIQUE,,0.1538,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-037,REQUIREMENT,NQA20260729,ARC,3. CPF 전체 Module Ownership 전수 검수,`cpf-common`,`cpf-common`,3. CPF 전체 Module Ownership 전수 검수 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,ARC|module-package-ownership|a166cf50f7,UNIQUE,,0.1538,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-038,REQUIREMENT,NQA20260729,ARC,3. CPF 전체 Module Ownership 전수 검수,`cpf-admin`,`cpf-admin`,3. CPF 전체 Module Ownership 전수 검수 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,ARC|module-package-ownership|c73ee92033,UNIQUE,,0.0606,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-039,REQUIREMENT,NQA20260729,ARC,3. CPF 전체 Module Ownership 전수 검수,`cpf-biz-admin`,`cpf-biz-admin`,3. CPF 전체 Module Ownership 전수 검수 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,ARC|module-package-ownership|a10af30b49,UNIQUE,,0.0882,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-040,REQUIREMENT,NQA20260729,ARC,3. CPF 전체 Module Ownership 전수 검수,`cpf-batch`,`cpf-batch`,3. CPF 전체 Module Ownership 전수 검수 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,ARC|module-package-ownership|2f609f771f,UNIQUE,,0.0833,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-041,REQUIREMENT,NQA20260729,ARC,3. CPF 전체 Module Ownership 전수 검수,`cpf-gateway`,`cpf-gateway`,3. CPF 전체 Module Ownership 전수 검수 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,ARC|module-package-ownership|3ed052b4e4,UNIQUE,,0.1538,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-042,REQUIREMENT,NQA20260729,ARC,3. CPF 전체 Module Ownership 전수 검수,기타 공식 `cpf-*` Module,기타 공식 `cpf-*` Module,3. CPF 전체 Module Ownership 전수 검수 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,ARC|module-package-ownership|5e66412d94,UNIQUE,,0.0556,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-043,REQUIREMENT,NQA20260729,ARC,3. CPF 전체 Module Ownership 전수 검수,MBR 업무 Domain,MBR 업무 Domain,3. CPF 전체 Module Ownership 전수 검수 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,ARC|module-package-ownership|75780e4cb9,UNIQUE,,0.0714,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-044,REQUIREMENT,NQA20260729,ARC,3. CPF 전체 Module Ownership 전수 검수,ACC 업무 Domain,ACC 업무 Domain,3. CPF 전체 Module Ownership 전수 검수 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,ARC|module-package-ownership|dcb1268ef0,UNIQUE,,0.0714,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-045,REQUIREMENT,NQA20260729,ARC,3. CPF 전체 Module Ownership 전수 검수,EXS 업무 Domain,EXS 업무 Domain,3. CPF 전체 Module Ownership 전수 검수 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,ARC|module-package-ownership|063a50d22c,UNIQUE,,0.0714,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-046,REQUIREMENT,NQA20260729,GEN,3. CPF 전체 Module Ownership 전수 검수,Generator로 생성한 임시 검증 Domain,Generator로 생성한 임시 검증 Domain,3. CPF 전체 Module Ownership 전수 검수 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,GEN|generated-domain-parity|7e56bd0d69,UNIQUE,,0.0909,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-REQ-047,REQUIREMENT,NQA20260729,ARC,3. CPF 전체 Module Ownership 전수 검수,ADM Frontend,ADM Frontend,3. CPF 전체 Module Ownership 전수 검수 기준을 Source·SQL·API·Frontend·Generator·Test·Guide·Evidence와 실제 Consumer에서 검증한다.,ARC|module-package-ownership|a3587a0444,UNIQUE,,0.0909,,미검증,latest master exact-SHA execution evidence required
