entity_type,exact_id,requirement,priority,owner_module,owner_package,actual_consumer,final_classification,개발GPT_상태,개발GPT_자체검수상태,implementation_status,verification_status,latest_master_status,related_request_ids,execution_ref,self_review_ref,provenance_ref,file_link_ref,evidence_ref,baseline_sha,state_revision,updated_at,source_status_summary,original_evidence_ref
GATE,GATE-01-OWNERSHIP,,P2,,,,PROTECTED_COMPLETED,완료,완료,IMPLEMENTED,SOURCE_VERIFIED_AND_REGRESSION_RETAINED,BASELINE_PLUS_OVERLAY_IMPLEMENTED,,EXEC-SOURCE-PROVENANCE-MERGE,SELF:GATE:GATE-01-OWNERSHIP,PROV:GATE:GATE-01-OWNERSHIP,FILE:GATE:GATE-01-OWNERSHIP,EVID:GATE:GATE-01-OWNERSHIP,2a013663090d4e430a15983ad7269f8e86c5ef58,REV-001,2026-08-06T05:14:50+09:00,development=미완료;verification=재확인 필요;self_review=,results/DEVELOPMENT_WORK_ITEM_RESULT.csv;results/DEVELOPMENT_REQUIREMENT_RESULT.csv;results/DEVELOPMENT_SCENARIO_RESULT.csv;results/TEST_AND_EVIDENCE.md
GATE,GATE-02-CONSUMER,,P2,,,,DEVGPT_INTEGRATION_COMPLETED,완료,완료,IMPLEMENTED,DIRECT_OR_EQUIVALENT_VERIFIED,BASELINE_PLUS_OVERLAY_IMPLEMENTED,ICR-DEVGPT-V9-S04-001|ICR-DEVGPT-V9-S04-002|ICR-DEVGPT-V9-S04-003|ICR-DEVGPT-V9-S04-004|ICR-DEVGPT-V9-S04-005|ICR-DEVGPT-V9-S04-006|ICR-V9-S02-MGMT-0002|ICR-V9-S02-S04-0002|ICR-V9-S02-S05-0001|ICR-V9-S05-S06-FULL-ASSIGNMENT-ALIASES-001|IR-S02-RUNTIME|IR-S04-DB|IR-S05-ADM-BZA|IR-S06-BUILD-GENERATOR|IR-S06-SECURITY-STARTERS|S03-ICR-001|S03-ICR-002|S03-ICR-003|S03-ICR-004|S03-ICR-005|S06-DELETE-OPENAPI-WEBMVC-STALE-ROOT|S06-ENV-JAVA25-GRADLE91-RUNTIME|S06-INT-ADM-APPROVAL-DUAL-PRIMARY|S06-INT-ADM-BROWSER-RELEASE-CONTRACT|S06-INT-ADM-ROUTE-RAW-URL-OWNERSHIP|S06-INT-CACHE-VALKEY-MISSING-RUNTIME|S06-INT-CORE-CRYPTO-AGILITY|S06-INT-CORE-TIME-STANDARD|S06-INT-DATA-FIELD-ENCRYPTION|S06-INT-DATA-QUALITY-OPERATIONS|S06-INT-NOTIFICATION-INCIDENT-CANONICAL-DB-PARITY|S06-INT-WEBHOOK-CALLBACK-LIFECYCLE,EXEC-FINAL-INTEGRATION-CLOSURE,SELF:GATE:GATE-02-CONSUMER,PROV:GATE:GATE-02-CONSUMER,FILE:GATE:GATE-02-CONSUMER,EVID:GATE:GATE-02-CONSUMER,2a013663090d4e430a15983ad7269f8e86c5ef58,REV-001,2026-08-06T05:14:50+09:00,development=미완료;verification=재확인 필요;self_review=,results/DEVELOPMENT_WORK_ITEM_RESULT.csv;results/DEVELOPMENT_REQUIREMENT_RESULT.csv;results/DEVELOPMENT_SCENARIO_RESULT.csv;results/TEST_AND_EVIDENCE.md
GATE,GATE-03-HTTP-API,,P2,,,,DEVGPT_INTEGRATION_COMPLETED,완료,완료,IMPLEMENTED,DIRECT_OR_EQUIVALENT_VERIFIED,BASELINE_PLUS_OVERLAY_IMPLEMENTED,ICR-V9-S02-S05-0001|ICR-V9-S05-S06-FULL-ASSIGNMENT-ALIASES-001|S03-ICR-001|S03-ICR-002|S03-ICR-003|S03-ICR-004|S03-ICR-005|S06-DELETE-OPENAPI-WEBMVC-STALE-ROOT|S06-ENV-JAVA25-GRADLE91-RUNTIME|S06-INT-ADM-APPROVAL-DUAL-PRIMARY|S06-INT-ADM-BROWSER-RELEASE-CONTRACT|S06-INT-ADM-ROUTE-RAW-URL-OWNERSHIP|S06-INT-CACHE-VALKEY-MISSING-RUNTIME|S06-INT-CORE-CRYPTO-AGILITY|S06-INT-CORE-TIME-STANDARD|S06-INT-DATA-FIELD-ENCRYPTION|S06-INT-DATA-QUALITY-OPERATIONS|S06-INT-NOTIFICATION-INCIDENT-CANONICAL-DB-PARITY|S06-INT-WEBHOOK-CALLBACK-LIFECYCLE,EXEC-FINAL-INTEGRATION-CLOSURE,SELF:GATE:GATE-03-HTTP-API,PROV:GATE:GATE-03-HTTP-API,FILE:GATE:GATE-03-HTTP-API,EVID:GATE:GATE-03-HTTP-API,2a013663090d4e430a15983ad7269f8e86c5ef58,REV-001,2026-08-06T05:14:50+09:00,development=완료;verification=완료;self_review=,TEST_AND_EVIDENCE.md#engineering-gates
GATE,GATE-04-EVENT-API,,P2,,,,PROTECTED_COMPLETED,완료,완료,IMPLEMENTED,SOURCE_VERIFIED_AND_REGRESSION_RETAINED,BASELINE_PLUS_OVERLAY_IMPLEMENTED,,EXEC-SOURCE-PROVENANCE-MERGE,SELF:GATE:GATE-04-EVENT-API,PROV:GATE:GATE-04-EVENT-API,FILE:GATE:GATE-04-EVENT-API,EVID:GATE:GATE-04-EVENT-API,2a013663090d4e430a15983ad7269f8e86c5ef58,REV-001,2026-08-06T05:14:50+09:00,development=재확인 필요;verification=재확인 필요;self_review=,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md
GATE,GATE-05-DB-QUERY,,P2,,,,DEVGPT_INTEGRATION_COMPLETED,완료,완료,IMPLEMENTED,DIRECT_OR_EQUIVALENT_VERIFIED,BASELINE_PLUS_OVERLAY_IMPLEMENTED,ICR-DEVGPT-V9-S04-001|ICR-DEVGPT-V9-S04-002|ICR-DEVGPT-V9-S04-003|ICR-DEVGPT-V9-S04-004|ICR-DEVGPT-V9-S04-005|ICR-DEVGPT-V9-S04-006|ICR-V9-S02-MGMT-0002|ICR-V9-S02-S04-0002|ICR-V9-S02-S05-0001|ICR-V9-S05-S06-FULL-ASSIGNMENT-ALIASES-001|S03-ICR-001|S03-ICR-002|S03-ICR-003|S03-ICR-004|S03-ICR-005|S06-DELETE-OPENAPI-WEBMVC-STALE-ROOT|S06-ENV-JAVA25-GRADLE91-RUNTIME|S06-INT-ADM-APPROVAL-DUAL-PRIMARY|S06-INT-ADM-BROWSER-RELEASE-CONTRACT|S06-INT-ADM-ROUTE-RAW-URL-OWNERSHIP|S06-INT-CACHE-VALKEY-MISSING-RUNTIME|S06-INT-CORE-CRYPTO-AGILITY|S06-INT-CORE-TIME-STANDARD|S06-INT-DATA-FIELD-ENCRYPTION|S06-INT-DATA-QUALITY-OPERATIONS|S06-INT-NOTIFICATION-INCIDENT-CANONICAL-DB-PARITY|S06-INT-WEBHOOK-CALLBACK-LIFECYCLE,EXEC-FINAL-INTEGRATION-CLOSURE,SELF:GATE:GATE-05-DB-QUERY,PROV:GATE:GATE-05-DB-QUERY,FILE:GATE:GATE-05-DB-QUERY,EVID:GATE:GATE-05-DB-QUERY,2a013663090d4e430a15983ad7269f8e86c5ef58,REV-001,2026-08-06T05:14:50+09:00,development=재확인 필요;verification=재확인 필요;self_review=,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md
GATE,GATE-06-STATE-IDEMP,,P2,,,,PROTECTED_COMPLETED,완료,완료,IMPLEMENTED,SOURCE_VERIFIED_AND_REGRESSION_RETAINED,BASELINE_PLUS_OVERLAY_IMPLEMENTED,,EXEC-SOURCE-PROVENANCE-MERGE,SELF:GATE:GATE-06-STATE-IDEMP,PROV:GATE:GATE-06-STATE-IDEMP,FILE:GATE:GATE-06-STATE-IDEMP,EVID:GATE:GATE-06-STATE-IDEMP,2a013663090d4e430a15983ad7269f8e86c5ef58,REV-001,2026-08-06T05:14:50+09:00,development=미완료;verification=재확인 필요;self_review=,results/DEVELOPMENT_WORK_ITEM_RESULT.csv;results/DEVELOPMENT_REQUIREMENT_RESULT.csv;results/DEVELOPMENT_SCENARIO_RESULT.csv;results/TEST_AND_EVIDENCE.md
GATE,GATE-07-MULTI-INSTANCE,,P2,,,,PROTECTED_COMPLETED,완료,완료,IMPLEMENTED,SOURCE_VERIFIED_AND_REGRESSION_RETAINED,BASELINE_PLUS_OVERLAY_IMPLEMENTED,,EXEC-SOURCE-PROVENANCE-MERGE,SELF:GATE:GATE-07-MULTI-INSTANCE,PROV:GATE:GATE-07-MULTI-INSTANCE,FILE:GATE:GATE-07-MULTI-INSTANCE,EVID:GATE:GATE-07-MULTI-INSTANCE,2a013663090d4e430a15983ad7269f8e86c5ef58,REV-001,2026-08-06T05:14:50+09:00,development=미완료;verification=재확인 필요;self_review=,results/DEVELOPMENT_WORK_ITEM_RESULT.csv;results/DEVELOPMENT_REQUIREMENT_RESULT.csv;results/DEVELOPMENT_SCENARIO_RESULT.csv;results/TEST_AND_EVIDENCE.md
GATE,GATE-08-UNKNOWN-RECOVERY,,P2,,,,PROTECTED_COMPLETED,완료,완료,IMPLEMENTED,SOURCE_VERIFIED_AND_REGRESSION_RETAINED,BASELINE_PLUS_OVERLAY_IMPLEMENTED,,EXEC-SOURCE-PROVENANCE-MERGE,SELF:GATE:GATE-08-UNKNOWN-RECOVERY,PROV:GATE:GATE-08-UNKNOWN-RECOVERY,FILE:GATE:GATE-08-UNKNOWN-RECOVERY,EVID:GATE:GATE-08-UNKNOWN-RECOVERY,2a013663090d4e430a15983ad7269f8e86c5ef58,REV-001,2026-08-06T05:14:50+09:00,development=미완료;verification=재확인 필요;self_review=,results/DEVELOPMENT_WORK_ITEM_RESULT.csv;results/DEVELOPMENT_REQUIREMENT_RESULT.csv;results/DEVELOPMENT_SCENARIO_RESULT.csv;results/TEST_AND_EVIDENCE.md
GATE,GATE-09-SECURITY,,P2,,,,DEVGPT_INTEGRATION_COMPLETED,완료,완료,IMPLEMENTED,DIRECT_OR_EQUIVALENT_VERIFIED,BASELINE_PLUS_OVERLAY_IMPLEMENTED,ICR-DEVGPT-V9-S04-001|ICR-DEVGPT-V9-S04-002|ICR-DEVGPT-V9-S04-003|ICR-DEVGPT-V9-S04-004|ICR-DEVGPT-V9-S04-005|ICR-DEVGPT-V9-S04-006|ICR-V9-S02-MGMT-0002|ICR-V9-S02-S04-0002|ICR-V9-S02-S05-0001|ICR-V9-S05-S06-FULL-ASSIGNMENT-ALIASES-001|IR-S02-RUNTIME|IR-S04-DB|IR-S05-ADM-BZA|IR-S06-BUILD-GENERATOR|IR-S06-SECURITY-STARTERS|S03-ICR-001|S03-ICR-002|S03-ICR-003|S03-ICR-004|S03-ICR-005|S06-DELETE-OPENAPI-WEBMVC-STALE-ROOT|S06-ENV-JAVA25-GRADLE91-RUNTIME|S06-INT-ADM-APPROVAL-DUAL-PRIMARY|S06-INT-ADM-BROWSER-RELEASE-CONTRACT|S06-INT-ADM-ROUTE-RAW-URL-OWNERSHIP|S06-INT-CACHE-VALKEY-MISSING-RUNTIME|S06-INT-CORE-CRYPTO-AGILITY|S06-INT-CORE-TIME-STANDARD|S06-INT-DATA-FIELD-ENCRYPTION|S06-INT-DATA-QUALITY-OPERATIONS|S06-INT-NOTIFICATION-INCIDENT-CANONICAL-DB-PARITY|S06-INT-WEBHOOK-CALLBACK-LIFECYCLE,EXEC-FINAL-INTEGRATION-CLOSURE,SELF:GATE:GATE-09-SECURITY,PROV:GATE:GATE-09-SECURITY,FILE:GATE:GATE-09-SECURITY,EVID:GATE:GATE-09-SECURITY,2a013663090d4e430a15983ad7269f8e86c5ef58,REV-001,2026-08-06T05:14:50+09:00,development=미완료;verification=재확인 필요;self_review=,results/DEVELOPMENT_WORK_ITEM_RESULT.csv;results/DEVELOPMENT_REQUIREMENT_RESULT.csv;results/DEVELOPMENT_SCENARIO_RESULT.csv;results/TEST_AND_EVIDENCE.md
GATE,GATE-10-CRYPTO-PRIVACY,,P2,,,,DEVGPT_INTEGRATION_COMPLETED,완료,완료,IMPLEMENTED,DIRECT_OR_EQUIVALENT_VERIFIED,BASELINE_PLUS_OVERLAY_IMPLEMENTED,ICR-DEVGPT-V9-S04-001|ICR-DEVGPT-V9-S04-002|ICR-DEVGPT-V9-S04-003|ICR-DEVGPT-V9-S04-004|ICR-DEVGPT-V9-S04-005|ICR-DEVGPT-V9-S04-006|ICR-V9-S02-MGMT-0002|ICR-V9-S02-S04-0002|ICR-V9-S02-S05-0001|ICR-V9-S05-S06-FULL-ASSIGNMENT-ALIASES-001|IR-S02-RUNTIME|IR-S04-DB|IR-S05-ADM-BZA|IR-S06-BUILD-GENERATOR|IR-S06-SECURITY-STARTERS|S03-ICR-001|S03-ICR-002|S03-ICR-003|S03-ICR-004|S03-ICR-005|S06-DELETE-OPENAPI-WEBMVC-STALE-ROOT|S06-ENV-JAVA25-GRADLE91-RUNTIME|S06-INT-ADM-APPROVAL-DUAL-PRIMARY|S06-INT-ADM-BROWSER-RELEASE-CONTRACT|S06-INT-ADM-ROUTE-RAW-URL-OWNERSHIP|S06-INT-CACHE-VALKEY-MISSING-RUNTIME|S06-INT-CORE-CRYPTO-AGILITY|S06-INT-CORE-TIME-STANDARD|S06-INT-DATA-FIELD-ENCRYPTION|S06-INT-DATA-QUALITY-OPERATIONS|S06-INT-NOTIFICATION-INCIDENT-CANONICAL-DB-PARITY|S06-INT-WEBHOOK-CALLBACK-LIFECYCLE,EXEC-FINAL-INTEGRATION-CLOSURE,SELF:GATE:GATE-10-CRYPTO-PRIVACY,PROV:GATE:GATE-10-CRYPTO-PRIVACY,FILE:GATE:GATE-10-CRYPTO-PRIVACY,EVID:GATE:GATE-10-CRYPTO-PRIVACY,2a013663090d4e430a15983ad7269f8e86c5ef58,REV-001,2026-08-06T05:14:50+09:00,development=미완료;verification=재확인 필요;self_review=,results/DEVELOPMENT_WORK_ITEM_RESULT.csv;results/DEVELOPMENT_REQUIREMENT_RESULT.csv;results/DEVELOPMENT_SCENARIO_RESULT.csv;results/TEST_AND_EVIDENCE.md
