entity_id,req_count,files,main,tests,sql,scripts,required,observed,missing,paths
CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,61,16,1,0,0,11,audit;concurrency;database;frontend;generator;idempotency;masking;migration;openapi;recovery;retry;rollback;security;test;unknown,audit;concurrency;database;frontend;generator;idempotency;masking;migration;openapi;recovery;retry;rollback;security;test;unknown,,cpf-admin/frontend/openapi/cpf-openapi.json;cpf-tools/config/cpf-starter-catalog.json;cpf-tools/scripts/run-cpf-full-qa-validation.ps1;cpf-tools/scripts/verify-cpf-publication-starter-closure.py;cpf-starters/messaging/kafka/src/main/java/com/cpf/starter/messaging/kafka/internal/CpfKafkaConsumerControlAdapter.java;cpf-admin/frontend/src/generated/cpf-api.ts;cpf-tools/scripts/tests/test_publication_starter_closure.py;cpf-tools/scripts/verify-cpf-starter-catalog-truth.py;cpf-tools/scripts/invoke-official-db-vendor-sql.ps1;cpf-tools/scripts/verify-cpf-owner-boundaries.py;cpf-tools/scripts/verify-cpf-development-evidence-integrity.py;cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/TEST_AND_EVIDENCE.md;cpf-tools/scripts/tests/test_oracle_sqlplus_secret_transport.py;cpf-tools/scripts/verify-cpf-evidence-semantics.py;cpf-tools/scripts/verify-cpf-generator-idempotency-templates.py;cpf-tools/scripts/verify-cpf-openapi-controller-coverage.py
CPF-WP-ARCH-MSA-01-CONTRACT_OWNERSHIP,10,16,1,0,0,12,audit;database;frontend;openapi;recovery;security;test,audit;concurrency;database;frontend;generator;idempotency;masking;migration;openapi;recovery;retry;rollback;security;test;unknown,,cpf-admin/frontend/openapi/cpf-openapi.json;cpf-tools/scripts/verify-cpf-openapi-controller-coverage.py;cpf-tools/scripts/verify-cpf-generator-upgrade-ownership.py;cpf-tools/scripts/invoke-official-db-vendor-sql.ps1;cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmOpenApiController.java;cpf-tools/scripts/verify-cpf-owner-boundaries.py;cpf-tools/scripts/verify-cpf-publication-starter-closure.py;cpf-tools/scripts/tests/test_publication_starter_closure.py;cpf-tools/scripts/tests/test_qa39_build_contract_split_bom.py;cpf-tools/scripts/verify-cpf-qa34-build-contract.py;cpf-tools/scripts/tests/test_oracle_sqlplus_secret_transport.py;cpf-tools/scripts/tests/test_seed_bundle_runtime_contract.py;cpf-tools/scripts/tests/test_verify_cpf_owner_boundaries_full_project.py;cpf-tools/config/cpf-starter-catalog.json;cpf-tools/generator/contracts/cpf-starter-catalog.json;cpf-tools/scripts/Qa39Tool.java
CPF-WP-ARCH-MSA-02-IMPLEMENTATION_CONSUMER,8,16,3,2,0,5,audit;database;frontend;generator;recovery;security;test,audit;concurrency;database;frontend;generator;idempotency;masking;migration;openapi;recovery;retry;rollback;security;test;unknown,,cpf-admin/frontend/openapi/cpf-openapi.json;cpf-admin/frontend/src/generated/cpf-api.ts;cpf-admin/frontend/playwright.config.ts;cpf-biz-admin/frontend/playwright.config.ts;cpf-starters/messaging/kafka/src/main/java/com/cpf/starter/messaging/kafka/internal/CpfKafkaConsumerControlAdapter.java;cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmConfigController.java;cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmOpenApiController.java;cpf-tools/scripts/invoke-official-db-vendor-sql.ps1;cpf-tools/scripts/tests/test_publication_starter_closure.py;cpf-tools/scripts/verify-cpf-openapi-controller-coverage.py;cpf-tools/scripts/verify-cpf-publication-starter-closure.py;cpf-admin/frontend/src/features/feature-flags/FeatureFlagsPage.vue;cpf-admin/frontend/e2e/route-quality.spec.ts;cpf-biz-admin/frontend/e2e/route-quality.spec.ts;cpf-admin/frontend/src/features/resilience-policies/ResiliencePoliciesPage.vue;cpf-tools/scripts/tests/test_oracle_sqlplus_secret_transport.py
CPF-WP-ARCH-MSA-03-VERIFICATION_EVIDENCE,10,16,2,0,0,10,audit;concurrency;database;frontend;generator;openapi;recovery;security;test,audit;concurrency;database;frontend;generator;idempotency;masking;migration;openapi;recovery;retry;rollback;security;test;unknown,,cpf-starters/integration/http-client/src/main/java/com/cpf/starter/integration/http/client/internal/CpfResilientHttpClient.java;cpf-starters/integration/tcp/src/main/java/com/cpf/starter/integration/tcp/internal/CpfResilientTcpClient.java;cpf-admin/frontend/openapi/cpf-openapi.json;cpf-tools/scripts/invoke-official-db-vendor-sql.ps1;cpf-tools/scripts/run-cpf-full-qa-validation.ps1;cpf-tools/scripts/tests/test_publication_starter_closure.py;cpf-tools/scripts/verify-cpf-evidence-semantics.py;cpf-tools/scripts/verify-cpf-publication-starter-closure.py;cpf-tools/scripts/verify-cpf-qa34-build-contract.py;cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/TEST_AND_EVIDENCE.md;cpf-tools/scripts/tests/test_qa39_build_contract_split_bom.py;cpf-tools/scripts/verify-cpf-openapi-controller-coverage.py;cpf-tools/scripts/tests/test_oracle_sqlplus_secret_transport.py;cpf-tools/scripts/tests/test_seed_bundle_runtime_contract.py;cpf-tools/config/cpf-starter-catalog.json;cpf-tools/generator/contracts/cpf-starter-catalog.json
CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,269,16,2,2,1,8,audit;concurrency;database;frontend;generator;idempotency;masking;migration;openapi;recovery;retry;rollback;security;test;unknown,audit;concurrency;database;frontend;generator;idempotency;masking;migration;openapi;recovery;retry;rollback;security;test;unknown,,cpf-admin/frontend/openapi/cpf-openapi.json;cpf-admin/frontend/src/generated/cpf-api.ts;cpf-tools/config/cpf-starter-catalog.json;cpf-tools/scripts/verify-cpf-execution-scope-exhaustive.py;cpf-tools/scripts/verify-local-artifact-propagation.ps1;cpf-starters/security/session-jdbc/src/main/java/com/cpf/starter/security/CpfServerSessionSecurityAutoConfiguration.java;cpf-tools/scripts/initialize-cpf-database.ps1;cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafkaRemoteConfiguration.java;cpf-admin/frontend/e2e/bff-security.spec.ts;cpf-biz-admin/frontend/e2e/bff-security.spec.ts;cpf-tools/scripts/tests/test_publication_starter_closure.py;cpf-tools/scripts/verify-cpf-starter-catalog-truth.py;cpf-tools/scripts/verify-cpf-openapi-controller-coverage.py;cpf-tools/scripts/verify-cpf-publication-starter-closure.py;cpf-tools/db/vendor/oracle/migration/flyway/batDB/V89__batch_execution_idempotency_lifecycle.sql;cpf-tools/scripts/invoke-official-db-vendor-sql.ps1
CPF-WP-ARCH-BOUNDARY-01-CONTRACT_OWNERSHIP,134,16,0,0,0,15,audit;database;frontend;generator;masking;migration;openapi;recovery;security;test;unknown,audit;concurrency;database;frontend;generator;idempotency;masking;migration;openapi;recovery;retry;rollback;security;test;unknown,,cpf-tools/scripts/verify-cpf-generator-upgrade-ownership.py;cpf-tools/scripts/build-cpf-requirement-development-traceability.py;cpf-admin/frontend/openapi/cpf-openapi.json;cpf-tools/scripts/invoke-official-db-vendor-sql.ps1;cpf-tools/scripts/verify-cpf-owner-boundaries.py;cpf-tools/scripts/verify-cpf-product-governance.py;cpf-tools/scripts/verify-cpf-publication-starter-closure.py;cpf-tools/scripts/tests/test_publication_starter_closure.py;cpf-tools/scripts/tests/test_qa39_build_contract_split_bom.py;cpf-tools/scripts/verify-cpf-qa34-build-contract.py;cpf-tools/scripts/tests/test_oracle_sqlplus_secret_transport.py;cpf-tools/scripts/tests/test_seed_bundle_runtime_contract.py;cpf-tools/scripts/tests/test_verify_cpf_owner_boundaries_full_project.py;cpf-tools/scripts/verify-cpf-openapi-controller-coverage.py;cpf-tools/scripts/tests/test_qa39_runtime_contract_semantics.py;cpf-tools/scripts/verify-cpf-requirement-traceability.py
CPF-WP-ARCH-BOUNDARY-02-IMPLEMENTATION_CONSUMER,61,16,2,0,0,12,audit;database;frontend;generator;migration;recovery;security;test;unknown,audit;concurrency;database;frontend;generator;idempotency;masking;migration;openapi;recovery;retry;rollback;security;test;unknown,,cpf-tools/generator/create-domain-jobpack.ps1;cpf-tools/generator/verify-domain-lifecycle.ps1;cpf-tools/scripts/build-cpf-requirement-development-traceability.py;cpf-tools/generator/create-domain-repository.ps1;cpf-admin/frontend/src/generated/cpf-api.ts;cpf-tools/generator/export-domain-repository.ps1;cpf-tools/scripts/verify-cpf-generator-lifecycle.py;cpf-tools/scripts/verify-cpf-requirement-traceability.py;cpf-tools/scripts/verify-cpf-generator-upgrade-ownership.py;cpf-tools/scripts/verify-cpf-openapi-controller-coverage.py;cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBatchController.java;cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBatchWorkbenchController.java;cpf-tools/generator/remove-domain-repository.ps1;cpf-admin/frontend/openapi/cpf-openapi.json;cpf-tools/generator/create-domain.ps1;cpf-tools/scripts/build-cpf-work-package-source-review.py
CPF-WP-ARCH-BOUNDARY-03-VERIFICATION_EVIDENCE,108,16,2,0,0,10,audit;concurrency;database;frontend;generator;masking;migration;openapi;recovery;retry;security;test;unknown,audit;concurrency;database;frontend;generator;idempotency;masking;migration;openapi;recovery;retry;rollback;security;test;unknown,,cpf-tools/scripts/build-cpf-requirement-development-traceability.py;cpf-tools/scripts/verify-cpf-requirement-traceability.py;cpf-tools/config/cpf-starter-catalog.json;cpf-tools/generator/contracts/cpf-starter-catalog.json;cpf-tools/scripts/run-cpf-full-qa-validation.ps1;cpf-admin/frontend/openapi/cpf-openapi.json;cpf-starters/integration/http-client/src/main/java/com/cpf/starter/integration/http/client/internal/CpfResilientHttpClient.java;cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/TEST_AND_EVIDENCE.md;cpf-tools/scripts/invoke-official-db-vendor-sql.ps1;cpf-tools/scripts/verify-cpf-evidence-semantics.py;cpf-tools/scripts/verify-cpf-product-governance.py;cpf-starters/integration/tcp/src/main/java/com/cpf/starter/integration/tcp/internal/CpfResilientTcpClient.java;cpf-tools/scripts/tests/test_publication_starter_closure.py;cpf-tools/scripts/verify-cpf-openapi-controller-coverage.py;cpf-tools/scripts/verify-cpf-publication-starter-closure.py;cpf-tools/scripts/verify-cpf-qa34-build-contract.py
CPF-WP-ARCH-BOUNDARY-04-FAILURE_RECOVERY,123,16,1,0,1,9,audit;concurrency;database;frontend;generator;idempotency;migration;recovery;retry;rollback;security;test;unknown,audit;concurrency;database;frontend;generator;idempotency;masking;migration;openapi;recovery;retry;rollback;security;test;unknown,,cpf-admin/frontend/openapi/cpf-openapi.json;cpf-tools/config/cpf-starter-catalog.json;cpf-tools/scripts/build-cpf-requirement-development-traceability.py;cpf-admin/frontend/src/generated/cpf-api.ts;cpf-tools/scripts/verify-cpf-product-governance.py;cpf-tools/scripts/verify-cpf-starter-catalog-truth.py;cpf-tools/scripts/invoke-official-db-vendor-sql.ps1;cpf-tools/scripts/tests/test_publication_starter_closure.py;cpf-tools/scripts/verify-cpf-publication-starter-closure.py;cpf-tools/scripts/verify-cpf-openapi-controller-coverage.py;cpf-batch/host-agent/src/main/java/com/cpf/batch/agent/internal/ArtifactInstaller.java;cpf-tools/scripts/tests/test_oracle_sqlplus_secret_transport.py;cpf-tools/scripts/verify-cpf-generator-idempotency-templates.py;cpf-admin/frontend/playwright.config.ts;cpf-biz-admin/frontend/playwright.config.ts;cpf-tools/db/vendor/mariadb/seed/00_optional_sample_seed.sql
CPF-WP-ARCH-BOUNDARY-06-GENERATION_COMPATIBILITY,53,16,3,0,6,5,audit;database;frontend;generator;migration;openapi;recovery;rollback;security;test;unknown,audit;concurrency;database;frontend;generator;idempotency;masking;migration;openapi;recovery;retry;rollback;security;test;unknown,,cpf-admin/frontend/openapi/cpf-openapi.json;cpf-tools/scripts/verify-cpf-generator-upgrade-ownership.py;cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmOpenApiController.java;cpf-admin/frontend/src/generated/cpf-api.ts;cpf-tools/scripts/verify-cpf-openapi-controller-coverage.py;cpf-reference/src/main/java/com/cpf/reference/edu/runtime/consumer/EduBusinessConsumerRegistry.java;cpf-tools/scripts/verify-cpf-generator-lifecycle.py;cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRemoteLogController.java;cpf-tools/db/vendor/mariadb/seed/00_optional_sample_seed.sql;cpf-tools/db/vendor/mariadb/source/00_optional_sample_seed.sql;cpf-tools/db/vendor/oracle/seed/00_optional_sample_seed.sql;cpf-tools/db/vendor/oracle/source/00_optional_sample_seed.sql;cpf-tools/db/vendor/postgresql/seed/00_optional_sample_seed.sql;cpf-tools/db/vendor/postgresql/source/00_optional_sample_seed.sql;cpf-tools/scripts/build-cpf-requirement-development-traceability.py;cpf-tools/scripts/build-cpf-work-package-source-review.py
CPF-WP-ARCH-BOUNDARY-05-DATA_MIGRATION,164,16,0,0,12,4,audit;database;frontend;generator;idempotency;migration;openapi;recovery;rollback;security;test;unknown,audit;concurrency;database;frontend;generator;idempotency;masking;migration;openapi;recovery;retry;rollback;security;test;unknown,,cpf-tools/scripts/invoke-official-db-vendor-sql.ps1;cpf-tools/scripts/verify-cpf-generator-upgrade-ownership.py;cpf-tools/db/vendor/mariadb/seed/00_product_seed.sql;cpf-tools/db/vendor/mariadb/source/00_product_seed.sql;cpf-tools/db/vendor/oracle/seed/00_product_seed.sql;cpf-tools/db/vendor/oracle/seed/00_test_seed.sql;cpf-tools/db/vendor/oracle/source/00_product_seed.sql;cpf-tools/db/vendor/oracle/source/00_test_seed.sql;cpf-tools/db/vendor/postgresql/seed/00_product_seed.sql;cpf-tools/db/vendor/postgresql/seed/00_test_seed.sql;cpf-tools/db/vendor/postgresql/source/00_product_seed.sql;cpf-tools/db/vendor/postgresql/source/00_test_seed.sql;cpf-tools/scripts/build-cpf-requirement-development-traceability.py;cpf-tools/scripts/verify-cpf-execution-scope-exhaustive.py;cpf-tools/db/vendor/mariadb/seed/00_test_seed.sql;cpf-tools/db/vendor/mariadb/source/00_test_seed.sql
CPF-WP-ARCH-LAYER-01-CONTRACT_OWNERSHIP,31,16,0,0,0,11,audit;concurrency;database;frontend;idempotency;masking;recovery;retry;rollback;security;test;unknown,audit;concurrency;database;frontend;generator;idempotency;masking;migration;openapi;recovery;retry;rollback;security;test;unknown,,cpf-admin/frontend/openapi/cpf-openapi.json;cpf-tools/config/cpf-starter-catalog.json;cpf-tools/generator/contracts/cpf-starter-catalog.json;cpf-tools/scripts/verify-cpf-generator-upgrade-ownership.py;cpf-admin/frontend/src/generated/cpf-api.ts;cpf-admin/frontend/src/generated/cpf-operation-contract.ts;cpf-tools/scripts/invoke-official-db-vendor-sql.ps1;cpf-tools/scripts/verify-cpf-starter-catalog-truth.py;cpf-tools/scripts/verify-cpf-owner-boundaries.py;cpf-tools/scripts/verify-cpf-publication-starter-closure.py;cpf-tools/scripts/tests/test_publication_starter_closure.py;cpf-tools/scripts/tests/test_qa39_runtime_contract_semantics.py;cpf-tools/scripts/tests/test_seed_bundle_runtime_contract.py;cpf-tools/scripts/verify-cpf-qa34-build-contract.py;cpf-tools/scripts/tests/test_qa39_build_contract_split_bom.py;cpf-tools/scripts/verify-cpf-openapi-controller-coverage.py
CPF-WP-ARCH-LAYER-02-IMPLEMENTATION_CONSUMER,5,14,1,0,0,8,audit;database;frontend;recovery;security;test,audit;concurrency;database;frontend;generator;idempotency;masking;migration;openapi;recovery;retry;rollback;security;test;unknown,,cpf-starters/messaging/kafka/src/main/java/com/cpf/starter/messaging/kafka/internal/CpfKafkaConsumerControlAdapter.java;cpf-admin/frontend/openapi/cpf-openapi.json;cpf-tools/scripts/invoke-official-db-vendor-sql.ps1;cpf-tools/scripts/tests/test_publication_starter_closure.py;cpf-tools/scripts/verify-cpf-publication-starter-closure.py;cpf-tools/scripts/tests/test_oracle_sqlplus_secret_transport.py;cpf-tools/scripts/verify-cpf-openapi-controller-coverage.py;cpf-tools/scripts/Qa39Tool.java;cpf-tools/scripts/devgpt-control-v9/build_full_assignment.py;cpf-tools/config/cpf-starter-catalog.json;cpf-tools/scripts/build-cpf-requirement-development-traceability.py;cpf-admin/frontend/src/generated/cpf-api.ts;cpf-biz-admin/frontend/playwright.config.ts;cpf-admin/frontend/playwright.config.ts
CPF-WP-ARCH-LAYER-03-VERIFICATION_EVIDENCE,15,16,2,0,0,8,audit;concurrency;database;frontend;generator;masking;openapi;recovery;retry;security;test;unknown,audit;concurrency;database;frontend;generator;idempotency;masking;migration;openapi;recovery;retry;rollback;security;test;unknown,,cpf-tools/config/cpf-starter-catalog.json;cpf-tools/generator/contracts/cpf-starter-catalog.json;cpf-tools/scripts/build-cpf-requirement-development-traceability.py;cpf-admin/frontend/openapi/cpf-openapi.json;cpf-tools/scripts/run-cpf-full-qa-validation.ps1;cpf-starters/integration/http-client/src/main/java/com/cpf/starter/integration/http/client/internal/CpfResilientHttpClient.java;cpf-starters/integration/tcp/src/main/java/com/cpf/starter/integration/tcp/internal/CpfResilientTcpClient.java;cpf-tools/scripts/invoke-official-db-vendor-sql.ps1;cpf-tools/scripts/tests/test_publication_starter_closure.py;cpf-tools/scripts/verify-cpf-evidence-semantics.py;cpf-tools/scripts/verify-cpf-openapi-controller-coverage.py;cpf-tools/scripts/verify-cpf-publication-starter-closure.py;cpf-tools/scripts/verify-cpf-qa34-build-contract.py;cpf-admin/frontend/src/generated/cpf-api.ts;cpf-admin/frontend/src/generated/cpf-operation-contract.ts;cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/TEST_AND_EVIDENCE.md
CPF-WP-ARCH-LAYER-04-GENERATION_COMPATIBILITY,10,17,0,0,15,1,audit;database;frontend;generator;migration;openapi;recovery;security;test,audit;concurrency;database;frontend;generator;idempotency;migration;openapi;recovery;retry;rollback;security;test;unknown,,cpf-admin/frontend/openapi/cpf-openapi.json;cpf-tools/db/vendor/mariadb/seed/00_optional_sample_seed.sql;cpf-tools/db/vendor/mariadb/source/00_optional_sample_seed.sql;cpf-tools/db/vendor/oracle/seed/00_optional_sample_seed.sql;cpf-tools/db/vendor/oracle/source/00_optional_sample_seed.sql;cpf-tools/db/vendor/postgresql/seed/00_optional_sample_seed.sql;cpf-tools/db/vendor/postgresql/source/00_optional_sample_seed.sql;cpf-tools/db/vendor/mariadb/migration/flyway/V87__batch_remote_message_ledger.sql;cpf-tools/db/vendor/oracle/migration/flyway/batDB/V87__batch_remote_message_ledger.sql;cpf-tools/db/vendor/postgresql/migration/flyway/batDB/V87__batch_remote_message_ledger.sql;cpf-tools/db/vendor/mariadb/migration/flyway/V88__scheduler_durable_launch_outbox.sql;cpf-tools/db/vendor/mariadb/migration/flyway/V91__bza_bootstrap_claim_recovery.sql;cpf-tools/db/vendor/oracle/migration/flyway/admDB/V86__bff_encrypted_credential_vault.sql;cpf-tools/db/vendor/oracle/migration/flyway/batDB/V88__scheduler_durable_launch_outbox.sql;cpf-tools/db/vendor/oracle/migration/flyway/bzaDB/V91__bza_bootstrap_claim_recovery.sql;cpf-tools/db/vendor/postgresql/migration/flyway/admDB/V86__bff_encrypted_credential_vault.sql;cpf-tools/scripts/tests/test_publication_starter_closure.py
CPF-WP-CORE-API-01-CONTRACT_OWNERSHIP,38,18,8,0,1,3,audit;concurrency;database;frontend;generator;idempotency;masking;migration;openapi;recovery;retry;rollback;security;test;unknown,audit;concurrency;database;frontend;generator;idempotency;masking;migration;openapi;recovery;retry;rollback;security;test;unknown,,cpf-admin/frontend/src/generated/cpf-api.ts;cpf-admin/frontend/src/generated/cpf-operation-contract.ts;cpf-core/src/main/java/com/cpf/core/api/broker/CpfBrokerClient.java;cpf-core/src/main/java/com/cpf/core/spi/notification/CpfNotificationProvider.java;cpf-core/src/main/java/com/cpf/core/api/broker/CpfBrokerPublishResult.java;cpf-core/src/main/java/com/cpf/core/api/notification/CpfNotificationProviderStatus.java;cpf-core/src/main/java/com/cpf/core/api/notification/CpfNotificationResult.java;cpf-core/src/main/java/com/cpf/core/internal/broker/CpfBrokerClientAdapter.java;cpf-core/src/main/java/com/cpf/core/api/broker/CpfBrokerPublishRequest.java;cpf-core/src/main/java/com/cpf/core/api/notification/CpfNotificationRequest.java;cpf-tools/scripts/verify-cpf-generator-upgrade-ownership.py;cpf-admin/frontend/openapi/cpf-openapi.json;cpf-tools/config/cpf-starter-catalog.json;cpf-tools/generator/contracts/cpf-starter-catalog.json;cpf-admin/frontend/src/generated/adm-route-operation-contract.ts;cpf-tools/db/vendor/mariadb/domain-template/rollback/R1__remove___DOMAIN___domain.sql.template;cpf-tools/scripts/invoke-official-db-vendor-sql.ps1;cpf-tools/scripts/tests/test_publication_starter_closure.py
