path,size,sha256
cpf-docs/governance/CPF_AI_DEVELOPMENT_QA_CONTINUITY_STANDARD.md,4232,a84cb6f1d50dfff79297475487a4a3f9ee7bfc2c693fe66cdc50c966511d095b
cpf-docs/governance/CPF_CANONICAL_PATH_AND_ROLE_MAP.md,4472,6e6583b28bd0cb89919a440fd102f224c1a60d42f46a1bb08e0536a6768af269
cpf-docs/governance/CPF_DOCUMENT_CANONICAL_INDEX.md,4008,0b53d06eeac2b750e003c0d8a5c4b3e9a96e639e75857bc05a34c405132456d8
cpf-docs/governance/CPF_DOCUMENT_CONTROL_POLICY.md,4668,4169f7f301330af4ded2b9f8f34415da3b8db44c9bca3fb1181a582b1d875015
cpf-docs/governance/CPF_FINAL_TARGET_REQUIREMENTS.md,94692,50200cbbcdb029fecb82a0ecee37ae129f9079ac2cab432c92d6218eaf8a9927
cpf-docs/governance/CPF_GENERATED_DOMAIN_LIFECYCLE_POLICY.md,2273,19fcfd35f4de06efd87ac23acca52c470cf48a98fabf0b3d5c8236d3183f12e2
cpf-docs/governance/CPF_NO_PARTIAL_IMPLEMENTATION_COMPLETION_STANDARD.md,9331,8c5915398c74d8c0a25aa95c1210723ca38632cf2b9f3896af4eedfa3c2a00e6
cpf-docs/governance/CPF_OSS_LICENSE_AND_SUPPLY_CHAIN_STANDARD.md,8182,9afcdcdfe9509f8729116fab8fddcf4ac146fb794dea21884461abb9fdf20ec7
cpf-docs/governance/CPF_REPOSITORY_SOURCE_ACCESS_GOVERNANCE.md,807,37b02b5dbd28b4e154de0ae2d8264bc975e4e8f1f8c25704afecc68db8a9f92f
cpf-docs/governance/CPF_REPOSITORY_SURFACE_INDEX.md,3338,460b126183082366bf9c6712b1ee45f437c38a063867e02ca8bc4d4302d21964
cpf-docs/governance/CPF_REPOSITORY_TEAM_PERMISSION_MATRIX.md,1462,588748cdcf7dadbf86829abd3d54c3219a9cd641464980aa477955c61f5fb4a7
cpf-docs/governance/CPF_REQUIREMENT_CONTINUITY_LEDGER.md,9477,eea835adf0db509b4b05f9b03d105c6739b3c10bb22d02ec088b22b63c0601ab
cpf-docs/governance/CPF_REVIEW_PROGRESS_COMPLETION_GUIDE.md,1998,858d94f6ad57ea017a612362743d7c0c70dbb62ae2fa0d73141130e020f11a2a
cpf-docs/governance/CPF_STARTER_ARCHITECTURE_AND_LIFECYCLE_POLICY.md,20410,58fdc0c65bb1ceed33ab56aa23e5facca178b5e9943af8d33e9f1c30a492b93a
cpf-docs/governance/CPF_VERIFICATION_GATE_LIFECYCLE_POLICY.md,3418,d34471527b9fb0275823300cf561dd48004ed99affea60859e01b9b95c52137e
cpf-docs/governance/DOCUMENT_GOVERNANCE_GUIDE.md,2712,29892e14131dead8810655eb40dda21d93a8fdb53c0a34067718c15749aa135b
cpf-docs/work/v9i/final-control/APPLY_PROJECT_CONTROL_CLEANUP.ps1,2275,00297c9dec05e4e3e8a9144bdf1215667bcd8d036cbcf4834248015463c1e80a
cpf-docs/work/v9i/final-control/CENTRAL_CURRENTIZATION_CHANGE_MANIFEST.csv,4490,9c2ea49b526924191e838a057ef1d36e3a39760aa040282ca7302310ff9808ec
cpf-docs/work/v9i/final-control/CENTRAL_FINAL_ACTIONS.csv,12940,d0b42ebcae6608df384c773541a74fa99d1c183576c81e1920778ecd914a23f8
cpf-docs/work/v9i/final-control/CENTRAL_QA_MERGE_REPORT.md,4645,e62f935003319eabf7a22cbff73e2c95c2dacbb6209be14526ce8dd87e84505f
cpf-docs/work/v9i/final-control/GOVERNANCE_CURRENTIZATION_AUDIT.md,1753,0945e71da30688e29fe02da7665579659a66f9703123beb24ab0044933b2ff73
cpf-docs/work/v9i/final-control/PROJECT_CONTROL_CLEANUP_ONE_LINE.ps1.txt,2267,72acb06db022275d870a7c560bc7de22126fa27ac6f9fa84231fc73704d0187a
cpf-docs/work/v9i/final-control/PROJECT_CONTROL_CLEANUP_REVIEW.md,3542,67fed0c18978cc488315cc485cb6858b3b0944ee891dc3e08d1e5e320e0b2b72
cpf-docs/work/v9i/final-control/PROJECT_CONTROL_DELETE_MANIFEST.csv,246866,808e3e61e44e3e06277e8d3593599c58b2ac9c5bb9518ec167afce37a8fcd622
cpf-docs/work/v9i/final-control/PROJECT_CONTROL_EMPTY_DIR_MANIFEST.csv,6108,0c2b702cc4a25ea881153ba026d51dcb29099330e449087e3758c513fdf5473b
cpf-docs/work/v9i/final-control/REVIEW_INDEX.md,2245,c9eaccc4c2ade972f6c962c043af32c41313157e6850dde1fdf380e779e18bdb
cpf-docs/work/v9i/final-control/ROLE_BOUNDARY.md,1997,39f462d3399eafbb7773ed51aff85c852b053fc81fef50eb36eba8b0f5a6b835
cpf-docs/work/v9i/final-control/VERIFY_CENTRAL_CURRENTIZATION.ps1,1882,256bf3d1bdff1bf7ca5f8b93c6862598c8b01f0d195074c9bea971bc9fbe1146
cpf-docs/work/v9i/final-dev-request/CPF_DEVGPT_FINAL_SOURCE_COMPLETION.md,21527,b7e269c4c76910e9a75cf3604f765d0fecaab4fff8e08f01d768cb5cc0e5f501
