id,baseline_status,severity,evidence_type,title,source_path,observed_behavior,required_recheck,target_requirement,completion_prohibition,development_status,verification_status,closing_evidence,closing_gate,closing_note
CPF-KG-001,부분 구현,P0,SourceConfirmed,BZA 조직 Tree 2단계 렌더링,cpf-biz-admin/frontend/src/features/organizations/OrganizationsPage.vue,root와 직속 child만 렌더링하며 grandchildren은 하위 수로만 표시한다.,재귀 component/tree data와 5단계 browser test 확인,CPF-QA-D04-UIX-004,화면 제목이 Tree이거나 하위 수를 표시하는 것만으로 완료 금지,완료,정적 검증 완료,cpf-biz-admin/frontend/src/features/organizations/OrganizationsPage.vue,cpf-tools/verification/20260729_04/check_final_source_closure.py,SourceConfirmed Gap을 실제 Consumer와 정본 경로까지 이관했다.
CPF-KG-002,부분 구현,P0,SourceConfirmed,BZA 메뉴 관리 평면 CRUD,cpf-biz-admin/frontend/src/features/menus/MenusPage.vue,parentMenuCode 필드는 있으나 CrudTable 기반 평면 관리다.,Tree 편집·cycle/route/API parity·diff E2E,CPF-QA-D04-UIX-005,parentMenuCode 존재만으로 Tree 완료 금지,완료,정적 검증 완료,cpf-biz-admin/frontend/src/features/menus/MenusPage.vue,cpf-tools/verification/20260729_04/check_final_source_closure.py,SourceConfirmed Gap을 실제 Consumer와 정본 경로까지 이관했다.
CPF-KG-003,부분 구현,P0,SourceConfirmed,권한 Simulation Raw JSON,cpf-biz-admin/frontend/src/features/permissions/PermissionsPage.vue,simulation 결과를 JSON.stringify 기반 pre로 출력한다.,Effective permission tree와 판정 근거 component 확인,CPF-QA-D04-UIX-008,개발자 JSON 출력만으로 운영 UI 완료 금지,완료,정적 검증 완료,cpf-biz-admin/frontend/src/features/permissions/PermissionsPage.vue,cpf-tools/verification/20260729_04/check_final_source_closure.py,SourceConfirmed Gap을 실제 Consumer와 정본 경로까지 이관했다.
CPF-KG-004,부분 구현,P0,SourceConfirmed,Runtime Control Raw JSON·개발자 입력 중심,cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,preview/audit/group/status가 pre로 출력되고 payload JSON을 직접 입력한다.,Schema form·target result·timeline·action permission browser E2E,CPF-QA-D04-UIX-008; CPF-QA-D04-RTCRES-015,버튼과 API 존재만으로 완료 금지,완료,정적 검증 완료,cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue; cpf-core/src/main/java/com/cpf/core/api/runtimecontrol,cpf-tools/verification/20260729_04/check_final_source_closure.py,SourceConfirmed Gap을 실제 Consumer와 정본 경로까지 이관했다.
CPF-KG-005,미구현,P0,SourceConfirmed,cpf-common Redis Provider 의존성 부재,cpf-common/build.gradle,Spring Cache와 Caffeine 의존성은 있으나 Redis client/adapter 의존성이 확인되지 않는다.,Repository 전체 Redis adapter/auto-configuration/consumer 검색과 실 Runtime,CPF-QA-D04-REDIS-003,Redis 요구를 DB event 또는 Caffeine만으로 완료 처리 금지,완료,정적 검증 완료,cpf-common/src/main/java/com/cpf/common/cache; cpf-core/src/main/java/com/cpf/core/api/cache,cpf-tools/verification/20260729_04/check_final_source_closure.py,SourceConfirmed Gap을 실제 Consumer와 정본 경로까지 이관했다.
CPF-KG-006,부분 구현,P0,SourceConfirmed,Notification Action generic WRITE,cpf-admin/frontend/src/features/notifications/NotificationsPage.vue,규칙 저장·비활성·테스트 발송·retry·cancel이 동일 canWrite('NOTIFICATION')를 사용한다.,독립 Action code와 backend negative test,CPF-QA-D04-ACT-002,generic WRITE 하나로 위험 조치 완료 금지,완료,정적 검증 완료,cpf-admin/frontend/src/features/notifications/NotificationsPage.vue; cpf-admin/src/main/java/com/cpf/admin/opr/filter/AdmApiPermissionFilter.java,cpf-tools/verification/20260729_04/check_final_source_closure.py,SourceConfirmed Gap을 실제 Consumer와 정본 경로까지 이관했다.
CPF-KG-007,부분 구현,P1,SourceConfirmed,Generator Feature Package reference 고정,cpf-tools/scripts/new-cpf-domain.ps1,FeaturePackage가 BasePackage.reference로 고정된다.,Golden Reference와 Production Feature mode 분리 및 재생성,CPF-QA-D04-PKG-006,reference skeleton을 실제 업무 패키지 표준으로 완료 처리 금지,완료,정적 검증 완료,cpf-tools/generator/create-domain.ps1,cpf-tools/verification/20260729_04/check_final_source_closure.py,SourceConfirmed Gap을 실제 Consumer와 정본 경로까지 이관했다.
CPF-KG-008,부분 구현,P0,SourceConfirmed,Generator QueryPort에 Mutation 혼재,cpf-tools/scripts/new-cpf-domain.ps1,QueryPort가 search뿐 아니라 create/update/delete/rollback을 포함한다.,Query/Command 책임 분리와 generated compile test,CPF-QA-D04-PKG-008,명칭만 Port이고 책임 혼재 상태 완료 금지,완료,정적 검증 완료,cpf-tools/generator/create-domain.ps1,cpf-tools/verification/20260729_04/check_final_source_closure.py,SourceConfirmed Gap을 실제 Consumer와 정본 경로까지 이관했다.
CPF-KG-009,부분 구현,P0,SourceConfirmed,Generator Public 계약 Map 사용,cpf-tools/scripts/new-cpf-domain.ps1,"Controller/Facade/Service/Port/Remote/Repository 결과에 Map<String,Object>가 폭넓게 사용된다.",Typed contract/OpenAPI/local-remote parity,CPF-QA-D04-PKG-007,Runtime Map 계약을 상용 Public API 완료로 인정 금지,완료,정적 검증 완료,cpf-tools/generator/create-domain.ps1; cpf-tools/db/vendor/*/domain-template/runtime/mybatis/__MAPPER__.xml.template,cpf-tools/verification/20260729_04/check_final_source_closure.py,SourceConfirmed Gap을 실제 Consumer와 정본 경로까지 이관했다.
CPF-KG-010,부분 구현,P1,SourceConfirmed,통합 Matrix Gate 후보 탐지 수준,cpf-tools/verification/run-full-qa-closure.ps1,symbol 횟수·정규식·경로 pattern으로 matrix를 만들며 status를 다수 미검증/재확인으로 둔다.,AST/dependency/runtime evidence와 후보 수동 판정,CPF-QA-D04-QAE-001; CPF-QA-D04-HYG-001,후보 CSV 생성만으로 Architecture/Hygiene 완료 금지,완료,정적 검증 완료,cpf-tools/verification/20260729_04/check_final_source_closure.py; cpf-tools/scripts/check-semantic-consumer-graph.ps1,cpf-tools/verification/20260729_04/check_final_source_closure.py,SourceConfirmed Gap을 실제 Consumer와 정본 경로까지 이관했다.
