sequence,id,source_set,area,work_package,severity,title,setup,expected,owner_module,source_or_gate_paths,checkpoint_review_status,development_status,verification_status,environment,recommended_command,required_evidence,remaining_action,completion_rule
1,CPF-QA-EXEC-025,BASE,RTC,,,Runtime self-registration,3개 Service × 각 2개 Instance 기동,identity/capability/artifact/version 등록과 heartbeat 정상,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,미검증,Multi-instance,2개 이상 Instance를 기동하고 fault/kill/rejoin 시나리오 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
2,CPF-QA-EXEC-026,BASE,RTC,,,Duplicate instance identity,서로 다른 runtime이 같은 instanceId로 등록,위조/중복 차단,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
3,CPF-QA-EXEC-027,BASE,RTC,,,Heartbeat lease expiry,한 instance 강제 종료,offline 전환·routing 제외·alert,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,미검증,Multi-instance,2개 이상 Instance를 기동하고 fault/kill/rejoin 시나리오 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
4,CPF-QA-EXEC-028,BASE,RTC,,,Graceful deregistration,정상 종료 signal,drain 후 deregister,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
5,CPF-QA-EXEC-029,BASE,RTC,,,Static group membership,instance를 group에 추가/제거,version/history/snapshot 정확,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
6,CPF-QA-EXEC-030,BASE,RTC,,,Dynamic group selector,label/zone/capability 변경,preview와 승인 snapshot 분리,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
7,CPF-QA-EXEC-031,BASE,RTC,,,Nested group cycle,A→B→A 구성,저장 전 차단,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
8,CPF-QA-EXEC-032,BASE,RTC,,,Zero target guard,selector 결과 0건,실행 차단,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
9,CPF-QA-EXEC-033,BASE,RTC,,,Overbroad target guard,의도보다 전체 instance 선택,고위험 승인 요구,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
10,CPF-QA-EXEC-034,BASE,RTC,,,Single instance realtime config,한 instance에만 config 변경,대상만 ACK/APPLIED,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
